"都道府県","自治体名","自治体コード","事業キー","表示事業種別","会計区分","最新決算","経費回収率（%）","使用料単価（円/m³）","汚水処理原価（円/m³）","使用料収入の必要増加率（%・単純計算）","経費回収率区分","改定情報","データ品質","品質注記"
"岩手県","矢巾町","033227","17-1-000","公共下水道","法適用","R6","130.8656","166.8718","127.5139","0.0","経費回収率100%以上","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"岩手県","二戸市","032131","17-1-000","公共下水道","法適用","R6","126.5379","185.207","146.3649","0.0","経費回収率100%以上","改定情報なし（R5・R6施行年月日を比較済み・2事業）","ok",""
"岩手県","一戸町","035246","17-1-000","公共下水道","法適用","R6","110.969","231.5095","208.6254","0.0","経費回収率100%以上","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"岩手県","宮古市","032026","17-1-000","公共下水道","法適用","R6","110.2814","166.9603","151.3948","0.0","経費回収率100%以上","改定情報なし（R5・R6施行年月日を比較済み・2事業）","ok",""
"岩手県","花巻市","032051","17-1-000","公共下水道","法適用","R6","109.9128","151.2883","137.6439","0.0","経費回収率100%以上","改定情報なし（R5・R6施行年月日を比較済み・2事業）","ok",""
"岩手県","雫石町","033014","17-1-000","公共下水道","法適用","R6","109.3658","183.7171","167.9841","0.0","経費回収率100%以上","施行年月日が変化（1事業）｜公共下水道 R5 2017年5月1日 → R6 2024年4月1日","ok",""
"岩手県","住田町","034410","17-4-000","特定環境保全公共下水道","法適用","R6","101.4544","190.6647","187.9315","0.0","経費回収率100%以上","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"岩手県","盛岡市","032018","17-1-000","公共下水道","法適用","R6","100.0317","151.5973","151.5492","0.0","経費回収率100%以上","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"岩手県","奥州市","032158","17-1-000","公共下水道","法適用","R6","99.6886","174.7651","175.3111","0.3","経費回収率90%以上100%未満","改定情報なし（R5・R6施行年月日を比較済み・2事業）","ok",""
"岩手県","滝沢市","032166","17-1-000","公共下水道","法適用","R6","99.6078","151.4677","152.0641","0.4","経費回収率90%以上100%未満","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"岩手県","一関市","032093","17-1-000","公共下水道","法適用","R6","99.5751","175.5117","176.2607","0.4","経費回収率90%以上100%未満","改定情報なし（R5・R6施行年月日を比較済み・2事業）","ok",""
"岩手県","北上市","032069","17-1-000","公共下水道","法適用","R6","99.2658","192.9354","194.3624","0.7","経費回収率90%以上100%未満","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"岩手県","金ケ崎町","033812","17-1-000","公共下水道","法適用","R6","98.6645","270.0694","273.7251","1.4","経費回収率90%以上100%未満","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
