"都道府県","自治体名","自治体コード","事業キー","表示事業種別","会計区分","最新決算","経費回収率（%）","使用料単価（円/m³）","汚水処理原価（円/m³）","使用料収入の必要増加率（%・単純計算）","経費回収率区分","公式改定情報","データ品質","品質注記"
"徳島県","鳴門市","362026","17-1-000","公共下水道","法適用","R6","100","187.6601","187.6601","0.0","経費回収率100%以上","未登録","ok",""
"徳島県","藍住町","364037","17-1-000","公共下水道","法適用","R6","99.8853","174.0026","174.2024","0.1","経費回収率90%以上100%未満","未登録","ok",""
"徳島県","板野町","364045","17-4-000","特定環境保全公共下水道","法適用","R6","80.5042","174.6496","216.9448","24.2","経費回収率80%以上90%未満","未登録","ok",""
"徳島県","松茂町","364011","17-5-000","農業集落排水","法適用","R6","75.2953","135.0639","179.379","32.8","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"徳島県","三好市","362085","17-5-000","農業集落排水","法適用","R6","73.2444","218.2865","298.0246","36.5","経費回収率80%未満・使用料単価150円/m³以上等","未登録","ok",""
"徳島県","徳島市","362018","17-4-000","特定環境保全公共下水道","法適用","R6","72.5881","128.1521","176.5469","37.8","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"徳島県","阿南市","362042","17-5-000","農業集落排水","法適用","R6","68.5407","111.5198","162.7059","45.9","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"徳島県","吉野川市","362051","17-4-000","特定環境保全公共下水道","法適用","R6","66.5101","118.5924","178.3075","50.4","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"徳島県","上板町","364053","17-5-000","農業集落排水","法適用","R6","66.1375","92.1774","139.3724","51.2","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"徳島県","東みよし町","364894","17-4-000","特定環境保全公共下水道","法適用","R6","59.2946","149.0131","251.3099","68.6","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"徳島県","北島町","364029","17-1-000","公共下水道","法適用","R6","54.0982","163.7341","302.6609","84.8","経費回収率80%未満・使用料単価150円/m³以上等","未登録","ok",""
"徳島県","佐那河内村","363219","17-5-000","農業集落排水","法適用","R6","52.6118","141.624","269.1865","90.1","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"徳島県","那賀町","363685","17-5-000","農業集落排水","法適用","R6","45.4447","121.8193","268.0606","120.0","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"徳島県","阿波市","362069","17-5-000","農業集落排水","法適用","R6","41.8015","61.2682","146.5694","139.2","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"徳島県","美馬市","362077","17-4-000","特定環境保全公共下水道","法適用","R6","38.6961","156.0495","403.2695","158.4","経費回収率80%未満・使用料単価150円/m³以上等","未登録","ok",""
"徳島県","つるぎ町","364681","17-4-000","特定環境保全公共下水道","法適用","R6","35.7283","114.1072","319.3743","179.9","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"徳島県","勝浦町","363014","17-5-000","農業集落排水","法適用","R6","35.0538","135.0986","385.4039","185.3","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"徳島県","海陽町","363880","17-4-000","特定環境保全公共下水道","法適用","R6","32.1852","130.5672","405.6749","210.7","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"徳島県","美波町","363871","17-1-000","公共下水道","法適用","R6","10.882","131.0557","1204.3312","818.9","経費回収率80%未満・使用料単価150円/m³未満","未登録","warning","汚水処理原価が1000円/m³超"
"徳島県","小松島市","362034","17-1-000","公共下水道","法適用","R6","","","","","判定不可","未登録","warning","年間有収水量が0または欠損／下水道使用料収入が0または欠損"
