"都道府県","自治体名","自治体コード","事業キー","表示事業種別","会計区分","最新決算","経費回収率（%）","使用料単価（円/m³）","汚水処理原価（円/m³）","使用料収入の必要増加率（%・単純計算）","経費回収率区分","改定情報","データ品質","品質注記"
"新潟県","湯沢町","154610","17-1-000","公共下水道","法適用","R6","138.2608","194.3328","140.5552","0.0","経費回収率100%以上","改定情報なし（R5・R6施行年月日を比較済み・2事業）","ok",""
"新潟県","聖籠町","153079","17-1-000","公共下水道","法適用","R6","128.6185","147.7884","114.9045","0.0","経費回収率100%以上","改定情報なし（R5・R6施行年月日を比較済み・2事業）","ok",""
"新潟県","柏崎市","152056","17-1-000","公共下水道","法適用","R6","126.8924","173.4876","136.7202","0.0","経費回収率100%以上","改定情報なし（R5・R6施行年月日を比較済み・2事業）","ok",""
"新潟県","妙高市","152170","17-1-000","公共下水道","法適用","R6","121.4573","210.4922","173.3055","0.0","経費回収率100%以上","施行年月日が変化（2事業）｜公共下水道 R5 2015年5月1日 → R6 2024年5月1日／特定環境保全公共下水道 R5 2015年5月1日 → R6 2024年5月1日","ok",""
"新潟県","津南町","154822","17-4-000","特定環境保全公共下水道","法適用","R6","111.2536","175.0309","157.326","0.0","経費回収率100%以上","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"新潟県","魚沼市","152251","17-1-000","公共下水道","法適用","R6","109.1362","199.2725","182.5908","0.0","経費回収率100%以上","改定情報なし（R5・R6施行年月日を比較済み・2事業）","ok",""
"新潟県","新発田市","152064","17-1-000","公共下水道","法適用","R6","104.258","172.1792","165.1472","0.0","経費回収率100%以上","改定情報なし（R5・R6施行年月日を比較済み・2事業）","ok",""
"新潟県","新潟市","151009","17-1-000","公共下水道","法適用","R6","103.9923","171.4786","164.8954","0.0","経費回収率100%以上","改定情報なし（R5・R6施行年月日を比較済み・2事業）","ok",""
"新潟県","胎内市","152277","17-1-000","公共下水道","法適用","R6","103.9311","188.7513","181.612","0.0","経費回収率100%以上","改定情報なし（R5・R6施行年月日を比較済み・2事業）","ok",""
"新潟県","糸魚川市","152161","17-1-000","公共下水道","法適用","R6","101.7655","190.0096","186.7132","0.0","経費回収率100%以上","施行年月日が変化（2事業）｜公共下水道 R5 2023年4月1日 → R6 2024年4月1日／特定環境保全公共下水道 R5 2023年4月1日 → R6 2024年4月1日","ok",""
