"都道府県","自治体名","自治体コード","事業キー","表示事業種別","会計区分","最新決算","経費回収率（%）","使用料単価（円/m³）","汚水処理原価（円/m³）","使用料収入の必要増加率（%・単純計算）","経費回収率区分","改定情報","データ品質","品質注記"
"愛媛県","東温市","382159","17-1-000","公共下水道","法適用","R6","104.0845","189.0249","181.6072","0.0","経費回収率100%以上","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"愛媛県","松山市","382019","17-1-000","公共下水道","法適用","R6","100","179.2228","179.2229","0.0","経費回収率100%以上","改定情報なし（R5・R6施行年月日を比較済み・2事業）","ok",""
"愛媛県","新居浜市","382051","17-1-000","公共下水道","法適用","R6","100","157.5834","157.5834","0.0","経費回収率100%以上","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"愛媛県","今治市","382027","17-1-000","公共下水道","法適用","R6","99.9888","171.7854","171.8048","0.0","経費回収率90%以上100%未満","改定情報なし（R5・R6施行年月日を比較済み・2事業）","ok",""
"愛媛県","伊予市","382108","17-1-000","公共下水道","法適用","R6","96.8824","154.1911","159.1529","3.2","経費回収率90%以上100%未満","改定情報なし（R5・R6施行年月日を比較済み・2事業）","ok",""
"愛媛県","宇和島市","382035","17-1-000","公共下水道","法適用","R6","96.6689","145.0037","150.0003","3.4","経費回収率90%以上100%未満","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"愛媛県","四国中央市","382132","17-1-000","公共下水道","法適用","R6","95.2826","141.063","148.0469","5.0","経費回収率90%以上100%未満","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"愛媛県","西予市","382141","17-1-000","公共下水道","法適用","R6","92.27","144.2463","156.3306","8.4","経費回収率90%以上100%未満","施行年月日が変化（1事業）｜公共下水道 R5 2004年4月1日 → R6 2024年4月1日","ok",""
"愛媛県","鬼北町","384887","17-5-000","農業集落排水","法適用","R6","91.9074","205.9194","224.0509","8.8","経費回収率90%以上100%未満","比較対象外","ok",""
"愛媛県","松前町","384011","17-1-000","公共下水道","法適用","R6","85.4873","128.6667","150.5097","17.0","経費回収率80%以上90%未満","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"愛媛県","八幡浜市","382043","17-1-000","公共下水道","法適用","R6","71.7352","166.605","232.2499","39.4","経費回収率80%未満・使用料単価150円/m³以上等","改定情報なし（R5・R6施行年月日を比較済み・2事業）","ok",""
"愛媛県","砥部町","384020","17-1-000","公共下水道","法適用","R6","64.7014","188.5906","291.4783","54.6","経費回収率80%未満・使用料単価150円/m³以上等","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"愛媛県","内子町","384224","17-1-000","公共下水道","法適用","R6","58.7925","158.2129","269.1039","70.1","経費回収率80%未満・使用料単価150円/m³以上等","施行年月日が変化（1事業）｜公共下水道 R5 2017年5月1日 → R6 2024年4月1日","ok",""
"愛媛県","西条市","382060","17-1-000","公共下水道","法適用","R6","57.3507","87.0603","151.8033","74.4","経費回収率80%未満・使用料単価150円/m³未満","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"愛媛県","愛南町","385069","17-5-000","農業集落排水","法適用","R6","47.9353","126.8964","264.7242","108.6","経費回収率80%未満・使用料単価150円/m³未満","比較対象外","ok",""
"愛媛県","大洲市","382078","17-1-000","公共下水道","法適用","R6","42.1892","133.4018","316.1991","137.0","経費回収率80%未満・使用料単価150円/m³未満","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"愛媛県","上島町","383562","17-4-000","特定環境保全公共下水道","法適用","R6","36.7255","117.4609","319.835","172.3","経費回収率80%未満・使用料単価150円/m³未満","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"愛媛県","久万高原町","383864","17-1-000","公共下水道","法適用","R6","27.7867","178.7289","643.2166","259.9","経費回収率80%未満・使用料単価150円/m³以上等","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"愛媛県","伊方町","384429","17-4-000","特定環境保全公共下水道","法適用","R6","22.5913","138.2079","611.774","342.6","経費回収率80%未満・使用料単価150円/m³未満","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
