"都道府県","自治体名","自治体コード","事業キー","表示事業種別","会計区分","最新決算","経費回収率（%）","使用料単価（円/m³）","汚水処理原価（円/m³）","使用料収入の必要増加率（%・単純計算）","経費回収率区分","公式改定情報","データ品質","品質注記"
"山形県","天童市","062103","17-1-000","公共下水道","法適用","R6","105.1176","159.6539","151.8811","0.0","経費回収率100%以上","未登録","ok",""
"山形県","山辺町","063011","17-1-000","公共下水道","法適用","R6","105.0039","165.9346","158.0271","0.0","経費回収率100%以上","未登録","ok",""
"山形県","東根市","062111","17-1-000","公共下水道","法適用","R6","100.1949","174.0475","173.709","0.0","経費回収率100%以上","未登録","ok",""
"山形県","南陽市","062138","17-1-000","公共下水道","法適用","R6","100.0017","161.4624","161.4596","0.0","経費回収率100%以上","未登録","ok",""
"山形県","小国町","064017","17-1-000","公共下水道","法適用","R6","83.6365","161.2667","192.8185","19.6","経費回収率80%以上90%未満","未登録","ok",""
"山形県","村山市","062081","17-5-000","農業集落排水","法適用","R6","81.4531","143.3851","176.0338","22.8","経費回収率80%以上90%未満","未登録","ok",""
"山形県","西川町","063223","17-1-000","公共下水道","法適用","R6","79.5763","210.913","265.0451","25.7","経費回収率80%未満・使用料単価150円/m³以上等","未登録","ok",""
"山形県","中山町","063029","17-5-000","農業集落排水","法適用","R6","78.1988","138.0641","176.5552","27.9","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"山形県","庄内町","064289","17-5-000","農業集落排水","法適用","R6","76.4982","146.6366","191.6864","30.7","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"山形県","飯豊町","064033","17-5-000","農業集落排水","法適用","R6","73.5148","149.1879","202.9359","36.0","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"山形県","川西町","063827","17-1-000","公共下水道","法適用","R6","71.4803","170.5174","238.5515","39.9","経費回収率80%未満・使用料単価150円/m³以上等","未登録","ok",""
"山形県","鶴岡市","062031","17-5-000","農業集落排水","法適用","R6","67.5174","194.3033","287.7826","48.1","経費回収率80%未満・使用料単価150円/m³以上等","未登録","ok",""
"山形県","舟形町","063631","17-4-000","特定環境保全公共下水道","法適用","R6","61.1327","147.0029","240.4654","63.6","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"山形県","大江町","063240","17-1-000","公共下水道","法適用","R6","60.9892","183.6077","301.0495","64.0","経費回収率80%未満・使用料単価150円/m³以上等","未登録","ok",""
"山形県","金山町","063614","17-1-000","公共下水道","法適用","R6","60.6265","169.8819","280.2105","64.9","経費回収率80%未満・使用料単価150円/m³以上等","未登録","ok",""
"山形県","上山市","062073","17-5-000","農業集落排水","法適用","R6","60.3816","90.5718","149.999","65.6","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"山形県","長井市","062090","17-4-000","特定環境保全公共下水道","法適用","R6","58.1944","192.1442","330.1764","71.8","経費回収率80%未満・使用料単価150円/m³以上等","未登録","ok",""
"山形県","高畠町","063819","18-0-000","特定地域生活排水処理施設","法適用","R6","56.7061","206.5648","364.2723","76.3","経費回収率80%未満・使用料単価150円/m³以上等","未登録","ok",""
"山形県","新庄市","062057","17-5-000","農業集落排水","法適用","R6","54.3616","139.3931","256.4185","84.0","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"山形県","三川町","064262","17-9-000","小規模集合排水処理施設","法適用","R6","50.439","167.3681","331.8226","98.3","経費回収率80%未満・使用料単価150円/m³以上等","未登録","ok",""
"山形県","大石田町","063410","17-5-000","農業集落排水","法適用","R6","49.3852","85.3213","172.7671","102.5","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"山形県","米沢市","062022","17-5-000","農業集落排水","法適用","R6","48.9052","169.0453","345.6592","104.5","経費回収率80%未満・使用料単価150円/m³以上等","未登録","ok",""
"山形県","鮭川村","063665","17-5-000","農業集落排水","法適用","R6","48.7082","143.0459","293.679","105.3","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"山形県","最上町","063622","17-1-000","公共下水道","法適用","R6","46.3811","148.2086","319.5453","115.6","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"山形県","寒河江市","062065","18-0-000","特定地域生活排水処理施設","法適用","R6","39.096","135.0343","345.3913","155.8","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"山形県","山形市","062014","17-5-000","農業集落排水","法適用","R6","38.5017","88.8766","230.8383","159.7","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"山形県","大蔵村","063657","17-4-000","特定環境保全公共下水道","法適用","R6","38.2356","162.1498","424.0801","161.5","経費回収率80%未満・使用料単価150円/m³以上等","未登録","ok",""
"山形県","真室川町","063649","17-1-000","公共下水道","法適用","R6","35.1615","148.38","421.9955","184.4","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"山形県","白鷹町","064025","18-1-000","個別排水処理施設","法適用","R6","33.8739","146.406","432.2093","195.2","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"山形県","河北町","063215","17-5-000","農業集落排水","法適用","R6","32.5524","170.1031","522.5515","207.2","経費回収率80%未満・使用料単価150円/m³以上等","未登録","ok",""
"山形県","朝日町","063231","17-5-000","農業集落排水","法適用","R6","31.7715","202.6223","637.7479","214.7","経費回収率80%未満・使用料単価150円/m³以上等","未登録","ok",""
"山形県","戸沢村","063673","17-4-000","特定環境保全公共下水道","法適用","R6","26.0749","134.8077","517.0012","283.5","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"山形県","尾花沢市","062120","17-5-000","農業集落排水","法適用","R6","24.6597","155.6591","631.2288","305.5","経費回収率80%未満・使用料単価150円/m³以上等","未登録","ok",""
"山形県","遊佐町","064611","17-8-000","簡易排水","法適用","R6","16.9141","199.6814","1180.5629","491.2","経費回収率80%未満・使用料単価150円/m³以上等","未登録","warning","汚水処理原価が1000円/m³超"
"山形県","酒田市","062049","17-8-000","簡易排水","法適用","R6","8.4695","262.6728","3101.3825","1080.7","経費回収率80%未満・使用料単価150円/m³以上等","未登録","warning","汚水処理原価が1000円/m³超"
