"都道府県","自治体名","自治体コード","事業キー","表示事業種別","会計区分","最新決算","経費回収率（%）","使用料単価（円/m³）","汚水処理原価（円/m³）","100%相当の増収率（%・単純試算）","経費回収率区分","公式改定情報","データ品質","品質注記"
"長野県","池田町","204811","17-1-000","公共下水道","法適用","R6","247.7585","217.0831","87.6188","-59.6","経費回収率100%以上","未登録","ok",""
"長野県","千曲市","202185","17-1-000","公共下水道","法適用","R6","159.5752","165.0882","103.4548","-37.3","経費回収率100%以上","未登録","ok",""
"長野県","朝日村","204510","17-4-000","特定環境保全公共下水道","法適用","R6","125.1402","235.8016","188.4299","-20.1","経費回収率100%以上","未登録","ok",""
"長野県","青木村","203491","17-4-000","特定環境保全公共下水道","法適用","R6","124.2321","206.4258","166.1614","-19.5","経費回収率100%以上","未登録","ok",""
"長野県","茅野市","202142","17-1-000","公共下水道","法適用","R6","122.7897","177.3591","144.4414","-18.6","経費回収率100%以上","未登録","ok",""
"長野県","原村","203637","17-4-000","特定環境保全公共下水道","法適用","R6","109.7483","211.8137","192.9995","-8.9","経費回収率100%以上","未登録","ok",""
"長野県","下諏訪町","203611","17-1-000","公共下水道","法適用","R6","105.0844","144.8169","137.8101","-4.8","経費回収率100%以上","未登録","ok",""
"長野県","売木村","204129","17-5-000","農業集落排水","法適用","R6","104.919","303.197","288.9819","-4.7","経費回収率100%以上","未登録","ok",""
"長野県","富士見町","203629","17-1-000","公共下水道","法適用","R6","101.6407","218.0836","214.5633","-1.6","経費回収率100%以上","未登録","ok",""
"長野県","南箕輪村","203858","17-1-000","公共下水道","法適用","R6","101.554","181.5655","178.7872","-1.5","経費回収率100%以上","未登録","ok",""
"長野県","岡谷市","202045","17-1-000","公共下水道","法適用","R6","100","172.8239","172.8239","0.0","経費回収率100%以上","未登録","ok",""
"長野県","山形村","204501","17-4-000","特定環境保全公共下水道","法適用","R6","100","204.1922","204.1922","0.0","経費回収率100%以上","未登録","ok",""
"長野県","東御市","202193","17-4-000","特定環境保全公共下水道","法適用","R6","99.9952","156.6932","156.7006","0.0","経費回収率90%以上100%未満","未登録","ok",""
"長野県","豊丘村","204161","17-5-000","農業集落排水","法適用","R6","94.5186","157.283","166.4043","5.8","経費回収率90%以上100%未満","未登録","ok",""
"長野県","松川町","204021","17-5-000","農業集落排水","法適用","R6","93.6928","152.3721","162.6294","6.7","経費回収率90%以上100%未満","未登録","ok",""
"長野県","辰野町","203823","17-5-000","農業集落排水","法適用","R6","91.1078","198.6301","218.0166","9.8","経費回収率90%以上100%未満","未登録","ok",""
"長野県","高山村","205435","17-5-000","農業集落排水","法適用","R6","90.883","178.5121","196.4197","10.0","経費回収率90%以上100%未満","未登録","ok",""
"長野県","須坂市","202070","17-1-000","公共下水道","法適用","R6","89.5013","183.6155","205.154","11.7","経費回収率80%以上90%未満","未登録","ok",""
"長野県","箕輪町","203831","17-1-000","公共下水道","法適用","R6","88.6376","207.1165","233.6666","12.8","経費回収率80%以上90%未満","未登録","ok",""
"長野県","諏訪市","202061","17-1-000","公共下水道","法適用","R6","88.4051","170.8193","193.2234","13.1","経費回収率80%以上90%未満","未登録","ok",""
