"都道府県","自治体名","自治体コード","事業キー","表示事業種別","会計区分","最新決算","経費回収率（%）","使用料単価（円/m³）","汚水処理原価（円/m³）","使用料収入の必要増加率（%・単純計算）","経費回収率区分","改定情報","データ品質","品質注記"
"埼玉県","吉見町","113476","17-1-000","公共下水道","法適用","R6","170.1361","172.9932","101.6793","0.0","経費回収率100%以上","改定情報なし（R5・R6施行年月日を比較済み・2事業）","ok",""
"埼玉県","吉川市","112437","17-1-000","公共下水道","法適用","R6","120.2712","108.7304","90.4044","0.0","経費回収率100%以上","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"埼玉県","ふじみ野市","112453","17-1-000","公共下水道","法適用","R6","113.0331","79.481","70.3165","0.0","経費回収率100%以上","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"埼玉県","伊奈町","113018","17-1-000","公共下水道","法適用","R6","112.926","131.1636","116.1501","0.0","経費回収率100%以上","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"埼玉県","越谷市","112224","17-1-000","公共下水道","法適用","R6","110.7741","126.3829","114.0907","0.0","経費回収率100%以上","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"埼玉県","富士見市","112356","17-1-000","公共下水道","法適用","R6","103.474","88.9314","85.9456","0.0","経費回収率100%以上","改定情報なし（R5・R6施行年月日を比較済み・2事業）","ok",""
"埼玉県","さいたま市","111007","17-1-000","公共下水道","法適用","R6","102.9695","141.3552","137.2787","0.0","経費回収率100%以上","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"埼玉県","戸田市","112241","17-1-000","公共下水道","法適用","R6","102.6978","84.7275","82.5018","0.0","経費回収率100%以上","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"埼玉県","志木市","112283","17-1-000","公共下水道","法適用","R6","102.6606","112.6785","109.7583","0.0","経費回収率100%以上","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"埼玉県","新座市","112305","17-1-000","公共下水道","法適用","R6","100.4249","89.9035","89.5231","0.0","経費回収率100%以上","改定情報なし（R5・R6施行年月日を比較済み・2事業）","ok",""
"埼玉県","日高市","112429","17-1-000","公共下水道","法適用","R6","100.2329","158.7531","158.3842","0.0","経費回収率100%以上","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"埼玉県","熊谷市","112020","17-1-000","公共下水道","法適用","R6","100.1915","150.2872","150","0.0","経費回収率100%以上","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"埼玉県","深谷市","112186","17-1-000","公共下水道","法適用","R6","100","184.565","184.565","0.0","経費回収率100%以上","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"埼玉県","寄居町","114081","17-1-000","公共下水道","法適用","R6","100","153.9361","153.9361","0.0","経費回収率100%以上","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"埼玉県","本庄市","112119","17-1-000","公共下水道","法適用","R6","99.9669","149.9503","150","0.0","経費回収率90%以上100%未満","施行年月日が変化（1事業）｜公共下水道 R5 2019年10月1日 → R6 2024年10月1日","ok",""
"埼玉県","飯能市","112097","17-1-000","公共下水道","法適用","R6","99.5509","147.5311","148.1967","0.5","経費回収率90%以上100%未満","改定情報なし（R5・R6施行年月日を比較済み・2事業）","ok",""
"埼玉県","所沢市","112089","17-1-000","公共下水道","法適用","R6","96.6709","98.819","102.2221","3.4","経費回収率90%以上100%未満","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"埼玉県","白岡市","112461","17-1-000","公共下水道","法適用","R6","96.5324","141.5475","146.6321","3.6","経費回収率90%以上100%未満","施行年月日が変化（1事業）｜公共下水道 R5 2022年10月1日 → R6 2024年6月1日","ok",""
"埼玉県","蕨市","112232","17-1-000","公共下水道","法適用","R6","96.4221","79.484","82.4334","3.7","経費回収率90%以上100%未満","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"埼玉県","入間市","112259","17-1-000","公共下水道","法適用","R6","94.924","103.519","109.0546","5.3","経費回収率90%以上100%未満","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"埼玉県","狭山市","112151","17-1-000","公共下水道","法適用","R6","94.2894","105.6339","112.0316","6.1","経費回収率90%以上100%未満","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"埼玉県","小川町","113433","17-1-000","公共下水道","法適用","R6","92.8476","139.2714","150","7.7","経費回収率90%以上100%未満","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"埼玉県","川口市","112038","17-1-000","公共下水道","法適用","R6","92.7606","113.6148","122.4817","7.8","経費回収率90%以上100%未満","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"埼玉県","和光市","112291","17-1-000","公共下水道","法適用","R6","92.4928","70.5238","76.2478","8.1","経費回収率90%以上100%未満","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"埼玉県","東松山市","112127","17-1-000","公共下水道","法適用","R6","90.146","135.2496","150.034","10.9","経費回収率90%以上100%未満","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"埼玉県","朝霞市","112275","17-1-000","公共下水道","法適用","R6","89.7512","62.2598","69.3693","11.4","経費回収率80%以上90%未満","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"埼玉県","春日部市","112143","17-1-000","公共下水道","法適用","R6","89.5607","124.6368","139.1646","11.7","経費回収率80%以上90%未満","比較対象外","ok",""
"埼玉県","草加市","112216","17-1-000","公共下水道","法適用","R6","88.1199","101.3233","114.9834","13.5","経費回収率80%以上90%未満","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"埼玉県","川越市","112011","17-1-000","公共下水道","法適用","R6","87.6697","96.6784","110.2757","14.1","経費回収率80%以上90%未満","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"埼玉県","上尾市","112194","17-1-000","公共下水道","法適用","R6","87.2754","120.0097","137.507","14.6","経費回収率80%以上90%未満","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"埼玉県","嵐山町","113425","17-1-000","公共下水道","法適用","R6","86.6745","179.0382","206.5639","15.4","経費回収率80%以上90%未満","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"埼玉県","桶川市","112313","17-1-000","公共下水道","法適用","R6","85.3751","128.0626","150","17.1","経費回収率80%以上90%未満","施行年月日が変化（1事業）｜公共下水道 R5 1997年7月1日 → R6 2024年4月1日","ok",""
"埼玉県","羽生市","112160","17-1-000","公共下水道","法適用","R6","85.0413","127.5617","149.9998","17.6","経費回収率80%以上90%未満","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"埼玉県","秩父市","112071","17-1-000","公共下水道","法適用","R6","84.0502","126.0752","149.9999","19.0","経費回収率80%以上90%未満","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"埼玉県","三芳町","113247","17-1-000","公共下水道","法適用","R6","83.348","90.4702","108.5451","20.0","経費回収率80%以上90%未満","改定情報なし（R5・R6施行年月日を比較済み・2事業）","ok",""
"埼玉県","小鹿野町","113654","18-0-000","特定地域生活排水処理施設","法適用","R6","81.271","110.2882","135.7042","23.0","経費回収率80%以上90%未満","比較対象外","ok",""
"埼玉県","杉戸町","114642","17-1-000","公共下水道","法適用","R6","80.1165","100.577","125.5384","24.8","経費回収率80%以上90%未満","改定情報なし（R5・R6施行年月日を比較済み・2事業）","ok",""
"埼玉県","三郷市","112372","17-1-000","公共下水道","法適用","R6","79.5514","119.3272","150.0001","25.7","経費回収率80%未満・使用料単価150円/m³未満","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"埼玉県","八潮市","112348","17-1-000","公共下水道","法適用","R6","76.2702","107.0198","140.3167","31.1","経費回収率80%未満・使用料単価150円/m³未満","施行年月日が変化（1事業）｜公共下水道 R5 2016年7月1日 → R6 2024年7月1日","ok",""
"埼玉県","鴻巣市","112178","17-1-000","公共下水道","法適用","R6","76.1265","114.1899","150.0002","31.4","経費回収率80%未満・使用料単価150円/m³未満","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"埼玉県","北本市","112330","17-1-000","公共下水道","法適用","R6","75.1518","107.6238","143.2086","33.1","経費回収率80%未満・使用料単価150円/m³未満","施行年月日が変化（1事業）｜公共下水道 R5 2009年4月1日 → R6 2024年6月1日","ok",""
"埼玉県","蓮田市","112381","17-1-000","公共下水道","法適用","R6","73.3207","111.1009","151.5273","36.4","経費回収率80%未満・使用料単価150円/m³未満","改定情報なし（R5・R6施行年月日を比較済み・2事業）","ok",""
