"都道府県","自治体名","自治体コード","事業キー","表示事業種別","会計区分","最新決算","経費回収率（%）","使用料単価（円/m³）","汚水処理原価（円/m³）","使用料収入の必要増加率（%・単純計算）","経費回収率区分","公式改定情報","データ品質","品質注記"
"山口県","光市","352101","17-1-000","公共下水道","法適用","R6","100","187.2725","187.2725","0.0","経費回収率100%以上","未登録","ok",""
"山口県","阿武町","355020","17-6-000","漁業集落排水","法適用","R6","91.0828","165.5265","181.7318","9.8","経費回収率90%以上100%未満","未登録","ok",""
"山口県","下松市","352071","17-1-000","公共下水道","法適用","R6","89.3695","118.0949","132.1422","11.9","経費回収率80%以上90%未満","未登録","ok",""
"山口県","和木町","353213","17-1-000","公共下水道","法適用","R6","84.7363","150.505","177.6157","18.0","経費回収率80%以上90%未満","未登録","ok",""
"山口県","平生町","353442","17-1-000","公共下水道","法適用","R6","73.2119","193.1954","263.8854","36.6","経費回収率80%未満・使用料単価150円/m³以上等","未登録","ok",""
"山口県","山陽小野田市","352161","17-5-000","農業集落排水","法適用","R6","71.6137","170.6765","238.3293","39.6","経費回収率80%未満・使用料単価150円/m³以上等","未登録","ok",""
"山口県","田布施町","353434","17-1-000","公共下水道","法適用","R6","70.4002","192.9819","274.1213","42.0","経費回収率80%未満・使用料単価150円/m³以上等","未登録","ok",""
"山口県","長門市","352110","17-4-000","特定環境保全公共下水道","法適用","R6","67.3192","148.6933","220.878","48.5","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"山口県","周南市","352152","17-4-000","特定環境保全公共下水道","法適用","R6","60.8192","169.2384","278.2649","64.4","経費回収率80%未満・使用料単価150円/m³以上等","未登録","ok",""
"山口県","萩市","352047","17-4-000","特定環境保全公共下水道","法適用","R6","52.6946","163.0485","309.4215","89.8","経費回収率80%未満・使用料単価150円/m³以上等","未登録","ok",""
"山口県","岩国市","352080","17-4-000","特定環境保全公共下水道","法適用","R6","52.671","165.131","313.5138","89.9","経費回収率80%未満・使用料単価150円/m³以上等","未登録","ok",""
"山口県","美祢市","352136","17-5-000","農業集落排水","法適用","R6","46.672","176.8055","378.8255","114.3","経費回収率80%未満・使用料単価150円/m³以上等","未登録","ok",""
"山口県","山口市","352039","17-5-000","農業集落排水","法適用","R6","45.8218","155.859","340.1417","118.2","経費回収率80%未満・使用料単価150円/m³以上等","未登録","ok",""
"山口県","下関市","352012","17-4-000","特定環境保全公共下水道","法適用","R6","42.0371","161.7598","384.8024","137.9","経費回収率80%未満・使用料単価150円/m³以上等","未登録","ok",""
"山口県","柳井市","352128","17-5-000","農業集落排水","法適用","R6","34.6363","179.8653","519.2977","188.7","経費回収率80%未満・使用料単価150円/m³以上等","未登録","ok",""
"山口県","上関町","353418","17-5-000","農業集落排水","法非適用","R6","28.8614","198.7053","688.4819","246.5","経費回収率80%未満・使用料単価150円/m³以上等","未登録","ok",""
"山口県","周防大島町","353051","17-4-000","特定環境保全公共下水道","法適用","R6","25.1568","187.7265","746.2245","297.5","経費回収率80%未満・使用料単価150円/m³以上等","未登録","ok",""
"山口県","宇部市","352021","17-5-000","農業集落排水","法非適用","R6","21.7232","180.5506","831.1417","360.3","経費回収率80%未満・使用料単価150円/m³以上等","未登録","ok",""
"山口県","防府市","352063","17-6-000","漁業集落排水","法適用","R6","5.4608","282.8998","5180.5662","1731.2","経費回収率80%未満・使用料単価150円/m³以上等","未登録","warning","汚水処理原価が1000円/m³超"
