"都道府県","自治体名","自治体コード","事業キー","表示事業種別","会計区分","最新決算","経費回収率（%）","使用料単価（円/m³）","汚水処理原価（円/m³）","100%相当の増収率（%・単純試算）","経費回収率区分","公式改定情報","データ品質","品質注記"
"熊本県","荒尾市","432041","17-1-000","公共下水道","法適用","R6","100","188.6491","188.6491","0.0","経費回収率100%以上","未登録","ok",""
"熊本県","湯前町","435066","17-4-000","特定環境保全公共下水道","法適用","R6","98.8026","150.1154","151.9346","1.2","経費回収率90%以上100%未満","未登録","ok",""
"熊本県","合志市","432164","17-4-000","特定環境保全公共下水道","法適用","R6","96.5675","144.8512","150","3.6","経費回収率90%以上100%未満","未登録","ok",""
"熊本県","水俣市","432059","17-1-000","公共下水道","法適用","R6","94.8899","183.1068","192.9676","5.4","経費回収率90%以上100%未満","未登録","ok",""
"熊本県","多良木町","435058","17-4-000","特定環境保全公共下水道","法適用","R6","93.4225","141.3048","151.2535","7.0","経費回収率90%以上100%未満","未登録","ok",""
"熊本県","人吉市","432032","17-1-000","公共下水道","法適用","R6","91.6776","203.2442","221.6944","9.1","経費回収率90%以上100%未満","未登録","ok",""
"熊本県","嘉島町","434426","17-1-000","公共下水道","法適用","R6","90.909","168.1821","185.0005","10.0","経費回収率90%以上100%未満","未登録","ok",""
"熊本県","八代市","432024","17-1-000","公共下水道","法適用","R6","79.4468","199.9885","251.7263","25.9","経費回収率80%未満・使用料単価150円/m³以上等","未登録","ok",""
"熊本県","御船町","434418","17-1-000","公共下水道","法適用","R6","75.8599","156.2358","205.9531","31.8","経費回収率80%未満・使用料単価150円/m³以上等","未登録","ok",""
"熊本県","相良村","435104","17-5-000","農業集落排水","法非適用","R6","74.5878","185.3178","248.456","34.1","経費回収率80%未満・使用料単価150円/m³以上等","未登録","ok",""
"熊本県","南小国町","434230","17-4-000","特定環境保全公共下水道","法適用","R6","69.7607","219.0495","314.0014","43.3","経費回収率80%未満・使用料単価150円/m³以上等","未登録","ok",""
"熊本県","菊陽町","434043","17-5-000","農業集落排水","法適用","R6","65.858","103.8988","157.7619","51.8","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"熊本県","錦町","435015","17-5-000","農業集落排水","法適用","R6","65.1042","304.9843","468.4559","53.6","経費回収率80%未満・使用料単価150円/m³以上等","未登録","ok",""
"熊本県","氷川町","434680","17-4-000","特定環境保全公共下水道","法適用","R6","64.8523","148.3046","228.6807","54.2","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"熊本県","宇城市","432130","17-4-000","特定環境保全公共下水道","法適用","R6","64.741","151.9286","234.6716","54.5","経費回収率80%未満・使用料単価150円/m³以上等","未登録","ok",""
