"都道府県","自治体名","自治体コード","事業キー","表示事業種別","会計区分","最新決算","経費回収率（%）","使用料単価（円/m³）","汚水処理原価（円/m³）","使用料収入の必要増加率（%・単純計算）","経費回収率区分","公式改定情報","データ品質","品質注記"
"高知県","芸西村","393070","17-4-000","特定環境保全公共下水道","法適用","R6","117.1616","134.1841","114.5291","0.0","経費回収率100%以上","未登録","ok",""
"高知県","高知市","392014","17-1-000","公共下水道","法適用","R6","103.177","174.0167","168.6583","0.0","経費回収率100%以上","未登録","ok",""
"高知県","津野町","394114","18-0-000","特定地域生活排水処理施設","法適用","R6","71.9484","128.7495","178.9469","39.0","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"高知県","南国市","392049","17-5-000","農業集落排水","法適用","R6","70.24","110.4474","157.2428","42.4","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"高知県","いの町","393860","17-1-000","公共下水道","法適用","R6","69.8179","93.2197","133.5183","43.2","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"高知県","仁淀川町","393878","17-5-000","農業集落排水","法適用","R6","68.9835","97.8556","141.8536","45.0","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"高知県","安芸市","392031","17-1-000","公共下水道","法適用","R6","65.0989","141.8667","217.9248","53.6","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"高知県","土佐町","393631","17-4-000","特定環境保全公共下水道","法適用","R6","63.539","145.5359","229.0498","57.4","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"高知県","越知町","394033","17-4-000","特定環境保全公共下水道","法適用","R6","57.6201","126.175","218.9774","73.6","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"高知県","中土佐町","394017","17-5-000","農業集落排水","法適用","R6","51.6153","123.3343","238.9492","93.7","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"高知県","宿毛市","392081","17-1-000","公共下水道","法適用","R6","51.1577","124.8666","244.0818","95.5","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"高知県","四万十町","394122","17-5-000","農業集落排水","法適用","R6","47.1141","91.6764","194.5838","112.3","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"高知県","香南市","392111","17-1-000","公共下水道","法適用","R6","47.0002","122.0317","259.6408","112.8","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"高知県","東洋町","393011","17-4-000","特定環境保全公共下水道","法適用","R6","44.2814","120.6775","272.5239","125.8","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"高知県","三原村","394271","17-5-000","農業集落排水","法適用","R6","42.5369","109.5358","257.5076","135.1","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"高知県","梼原町","394050","17-4-000","特定環境保全公共下水道","法適用","R6","41.4855","114.7288","276.5518","141.0","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"高知県","香美市","392120","17-5-000","農業集落排水","法適用","R6","37.689","151.5993","402.2376","165.3","経費回収率80%未満・使用料単価150円/m³以上等","未登録","ok",""
"高知県","土佐市","392057","17-5-000","農業集落排水","法適用","R6","35.5841","69.4319","195.1207","181.0","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"高知県","四万十市","392103","17-5-000","農業集落排水","法適用","R6","33.5572","125.7189","374.6405","198.0","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"高知県","佐川町","394025","17-5-000","農業集落排水","法適用","R6","27.4416","115.0571","419.2805","264.4","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"高知県","黒潮町","394289","17-5-000","農業集落排水","法適用","R6","25.6661","201.9073","786.6699","289.6","経費回収率80%未満・使用料単価150円/m³以上等","未登録","ok",""
"高知県","奈半利町","393029","17-6-000","漁業集落排水","法適用","R6","25.6115","242.4423","946.6164","290.4","経費回収率80%未満・使用料単価150円/m³以上等","未登録","ok",""
"高知県","大月町","394246","17-6-000","漁業集落排水","法適用","R6","23.3693","159.8454","683.9977","327.9","経費回収率80%未満・使用料単価150円/m³以上等","未登録","ok",""
"高知県","須崎市","392065","17-1-000","公共下水道","法適用","R6","6.2353","25.2096","404.3028","1503.8","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
