"都道府県","自治体名","自治体コード","事業キー","表示事業種別","会計区分","最新決算","経費回収率（%）","使用料単価（円/m³）","汚水処理原価（円/m³）","100%相当の増収率（%・単純試算）","経費回収率区分","公式改定情報","データ品質","品質注記"
"東京都","青ヶ島村","134023","18-0-000","特定地域生活排水処理施設","法適用","R6","184.0575","248.242","134.872","-45.7","経費回収率100%以上","未登録","ok",""
"東京都","多摩市","132241","17-1-000","公共下水道","法適用","R6","148.0789","130.5555","88.1662","-32.5","経費回収率100%以上","未登録","ok",""
"東京都","福生市","132187","17-1-000","公共下水道","法適用","R6","143.5549","133.734","93.1588","-30.3","経費回収率100%以上","未登録","ok",""
"東京都","小金井市","132101","17-1-000","公共下水道","法適用","R6","124.0136","79.6068","64.192","-19.4","経費回収率100%以上","未登録","ok",""
"東京都","小平市","132110","17-1-000","公共下水道","法適用","R6","119.8924","100.0259","83.4297","-16.6","経費回収率100%以上","未登録","ok",""
"東京都","国立市","132152","17-1-000","公共下水道","法適用","R6","115.704","109.7524","94.8562","-13.6","経費回収率100%以上","未登録","ok",""
"東京都","日野市","132128","17-1-000","公共下水道","法適用","R6","112.6773","117.8446","104.5859","-11.3","経費回収率100%以上","未登録","ok",""
"東京都","立川市","132021","17-1-000","公共下水道","法適用","R6","112.2368","111.3284","99.1907","-10.9","経費回収率100%以上","未登録","ok",""
"東京都","国分寺市","132144","17-1-000","公共下水道","法適用","R6","111.9419","101.7054","90.8555","-10.7","経費回収率100%以上","未登録","ok",""
"東京都","稲城市","132250","17-1-000","公共下水道","法適用","R6","110.2254","120.2899","109.1309","-9.3","経費回収率100%以上","未登録","ok",""
"東京都","狛江市","132195","17-1-000","公共下水道","法適用","R6","109.9687","91.6805","83.3696","-9.1","経費回収率100%以上","未登録","ok",""
"東京都","府中市","132063","17-1-000","公共下水道","法適用","R6","109.4647","66.1876","60.4648","-8.6","経費回収率100%以上","未登録","ok",""
"東京都","東村山市","132136","17-1-000","公共下水道","法適用","R6","107.9462","118.4411","109.7223","-7.4","経費回収率100%以上","未登録","ok",""
"東京都","西東京市","132292","17-1-000","公共下水道","法適用","R6","107.1142","94.8569","88.5567","-6.6","経費回収率100%以上","未登録","ok",""
"東京都","東大和市","132209","17-1-000","公共下水道","法適用","R6","105.9897","142.2911","134.25","-5.7","経費回収率100%以上","未登録","ok",""
"東京都","武蔵村山市","132233","17-1-000","公共下水道","法適用","R6","104.8187","112.6361","107.458","-4.6","経費回収率100%以上","未登録","ok",""
"東京都","武蔵野市","132039","17-1-000","公共下水道","法適用","R6","102.1073","81.8053","80.1169","-2.1","経費回収率100%以上","未登録","ok",""
"東京都","東久留米市","132225","17-1-000","公共下水道","法適用","R6","101.7422","129.2454","127.0322","-1.7","経費回収率100%以上","未登録","ok",""
"東京都","日の出町","133051","17-1-000","公共下水道","法適用","R6","100.9468","166.2297","164.6706","-0.9","経費回収率100%以上","未登録","ok",""
"東京都","町田市","132098","17-1-000","公共下水道","法適用","R6","97.4371","120.96","124.1417","2.6","経費回収率90%以上100%未満","未登録","ok",""
"東京都","清瀬市","132217","17-1-000","公共下水道","法適用","R6","94.6533","115.2926","121.8051","5.6","経費回収率90%以上100%未満","未登録","ok",""
"東京都","昭島市","132071","17-1-000","公共下水道","法適用","R6","93.9835","98.0468","104.3234","6.4","経費回収率90%以上100%未満","未登録","ok",""
"東京都","あきる野市","132284","17-1-000","公共下水道","法適用","R6","93.9125","112.8553","120.1707","6.5","経費回収率90%以上100%未満","未登録","ok",""
"東京都","調布市","132080","17-1-000","公共下水道","法適用","R6","93.2063","76.2856","81.846","7.3","経費回収率90%以上100%未満","未登録","ok",""
"東京都","三鷹市","132047","17-1-000","公共下水道","法適用","R6","87.7557","83.7914","95.4826","14.0","経費回収率80%以上90%未満","未登録","ok",""
"東京都","羽村市","132276","17-1-000","公共下水道","法適用","R6","87.2816","95.8205","109.7832","14.6","経費回収率80%以上90%未満","未登録","ok",""
"東京都","瑞穂町","133035","17-1-000","公共下水道","法適用","R6","73.4502","113.4457","154.4525","36.1","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"東京都","新島村","133639","17-6-000","漁業集落排水","法適用","R6","66.7075","197.8577","296.6047","49.9","経費回収率80%未満・使用料単価150円/m³以上等","未登録","ok",""
"東京都","八丈町","134015","18-0-000","特定地域生活排水処理施設","法適用","R6","34.3009","182.5931","532.3273","191.5","経費回収率80%未満・使用料単価150円/m³以上等","未登録","ok",""
"東京都","神津島村","133647","17-5-000","農業集落排水","法適用","R6","32.4853","204.4309","629.3031","207.8","経費回収率80%未満・使用料単価150円/m³以上等","未登録","ok",""
"東京都","小笠原村","134210","18-0-000","特定地域生活排水処理施設","法適用","R6","28.0163","175.4271","626.1611","256.9","経費回収率80%未満・使用料単価150円/m³以上等","未登録","ok",""
"東京都","奥多摩町","133086","17-4-000","特定環境保全公共下水道","法適用","R6","26.7222","129.8612","485.9678","274.2","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"東京都","青梅市","132055","18-0-000","特定地域生活排水処理施設","法適用","R6","24.387","106.9434","438.5271","310.1","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"東京都","八王子市","132012","18-0-000","特定地域生活排水処理施設","法適用","R6","21.9322","142.1542","648.1521","356.0","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"東京都","大島町","133612","18-0-000","特定地域生活排水処理施設","法適用","R6","13.9067","318.8716","2292.9401","619.1","経費回収率80%未満・使用料単価150円/m³以上等","未登録","warning","汚水処理原価が1000円/m³超"
"東京都","檜原村","133078","17-4-000","特定環境保全公共下水道","法適用","R6","13.6148","113.9277","836.7953","634.5","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"東京都","利島村","133621","18-1-000","個別排水処理施設","法適用","R6","6.4648","297.7334","4605.4461","1446.8","経費回収率80%未満・使用料単価150円/m³以上等","未登録","warning","汚水処理原価が1000円/m³超"
