"都道府県","自治体名","自治体コード","事業キー","表示事業種別","会計区分","最新決算","経費回収率（%）","使用料単価（円/m³）","汚水処理原価（円/m³）","100%相当の増収率（%・単純試算）","経費回収率区分","公式改定情報","データ品質","品質注記"
"福島県","本宮市","072141","17-1-000","公共下水道","法適用","R6","109.9565","167.7574","152.5671","-9.1","経費回収率100%以上","未登録","ok",""
"福島県","田村市","072117","17-1-000","公共下水道","法適用","R6","100","216.6446","216.6446","0.0","経費回収率100%以上","未登録","ok",""
"福島県","国見町","073032","17-1-000","公共下水道","法適用","R6","100","172.5343","172.5343","0.0","経費回収率100%以上","未登録","ok",""
"福島県","三春町","075213","17-5-000","農業集落排水","法適用","R6","99.73","228.3834","229.0017","0.3","経費回収率90%以上100%未満","未登録","ok",""
"福島県","伊達市","072133","17-1-000","公共下水道","法適用","R6","95.8091","179.0148","186.8454","4.4","経費回収率90%以上100%未満","未登録","ok",""
"福島県","大玉村","073229","17-5-000","農業集落排水","法適用","R6","94.1395","226.3575","240.449","6.2","経費回収率90%以上100%未満","未登録","ok",""
"福島県","只見町","073679","17-5-000","農業集落排水","法適用","R6","86.701","197.2041","227.4531","15.3","経費回収率80%以上90%未満","未登録","ok",""
"福島県","平田村","075035","17-5-000","農業集落排水","法適用","R6","82.6329","220.5224","266.8701","21.0","経費回収率80%以上90%未満","未登録","ok",""
"福島県","桑折町","073016","17-1-000","公共下水道","法適用","R6","75.8239","163.7749","215.9937","31.9","経費回収率80%未満・使用料単価150円/m³以上等","未登録","ok",""
"福島県","福島市","072010","17-5-000","農業集落排水","法適用","R6","74.7136","132.2561","177.0175","33.8","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"福島県","玉川村","075027","17-5-000","農業集落排水","法適用","R6","73.8404","192.665","260.9208","35.4","経費回収率80%未満・使用料単価150円/m³以上等","未登録","ok",""
"福島県","会津美里町","074471","17-4-000","特定環境保全公共下水道","法適用","R6","73.489","112.4304","152.9894","36.1","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"福島県","鮫川村","074845","17-5-000","農業集落排水","法適用","R6","69.6451","127.4925","183.0603","43.6","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"福島県","浅川町","075043","17-4-000","特定環境保全公共下水道","法適用","R6","69.116","191.5054","277.0781","44.7","経費回収率80%未満・使用料単価150円/m³以上等","未登録","ok",""
"福島県","磐梯町","074071","17-5-000","農業集落排水","法適用","R6","69.0155","151.3329","219.2737","44.9","経費回収率80%未満・使用料単価150円/m³以上等","未登録","ok",""
"福島県","南会津町","073687","17-1-000","公共下水道","法適用","R6","62.4288","214.0524","342.8743","60.2","経費回収率80%未満・使用料単価150円/m³以上等","未登録","ok",""
"福島県","泉崎村","074641","17-5-000","農業集落排水","法適用","R6","62.0889","93.1335","150.0003","61.1","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"福島県","会津若松市","072028","17-5-000","農業集落排水","法適用","R6","61.2621","168.1617","274.4956","63.2","経費回収率80%未満・使用料単価150円/m³以上等","未登録","ok",""
"福島県","二本松市","072109","17-1-000","公共下水道","法適用","R6","60.9896","147.5279","241.8902","64.0","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"福島県","矢吹町","074667","17-5-000","農業集落排水","法適用","R6","60.1094","134.9054","224.4331","66.4","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
