"都道府県","自治体名","自治体コード","事業キー","表示事業種別","会計区分","最新決算","経費回収率（%）","使用料単価（円/m³）","汚水処理原価（円/m³）","使用料収入の必要増加率（%・単純計算）","経費回収率区分","公式改定情報","データ品質","品質注記"
"山梨県","昭和町","193844","17-1-000","公共下水道","法適用","R6","94.8488","135.2597","142.6056","5.4","経費回収率90%以上100%未満","未登録","ok",""
"山梨県","甲斐市","192104","17-1-000","公共下水道","法適用","R6","77.2423","115.8637","150.0003","29.5","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"山梨県","韮崎市","192074","17-1-000","公共下水道","法適用","R6","75.8706","114.02","150.2823","31.8","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"山梨県","山梨市","192058","17-1-000","公共下水道","法適用","R6","73.6726","138.4608","187.9408","35.7","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"山梨県","上野原市","192121","17-1-000","公共下水道","法適用","R6","73.4235","185.4046","252.5138","36.2","経費回収率80%未満・使用料単価150円/m³以上等","未登録","ok",""
"山梨県","都留市","192040","17-1-000","公共下水道","法適用","R6","68.5155","145.3296","212.1121","46.0","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"山梨県","南アルプス市","192082","17-1-000","公共下水道","法適用","R6","68.2416","102.6456","150.4151","46.5","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"山梨県","富士吉田市","192023","17-1-000","公共下水道","法適用","R6","65.5647","97.4301","148.6015","52.5","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"山梨県","北杜市","192091","17-5-000","農業集落排水","法適用","R6","62.884","136.1187","216.4599","59.0","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"山梨県","富士河口湖町","194301","17-1-000","公共下水道","法適用","R6","60.3685","91.82","152.0992","65.6","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"山梨県","市川三郷町","193461","17-1-000","公共下水道","法適用","R6","60.0307","99.0603","165.0161","66.6","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"山梨県","甲州市","192139","17-4-000","特定環境保全公共下水道","法適用","R6","49.4859","151.5058","306.1598","102.1","経費回収率80%未満・使用料単価150円/m³以上等","未登録","ok",""
"山梨県","身延町","193658","17-1-000","公共下水道","法適用","R6","44.7352","118.1486","264.1068","123.5","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"山梨県","忍野村","194247","17-1-000","公共下水道","法適用","R6","43.8787","65.8182","150.0004","127.9","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"山梨県","山中湖村","194255","17-1-000","公共下水道","法適用","R6","43.1772","70.5503","163.3972","131.6","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"山梨県","大月市","192066","17-1-000","公共下水道","法適用","R6","39.8945","128.9785","323.2987","150.7","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"山梨県","笛吹市","192112","17-5-000","農業集落排水","法適用","R6","39.7036","151.2697","380.997","151.9","経費回収率80%未満・使用料単価150円/m³以上等","未登録","ok",""
"山梨県","中央市","192147","17-5-000","農業集落排水","法適用","R6","36.2622","113.8111","313.8561","175.8","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"山梨県","早川町","193640","17-4-000","特定環境保全公共下水道","法非適用","R6","35.6762","12.6645","35.4985","180.3","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"山梨県","道志村","194221","18-1-000","個別排水処理施設","法適用","R6","35.1563","146.2592","416.0256","184.4","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"山梨県","甲府市","192015","17-5-000","農業集落排水","法適用","R6","33.2978","101.4559","304.6926","200.3","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"山梨県","富士川町","193682","17-1-000","公共下水道","法適用","R6","29.5952","114.427","386.6407","237.9","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"山梨県","西桂町","194239","17-1-000","公共下水道","法適用","R6","14.4256","100.408","696.0426","593.2","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"山梨県","丹波山村","194433","17-4-000","特定環境保全公共下水道","法適用","R6","11.1843","35.6157","318.444","794.1","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"山梨県","小菅村","194425","17-4-000","特定環境保全公共下水道","法適用","R6","10.3693","45.1766","435.6769","864.4","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
