"都道府県","自治体名","自治体コード","事業キー","表示事業種別","会計区分","最新決算","経費回収率（%）","使用料単価（円/m³）","汚水処理原価（円/m³）","使用料収入の必要増加率（%・単純計算）","経費回収率区分","改定情報","データ品質","品質注記"
"千葉県","茂原市","122106","17-1-000","公共下水道","法適用","R6","125.6521","175.6129","139.7612","0.0","経費回収率100%以上","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"千葉県","佐倉市","122122","17-1-000","公共下水道","法適用","R6","115.1459","146.2762","127.0355","0.0","経費回収率100%以上","改定情報なし（R5・R6施行年月日を比較済み・2事業）","ok",""
"千葉県","浦安市","122271","17-1-000","公共下水道","法適用","R6","108.9798","118.9145","109.1161","0.0","経費回収率100%以上","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"千葉県","習志野市","122165","17-1-000","公共下水道","法適用","R6","108.9635","156.7229","143.8306","0.0","経費回収率100%以上","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"千葉県","白井市","122327","17-1-000","公共下水道","法適用","R6","107.0934","121.1808","113.1543","0.0","経費回収率100%以上","改定情報なし（R5・R6施行年月日を比較済み・2事業）","ok",""
"千葉県","千葉市","121002","17-1-000","公共下水道","法適用","R6","106.0545","142.1475","134.0325","0.0","経費回収率100%以上","施行年月日が変化（2事業）｜公共下水道 R5 2014年4月1日 → R6 2024年4月1日／特定環境保全公共下水道 R5 2014年4月1日 → R6 2024年4月1日","ok",""
"千葉県","印西市","122319","17-1-000","公共下水道","法適用","R6","104.1391","122.3861","117.5217","0.0","経費回収率100%以上","改定情報なし（R5・R6施行年月日を比較済み・2事業）","ok",""
"千葉県","八千代市","122211","17-1-000","公共下水道","法適用","R6","103.8812","125.3637","120.6799","0.0","経費回収率100%以上","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"千葉県","四街道市","122289","17-1-000","公共下水道","法適用","R6","102.6","134.4607","131.0533","0.0","経費回収率100%以上","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"千葉県","松戸市","122076","17-1-000","公共下水道","法適用","R6","100","150.1784","150.1784","0.0","経費回収率100%以上","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"千葉県","鎌ケ谷市","122246","17-1-000","公共下水道","法適用","R6","100","156.3219","156.3219","0.0","経費回収率100%以上","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"千葉県","東金市","122131","17-1-000","公共下水道","法適用","R6","99.7664","150.6344","150.9871","0.2","経費回収率90%以上100%未満","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"千葉県","柏市","122173","17-1-000","公共下水道","法適用","R6","99.5475","146.669","147.3357","0.5","経費回収率90%以上100%未満","改定情報なし（R5・R6施行年月日を比較済み・2事業）","ok",""
"千葉県","成田市","122114","17-1-000","公共下水道","法適用","R6","99.3573","117.5846","118.3452","0.6","経費回収率90%以上100%未満","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"千葉県","八街市","122301","17-1-000","公共下水道","法適用","R6","99.3503","140.1742","141.0909","0.7","経費回収率90%以上100%未満","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"千葉県","銚子市","122025","17-1-000","公共下水道","法適用","R6","97.1066","171.2935","176.3974","3.0","経費回収率90%以上100%未満","改定情報なし（R5・R6施行年月日を比較済み・2事業）","ok",""
"千葉県","流山市","122203","17-1-000","公共下水道","法適用","R6","95.726","127.2692","132.9516","4.5","経費回収率90%以上100%未満","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"千葉県","市川市","122033","17-1-000","公共下水道","法適用","R6","95.4443","143.7418","150.6028","4.8","経費回収率90%以上100%未満","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"千葉県","大網白里市","122394","17-1-000","公共下水道","法適用","R6","95.3695","190.2955","199.535","4.9","経費回収率90%以上100%未満","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"千葉県","我孫子市","122220","17-1-000","公共下水道","法適用","R6","94.6209","141.9747","150.0457","5.7","経費回収率90%以上100%未満","改定情報なし（R5・R6施行年月日を比較済み・2事業）","ok",""
"千葉県","野田市","122084","17-1-000","公共下水道","法適用","R6","94.5862","141.8793","150","5.7","経費回収率90%以上100%未満","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"千葉県","船橋市","122041","17-1-000","公共下水道","法適用","R6","93.9431","140.9147","150","6.4","経費回収率90%以上100%未満","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"千葉県","木更津市","122068","17-1-000","公共下水道","法適用","R6","93.2396","142.4035","152.7286","7.3","経費回収率90%以上100%未満","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"千葉県","袖ケ浦市","122297","17-1-000","公共下水道","法適用","R6","90.1518","135.2276","150","10.9","経費回収率90%以上100%未満","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"千葉県","富里市","122335","17-1-000","公共下水道","法適用","R6","85.5727","133.4881","155.9938","16.9","経費回収率80%以上90%未満","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"千葉県","市原市","122190","17-1-000","公共下水道","法適用","R6","84.8253","126.9865","149.7035","17.9","経費回収率80%以上90%未満","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"千葉県","酒々井町","123226","17-1-000","公共下水道","法適用","R6","81.3307","121.0519","148.8391","23.0","経費回収率80%以上90%未満","改定情報なし（R5・R6施行年月日を比較済み・2事業）","ok",""
"千葉県","香取市","122360","17-1-000","公共下水道","法適用","R6","80.2003","152.2488","189.8357","24.7","経費回収率80%以上90%未満","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"千葉県","長南町","124273","17-5-000","農業集落排水","法適用","R6","70.8044","164.2554","231.9847","41.2","経費回収率80%未満・使用料単価150円/m³以上等","比較対象外","ok",""
"千葉県","栄町","123293","17-1-000","公共下水道","法適用","R6","70.6461","134.0733","189.7817","41.6","経費回収率80%未満・使用料単価150円/m³未満","改定情報なし（R5・R6施行年月日を比較済み・2事業）","ok",""
"千葉県","一宮町","124214","17-5-000","農業集落排水","法適用","R6","67.8092","179.8731","265.2636","47.5","経費回収率80%未満・使用料単価150円/m³以上等","比較対象外","ok",""
"千葉県","九十九里町","124036","17-5-000","農業集落排水","法適用","R6","61.8655","168.4799","272.3325","61.6","経費回収率80%未満・使用料単価150円/m³以上等","比較対象外","ok",""
"千葉県","長柄町","124265","17-5-000","農業集落排水","法適用","R6","52.6274","144.9521","275.4311","90.0","経費回収率80%未満・使用料単価150円/m³未満","比較対象外","ok",""
"千葉県","横芝光町","124109","17-5-000","農業集落排水","法適用","R6","52.2388","126.1283","241.4456","91.4","経費回収率80%未満・使用料単価150円/m³未満","比較対象外","ok",""
"千葉県","睦沢町","124222","17-5-000","農業集落排水","法適用","R6","50.7479","182.2884","359.2036","97.1","経費回収率80%未満・使用料単価150円/m³以上等","比較対象外","ok",""
"千葉県","旭市","122157","17-1-000","公共下水道","法適用","R6","41.8607","172.7558","412.6918","138.9","経費回収率80%未満・使用料単価150円/m³以上等","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"千葉県","多古町","123471","17-5-000","農業集落排水","法適用","R6","41.0057","121.1409","295.4244","143.9","経費回収率80%未満・使用料単価150円/m³未満","比較対象外","ok",""
"千葉県","芝山町","124095","17-1-000","公共下水道","法適用","R6","40.8908","104.4102","255.3389","144.6","経費回収率80%未満・使用料単価150円/m³未満","改定情報なし（R5・R6施行年月日を比較済み・2事業）","ok",""
"千葉県","山武市","122378","17-5-000","農業集落排水","法適用","R6","40.8426","143.8702","352.2551","144.8","経費回収率80%未満・使用料単価150円/m³未満","比較対象外","ok",""
"千葉県","長生村","124231","17-1-000","公共下水道","法適用","R6","39.3766","144.7141","367.5129","154.0","経費回収率80%未満・使用料単価150円/m³未満","改定情報なし（R5・R6施行年月日を比較済み・2事業）","ok",""
"千葉県","館山市","122050","17-1-000","公共下水道","法適用","R6","38.6409","167.2221","432.7588","158.8","経費回収率80%未満・使用料単価150円/m³以上等","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"千葉県","君津市","122254","17-5-000","農業集落排水","法適用","R6","13.5822","120.4964","887.1652","636.3","経費回収率80%未満・使用料単価150円/m³未満","比較対象外","ok",""
