"都道府県","自治体名","自治体コード","事業キー","表示事業種別","会計区分","最新決算","経費回収率（%）","使用料単価（円/m³）","汚水処理原価（円/m³）","使用料収入の必要増加率（%・単純計算）","経費回収率区分","改定情報","データ品質","品質注記"
"和歌山県","上富田町","304042","17-1-000","公共下水道","法適用","R6","116.0161","151.9717","130.9919","0.0","経費回収率100%以上","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"和歌山県","高野町","303445","17-1-000","公共下水道","法適用","R6","103.37","155.3988","150.3326","0.0","経費回収率100%以上","改定情報なし（R5・R6施行年月日を比較済み・2事業）","ok",""
"和歌山県","美浜町","303810","17-1-000","公共下水道","法適用","R6","100","155.1163","155.1163","0.0","経費回収率100%以上","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"和歌山県","和歌山市","302015","17-1-000","公共下水道","法適用","R6","99.2652","179.0348","180.3601","0.7","経費回収率90%以上100%未満","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"和歌山県","橋本市","302031","17-1-000","公共下水道","法適用","R6","98.1819","167.5664","170.6694","1.9","経費回収率90%以上100%未満","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"和歌山県","白浜町","304018","17-1-000","公共下水道","法適用","R6","97.35","157.3009","161.5828","2.7","経費回収率90%以上100%未満","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"和歌山県","岩出市","302091","17-1-000","公共下水道","法適用","R6","95.8463","140.4467","146.5332","4.3","経費回収率90%以上100%未満","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"和歌山県","紀の川市","302082","17-1-000","公共下水道","法適用","R6","94.8551","155.4185","163.8484","5.4","経費回収率90%以上100%未満","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"和歌山県","由良町","303836","17-1-000","公共下水道","法適用","R6","86.8776","163.7637","188.4994","15.1","経費回収率80%以上90%未満","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"和歌山県","みなべ町","303917","17-1-000","公共下水道","法適用","R6","73.5614","140.0099","190.3306","35.9","経費回収率80%未満・使用料単価150円/m³未満","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"和歌山県","九度山町","303437","17-1-000","公共下水道","法適用","R6","69.3266","148.2504","213.8436","44.2","経費回収率80%未満・使用料単価150円/m³未満","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"和歌山県","有田川町","303666","17-1-000","公共下水道","法適用","R6","68.0103","125.8598","185.0599","47.0","経費回収率80%未満・使用料単価150円/m³未満","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"和歌山県","かつらぎ町","303411","17-1-000","公共下水道","法適用","R6","67.0881","153.453","228.7334","49.1","経費回収率80%未満・使用料単価150円/m³以上等","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"和歌山県","串本町","304280","17-4-000","特定環境保全公共下水道","法適用","R6","58.8903","192.0311","326.0828","69.8","経費回収率80%未満・使用料単価150円/m³以上等","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"和歌山県","日高川町","303925","17-5-000","農業集落排水","法適用","R6","57.9854","217.4164","374.95","72.5","経費回収率80%未満・使用料単価150円/m³以上等","比較対象外","ok",""
"和歌山県","太地町","304221","17-1-000","公共下水道","法適用","R6","56.5","109.8353","194.3988","77.0","経費回収率80%未満・使用料単価150円/m³未満","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"和歌山県","印南町","303909","17-5-000","農業集落排水","法適用","R6","54.1611","214.4057","395.8667","84.6","経費回収率80%未満・使用料単価150円/m³以上等","比較対象外","ok",""
"和歌山県","日高町","303828","17-5-000","農業集落排水","法適用","R6","49.6703","199.9986","402.6518","101.3","経費回収率80%未満・使用料単価150円/m³以上等","比較対象外","ok",""
"和歌山県","広川町","303623","17-4-000","特定環境保全公共下水道","法適用","R6","48.7544","145.991","299.4415","105.1","経費回収率80%未満・使用料単価150円/m³未満","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"和歌山県","田辺市","302066","17-4-000","特定環境保全公共下水道","法適用","R6","39.6888","144.2519","363.4571","152.0","経費回収率80%未満・使用料単価150円/m³未満","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"和歌山県","御坊市","302058","17-4-000","特定環境保全公共下水道","法適用","R6","38.3322","143.2617","373.7371","160.9","経費回収率80%未満・使用料単価150円/m³未満","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"和歌山県","湯浅町","303615","17-5-000","農業集落排水","法適用","R6","35.1739","117.894","335.1746","184.3","経費回収率80%未満・使用料単価150円/m³未満","比較対象外","ok",""
"和歌山県","紀美野町","303046","17-5-000","農業集落排水","法適用","R6","32.7242","151.0176","461.4854","205.6","経費回収率80%未満・使用料単価150円/m³以上等","比較対象外","ok",""
"和歌山県","有田市","302040","17-6-000","漁業集落排水","法適用","R6","13.6469","146.6733","1074.7722","632.8","経費回収率80%未満・使用料単価150円/m³未満","比較対象外","warning","汚水処理原価が1000円/m³超"
"和歌山県","那智勝浦町","304212","17-4-000","特定環境保全公共下水道","法適用","R6","10.2841","156.1502","1518.3726","872.4","経費回収率80%未満・使用料単価150円/m³以上等","改定情報なし（R5・R6施行年月日を比較済み・1事業）","warning","汚水処理原価が1000円/m³超"
