"都道府県","自治体名","自治体コード","事業キー","表示事業種別","会計区分","最新決算","経費回収率（%）","使用料単価（円/m³）","汚水処理原価（円/m³）","使用料収入の必要増加率（%・単純計算）","経費回収率区分","改定情報","データ品質","品質注記"
"宮崎県","綾町","453838","17-1-000","公共下水道","法適用","R6","119.5447","134.6267","112.6162","0.0","経費回収率100%以上","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"宮崎県","日南市","452041","17-1-000","公共下水道","法適用","R6","105.505","158.0958","149.8468","0.0","経費回収率100%以上","改定情報なし（R5・R6施行年月日を比較済み・2事業）","ok",""
"宮崎県","都城市","452025","17-1-000","公共下水道","法適用","R6","95.6551","147.5284","154.2296","4.5","経費回収率90%以上100%未満","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"宮崎県","高鍋町","454010","17-1-000","公共下水道","法適用","R6","95.5328","143.0904","149.7815","4.7","経費回収率90%以上100%未満","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"宮崎県","延岡市","452033","17-1-000","公共下水道","法適用","R6","95.4977","143.2465","150","4.7","経費回収率90%以上100%未満","改定情報なし（R5・R6施行年月日を比較済み・2事業）","ok",""
"宮崎県","日向市","452068","17-1-000","公共下水道","法適用","R6","93.6468","128.2885","136.9919","6.8","経費回収率90%以上100%未満","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"宮崎県","宮崎市","452017","17-1-000","公共下水道","法適用","R6","88.8882","133.8134","150.5413","12.5","経費回収率80%以上90%未満","改定情報なし（R5・R6施行年月日を比較済み・2事業）","ok",""
"宮崎県","国富町","453820","17-1-000","公共下水道","法適用","R6","88.0164","132.0244","149.9998","13.6","経費回収率80%以上90%未満","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"宮崎県","川南町","454052","17-1-000","公共下水道","法適用","R6","87.6872","131.451","149.909","14.0","経費回収率80%以上90%未満","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"宮崎県","小林市","452050","17-1-000","公共下水道","法適用","R6","85.8563","141.4891","164.7977","16.5","経費回収率80%以上90%未満","改定情報なし（R5・R6施行年月日を比較済み・2事業）","ok",""
"宮崎県","西都市","452084","17-1-000","公共下水道","法適用","R6","85.8502","135.5747","157.92","16.5","経費回収率80%以上90%未満","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"宮崎県","美郷町","454311","17-5-000","農業集落排水","法適用","R6","84.9177","134.7273","158.6563","17.8","経費回収率80%以上90%未満","比較対象外","ok",""
"宮崎県","串間市","452076","17-1-000","公共下水道","法適用","R6","82.6274","133.5426","161.6203","21.0","経費回収率80%以上90%未満","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"宮崎県","高千穂町","454419","17-1-000","公共下水道","法適用","R6","63.4652","148.7831","234.4325","57.6","経費回収率80%未満・使用料単価150円/m³未満","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"宮崎県","三股町","453412","17-1-000","公共下水道","法適用","R6","56.152","176.3674","314.0893","78.1","経費回収率80%未満・使用料単価150円/m³以上等","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"宮崎県","日之影町","454427","17-5-000","農業集落排水","法適用","R6","36.9189","242.4385","656.6786","170.9","経費回収率80%未満・使用料単価150円/m³以上等","比較対象外","ok",""
"宮崎県","西米良村","454036","17-4-000","特定環境保全公共下水道","法適用","R6","32.0504","162.7861","507.9065","212.0","経費回収率80%未満・使用料単価150円/m³以上等","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"宮崎県","木城町","454044","17-4-000","特定環境保全公共下水道","法適用","R6","29.7579","115.7149","388.8552","236.0","経費回収率80%未満・使用料単価150円/m³未満","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"宮崎県","高原町","453617","17-5-000","農業集落排水","法適用","R6","13.0281","131.4652","1009.089","667.6","経費回収率80%未満・使用料単価150円/m³未満","比較対象外","warning","汚水処理原価が1000円/m³超"
"宮崎県","諸塚村","454290","17-4-000","特定環境保全公共下水道","法非適用","R6","9.4321","105.2632","1116.0088","960.2","経費回収率80%未満・使用料単価150円/m³未満","改定情報なし（R5・R6施行年月日を比較済み・1事業）","warning","汚水処理原価が1000円/m³超"
