"都道府県","自治体名","自治体コード","事業キー","表示事業種別","会計区分","最新決算","経費回収率（%）","使用料単価（円/m³）","汚水処理原価（円/m³）","使用料収入の必要増加率（%・単純計算）","経費回収率区分","公式改定情報","データ品質","品質注記"
"大阪府","熊取町","273619","17-1-000","公共下水道","法適用","R6","143.5559","156.0347","108.6926","0.0","経費回収率100%以上","未登録","ok",""
"大阪府","守口市","272094","17-1-000","公共下水道","法適用","R6","131.2291","132.642","101.0767","0.0","経費回収率100%以上","未登録","ok",""
"大阪府","東大阪市","272272","17-1-000","公共下水道","法適用","R6","129.2246","125.1086","96.8148","0.0","経費回収率100%以上","未登録","ok",""
"大阪府","泉佐野市","272132","17-1-000","公共下水道","法適用","R6","121.0527","199.1774","164.5378","0.0","経費回収率100%以上","未登録","ok",""
"大阪府","泉大津市","272060","17-1-000","公共下水道","法適用","R6","120.2997","148.7447","123.6452","0.0","経費回収率100%以上","未登録","ok",""
"大阪府","和泉市","272191","17-1-000","公共下水道","法適用","R6","118.9673","136.8345","115.0186","0.0","経費回収率100%以上","未登録","ok",""
"大阪府","堺市","271403","17-1-000","公共下水道","法適用","R6","114.171","174.3346","152.6961","0.0","経費回収率100%以上","未登録","ok",""
"大阪府","八尾市","272124","17-1-000","公共下水道","法適用","R6","110.8063","149.6761","135.079","0.0","経費回収率100%以上","未登録","ok",""
"大阪府","吹田市","272051","17-1-000","公共下水道","法適用","R6","108.8543","106.0655","97.438","0.0","経費回収率100%以上","未登録","ok",""
"大阪府","門真市","272230","17-1-000","公共下水道","法適用","R6","108.3283","139.0692","128.3775","0.0","経費回収率100%以上","未登録","ok",""
"大阪府","大東市","272183","17-1-000","公共下水道","法適用","R6","106.7135","118.697","111.2296","0.0","経費回収率100%以上","未登録","ok",""
"大阪府","箕面市","272205","17-1-000","公共下水道","法適用","R6","103.9862","103.1549","99.2006","0.0","経費回収率100%以上","未登録","ok",""
"大阪府","交野市","272302","17-1-000","公共下水道","法適用","R6","102.2179","126.0069","123.2727","0.0","経費回収率100%以上","未登録","ok",""
"大阪府","寝屋川市","272159","17-1-000","公共下水道","法適用","R6","101.481","135.1139","133.1421","0.0","経費回収率100%以上","未登録","ok",""
"大阪府","摂津市","272248","17-1-000","公共下水道","法適用","R6","100.0001","153.9576","153.9575","0.0","経費回収率100%以上","未登録","ok",""
"大阪府","四條畷市","272299","17-1-000","公共下水道","法適用","R6","99.5404","127.0363","127.6229","0.5","経費回収率90%以上100%未満","未登録","ok",""
"大阪府","枚方市","272108","17-1-000","公共下水道","法適用","R6","99.2432","149.3734","150.5126","0.8","経費回収率90%以上100%未満","未登録","ok",""
"大阪府","忠岡町","273414","17-1-000","公共下水道","法適用","R6","98.843","144.6756","146.3692","1.2","経費回収率90%以上100%未満","未登録","ok",""
"大阪府","藤井寺市","272264","17-1-000","公共下水道","法適用","R6","97.8366","155.6142","159.0552","2.2","経費回収率90%以上100%未満","未登録","ok",""
"大阪府","大阪市","271004","17-1-000","公共下水道","法適用","R6","97.554","93.0881","95.4222","2.5","経費回収率90%以上100%未満","未登録","ok",""
"大阪府","羽曳野市","272221","17-1-000","公共下水道","法適用","R6","96.2842","161.8747","168.1218","3.9","経費回収率90%以上100%未満","未登録","ok",""
"大阪府","高槻市","272078","17-4-000","特定環境保全公共下水道","法適用","R6","95.6511","143.4829","150.0065","4.5","経費回収率90%以上100%未満","未登録","ok",""
"大阪府","松原市","272175","17-1-000","公共下水道","法適用","R6","95.0898","157.7203","165.8646","5.2","経費回収率90%以上100%未満","未登録","ok",""
"大阪府","泉南市","272281","17-1-000","公共下水道","法適用","R6","94.5192","175.387","185.5571","5.8","経費回収率90%以上100%未満","未登録","ok",""
"大阪府","貝塚市","272086","17-1-000","公共下水道","法適用","R6","93.512","138.6381","148.2571","6.9","経費回収率90%以上100%未満","未登録","ok",""
"大阪府","高石市","272256","17-1-000","公共下水道","法適用","R6","93.449","147.3906","157.723","7.0","経費回収率90%以上100%未満","未登録","ok",""
"大阪府","池田市","272043","17-1-000","公共下水道","法適用","R6","93.3797","99.1923","106.2247","7.1","経費回収率90%以上100%未満","未登録","ok",""
"大阪府","大阪狭山市","272311","17-1-000","公共下水道","法適用","R6","90.9893","135.7594","149.2037","9.9","経費回収率90%以上100%未満","未登録","ok",""
"大阪府","阪南市","272329","17-1-000","公共下水道","法適用","R6","90.5592","146.88","162.1922","10.4","経費回収率90%以上100%未満","未登録","ok",""
"大阪府","豊中市","272035","17-1-000","公共下水道","法適用","R6","88.0819","83.1893","94.4454","13.5","経費回収率80%以上90%未満","未登録","ok",""
"大阪府","田尻町","273627","17-1-000","公共下水道","法適用","R6","86.9609","123.9649","142.5525","15.0","経費回収率80%以上90%未満","未登録","ok",""
"大阪府","太子町","273813","17-1-000","公共下水道","法適用","R6","81.896","128.7977","157.2699","22.1","経費回収率80%以上90%未満","未登録","ok",""
"大阪府","河南町","273821","17-4-000","特定環境保全公共下水道","法適用","R6","59.9773","89.9307","149.9413","66.7","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"大阪府","能勢町","273228","17-1-000","公共下水道","法適用","R6","45.1996","128.0398","283.2764","121.2","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"大阪府","岸和田市","272027","17-5-000","農業集落排水","法適用","R6","28.9968","154.3867","532.4275","244.9","経費回収率80%未満・使用料単価150円/m³以上等","未登録","ok",""
"大阪府","岬町","273660","17-6-000","漁業集落排水","法適用","R6","26.3853","103.5684","392.5226","279.0","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"大阪府","千早赤阪村","273830","17-1-000","公共下水道","法適用","R6","25.7116","130.0281","505.7183","288.9","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"大阪府","柏原市","272213","18-0-000","特定地域生活排水処理施設","法適用","R6","25.1155","98.7648","393.2427","298.2","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"大阪府","豊能町","273210","18-1-000","個別排水処理施設","法適用","R6","24.205","147.49","609.3373","313.1","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"大阪府","富田林市","272141","18-0-000","特定地域生活排水処理施設","法適用","R6","17.6791","75.692","428.1441","465.6","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"大阪府","島本町","273015","17-4-000","特定環境保全公共下水道","法適用","R6","14.8458","105.9185","713.459","573.6","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"大阪府","河内長野市","272167","17-4-000","特定環境保全公共下水道","法適用","R6","11.7398","143.159","1219.4319","751.8","経費回収率80%未満・使用料単価150円/m³未満","未登録","warning","汚水処理原価が1000円/m³超"
"大阪府","茨木市","272116","18-0-000","特定地域生活排水処理施設","法適用","R6","6.4765","100.6819","1554.5661","1444.0","経費回収率80%未満・使用料単価150円/m³未満","未登録","warning","汚水処理原価が1000円/m³超"
