"都道府県","自治体名","自治体コード","事業キー","表示事業種別","会計区分","最新決算","経費回収率（%）","使用料単価（円/m³）","汚水処理原価（円/m³）","使用料収入の必要増加率（%・単純計算）","経費回収率区分","改定情報","データ品質","品質注記"
"富山県","魚津市","162043","17-1-000","公共下水道","法適用","R6","110.0148","191.9431","174.4702","0.0","経費回収率100%以上","改定情報なし（R5・R6施行年月日を比較済み・2事業）","ok",""
"富山県","南砺市","162108","17-1-000","公共下水道","法適用","R6","104.9415","204.0611","194.4522","0.0","経費回収率100%以上","改定情報なし（R5・R6施行年月日を比較済み・2事業）","ok",""
"富山県","射水市","162116","17-1-000","公共下水道","法適用","R6","100","157.2693","157.2693","0.0","経費回収率100%以上","改定情報なし（R5・R6施行年月日を比較済み・2事業）","ok",""
"富山県","高岡市","162027","17-1-000","公共下水道","法適用","R6","99.947","192.6526","192.7547","0.1","経費回収率90%以上100%未満","改定情報なし（R5・R6施行年月日を比較済み・2事業）","ok",""
"富山県","砺波市","162086","17-1-000","公共下水道","法適用","R6","99.7754","162.5281","162.894","0.2","経費回収率90%以上100%未満","改定情報なし（R5・R6施行年月日を比較済み・2事業）","ok",""
"富山県","氷見市","162051","17-1-000","公共下水道","法適用","R6","99.2795","154.8161","155.9397","0.7","経費回収率90%以上100%未満","改定情報なし（R5・R6施行年月日を比較済み・2事業）","ok",""
"富山県","富山市","162019","17-1-000","公共下水道","法適用","R6","98.9428","180.7851","182.7168","1.1","経費回収率90%以上100%未満","改定情報なし（R5・R6施行年月日を比較済み・2事業）","ok",""
"富山県","入善町","163422","17-1-000","公共下水道","法適用","R6","98.4633","165.7305","168.3171","1.6","経費回収率90%以上100%未満","改定情報なし（R5・R6施行年月日を比較済み・2事業）","ok",""
"富山県","滑川市","162060","17-1-000","公共下水道","法適用","R6","97.6235","174.707","178.96","2.4","経費回収率90%以上100%未満","改定情報なし（R5・R6施行年月日を比較済み・2事業）","ok",""
"富山県","小矢部市","162094","17-1-000","公共下水道","法適用","R6","89.6653","165.6607","184.7546","11.5","経費回収率80%以上90%未満","改定情報なし（R5・R6施行年月日を比較済み・2事業）","ok",""
"富山県","黒部市","162078","17-1-000","公共下水道","法適用","R6","82.2661","165.831","201.5787","21.6","経費回収率80%以上90%未満","施行年月日が変化（2事業）｜公共下水道 R5 2022年7月1日 → R6 2024年7月1日／特定環境保全公共下水道 R5 2022年7月1日 → R6 2024年7月1日","ok",""
"富山県","朝日町","163431","17-1-000","公共下水道","法適用","R6","77.223","135.4525","175.4043","29.5","経費回収率80%未満・使用料単価150円/m³未満","改定情報なし（R5・R6施行年月日を比較済み・2事業）","ok",""
"富山県","上市町","163228","17-4-000","特定環境保全公共下水道","法適用","R6","65.5921","178.9915","272.8858","52.5","経費回収率80%未満・使用料単価150円/m³以上等","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"富山県","立山町","163236","17-5-000","農業集落排水","法適用","R6","61.7384","183.8456","297.7816","62.0","経費回収率80%未満・使用料単価150円/m³以上等","比較対象外","ok",""
