"都道府県","自治体名","自治体コード","事業キー","表示事業種別","会計区分","最新決算","経費回収率（%）","使用料単価（円/m³）","汚水処理原価（円/m³）","100%相当の増収率（%・単純試算）","経費回収率区分","公式改定情報","データ品質","品質注記"
"静岡県","小山町","223441","17-1-000","公共下水道","法適用","R6","93.145","147.2983","158.1387","7.4","経費回収率90%以上100%未満","未登録","ok",""
"静岡県","富士市","222101","17-1-000","公共下水道","法適用","R6","92.8254","139.2367","149.9985","7.7","経費回収率90%以上100%未満","未登録","ok",""
"静岡県","清水町","223417","17-1-000","公共下水道","法適用","R6","88.0049","132.0075","150.0001","13.6","経費回収率80%以上90%未満","未登録","ok",""
"静岡県","裾野市","222208","17-1-000","公共下水道","法適用","R6","86.1236","129.1854","149.9999","16.1","経費回収率80%以上90%未満","未登録","ok",""
"静岡県","湖西市","222216","17-1-000","公共下水道","法適用","R6","85.474","144.6893","169.2787","17.0","経費回収率80%以上90%未満","未登録","ok",""
"静岡県","三島市","222062","17-4-000","特定環境保全公共下水道","法適用","R6","79.4322","119.1481","149.9998","25.9","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"静岡県","伊豆の国市","222259","17-4-000","特定環境保全公共下水道","法適用","R6","77.1534","115.7303","150.0003","29.6","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"静岡県","焼津市","222127","17-1-000","公共下水道","法適用","R6","76.0256","133.1711","175.1663","31.5","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"静岡県","森町","224618","17-1-000","公共下水道","法適用","R6","75.8972","112.027","147.6036","31.8","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"静岡県","函南町","223255","17-4-000","特定環境保全公共下水道","法適用","R6","74.6345","111.9515","149.9996","34.0","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"静岡県","下田市","222194","17-1-000","公共下水道","法適用","R6","74.2127","161.2755","217.3152","34.7","経費回収率80%未満・使用料単価150円/m³以上等","未登録","ok",""
"静岡県","浜松市","221309","17-4-000","特定環境保全公共下水道","法適用","R6","74.1937","112.8748","152.1352","34.8","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"静岡県","富士宮市","222071","17-1-000","公共下水道","法適用","R6","70.3692","105.5539","150.0001","42.1","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"静岡県","菊川市","222241","17-1-000","公共下水道","法適用","R6","64.2553","129.0564","200.8496","55.6","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"静岡県","松崎町","223051","17-5-000","農業集落排水","法適用","R6","63.3676","170.9695","269.8061","57.8","経費回収率80%未満・使用料単価150円/m³以上等","未登録","ok",""
"静岡県","吉田町","224243","17-1-000","公共下水道","法適用","R6","59.0684","120.7669","204.4526","69.3","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"静岡県","長泉町","223425","17-1-000","公共下水道","法適用","R6","58.7879","88.1819","150","70.1","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"静岡県","南伊豆町","223042","17-1-000","公共下水道","法適用","R6","58.7605","118.1671","201.0995","70.2","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"静岡県","島田市","222097","17-1-000","公共下水道","法適用","R6","58.2255","147.4048","253.1619","71.7","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"静岡県","藤枝市","222143","17-5-000","農業集落排水","法適用","R6","55.8755","114.6916","205.2626","79.0","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"静岡県","牧之原市","222267","17-5-000","農業集落排水","法非適用","R6","55.8172","124.1013","222.3351","79.2","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"静岡県","伊豆市","222224","17-5-000","農業集落排水","法適用","R6","55.7438","123.807","222.1002","79.4","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"静岡県","掛川市","222135","17-5-000","農業集落排水","法適用","R6","53.6024","139.6826","260.5902","86.6","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"静岡県","伊東市","222089","17-1-000","公共下水道","法適用","R6","53.466","70.2722","131.4335","87.0","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"静岡県","袋井市","222160","17-5-000","農業集落排水","法適用","R6","52.4941","121.2731","231.0225","90.5","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"静岡県","御前崎市","222232","17-5-000","農業集落排水","法適用","R6","47.1367","104.9599","222.6716","112.1","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"静岡県","磐田市","222119","17-5-000","農業集落排水","法適用","R6","43.6152","134.3765","308.0953","129.3","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"静岡県","御殿場市","222151","17-5-000","農業集落排水","法適用","R6","30.9003","136.2847","441.0464","223.6","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"静岡県","熱海市","222054","17-6-000","漁業集落排水","法適用","R6","18.2519","237.4395","1300.9031","447.9","経費回収率80%未満・使用料単価150円/m³以上等","未登録","warning","汚水処理原価が1000円/m³超"
"静岡県","静岡市","221007","17-5-000","農業集落排水","法適用","R6","15.1915","89.2038","587.1974","558.3","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"静岡県","沼津市","222038","17-6-000","漁業集落排水","法適用","R6","12.7893","172.5824","1349.4242","681.9","経費回収率80%未満・使用料単価150円/m³以上等","未登録","warning","汚水処理原価が1000円/m³超"
