"都道府県","自治体名","自治体コード","事業キー","表示事業種別","会計区分","最新決算","経費回収率（%）","使用料単価（円/m³）","汚水処理原価（円/m³）","100%相当の増収率（%・単純試算）","経費回収率区分","公式改定情報","データ品質","品質注記"
"佐賀県","鳥栖市","412031","17-1-000","公共下水道","法適用","R6","100","151.0892","151.0892","0.0","経費回収率100%以上","未登録","ok",""
"佐賀県","基山町","413411","17-1-000","公共下水道","法適用","R6","98.7629","159.0373","161.0295","1.3","経費回収率90%以上100%未満","未登録","ok",""
"佐賀県","上峰町","413453","17-5-000","農業集落排水","法適用","R6","82.3808","167.7588","203.6382","21.4","経費回収率80%以上90%未満","未登録","ok",""
"佐賀県","多久市","412040","17-5-000","農業集落排水","法適用","R6","64.5242","189.1046","293.0752","55.0","経費回収率80%未満・使用料単価150円/m³以上等","未登録","ok",""
"佐賀県","神埼市","412104","18-0-000","特定地域生活排水処理施設","法適用","R6","63.2103","142.714","225.7765","58.2","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"佐賀県","嬉野市","412091","17-5-000","農業集落排水","法適用","R6","57.4082","147.274","256.5385","74.2","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"佐賀県","鹿島市","412074","17-1-000","公共下水道","法適用","R6","57.212","148.2612","259.1437","74.8","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"佐賀県","武雄市","412066","17-5-000","農業集落排水","法適用","R6","56.0634","192.2985","343.002","78.4","経費回収率80%未満・使用料単価150円/m³以上等","未登録","ok",""
"佐賀県","白石町","414255","17-5-000","農業集落排水","法適用","R6","52.1297","184.5652","354.05","91.8","経費回収率80%未満・使用料単価150円/m³以上等","未登録","ok",""
"佐賀県","江北町","414247","17-5-000","農業集落排水","法適用","R6","50.7937","142.3266","280.2052","96.9","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"佐賀県","みやき町","413461","17-5-000","農業集落排水","法適用","R6","46.8797","131.88","281.3157","113.3","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"佐賀県","小城市","412082","17-5-000","農業集落排水","法適用","R6","46.3496","177.6898","383.3687","115.8","経費回収率80%未満・使用料単価150円/m³以上等","未登録","ok",""
"佐賀県","佐賀市","412015","18-0-000","特定地域生活排水処理施設","法適用","R6","45.3234","112.0472","247.2173","120.6","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"佐賀県","伊万里市","412058","18-1-000","個別排水処理施設","法適用","R6","35.8531","179.8483","501.6251","178.9","経費回収率80%未満・使用料単価150円/m³以上等","未登録","ok",""
"佐賀県","吉野ヶ里町","413275","17-5-000","農業集落排水","法適用","R6","26.7393","169.917","635.4571","274.0","経費回収率80%未満・使用料単価150円/m³以上等","未登録","ok",""
"佐賀県","太良町","414417","17-6-000","漁業集落排水","法適用","R6","25.0341","128.6147","513.7588","299.5","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"佐賀県","有田町","414018","17-5-000","農業集落排水","法適用","R6","19.0321","172.6274","907.0321","425.4","経費回収率80%未満・使用料単価150円/m³以上等","未登録","ok",""
"佐賀県","玄海町","413879","17-4-000","特定環境保全公共下水道","法適用","R6","6.9422","186.0273","2679.6753","1340.5","経費回収率80%未満・使用料単価150円/m³以上等","未登録","warning","汚水処理原価が1000円/m³超"
"佐賀県","唐津市","412023","17-9-000","小規模集合排水処理施設","法適用","R6","6.7096","153.7793","2291.9201","1390.4","経費回収率80%未満・使用料単価150円/m³以上等","未登録","warning","汚水処理原価が1000円/m³超"
