"都道府県","自治体名","自治体コード","事業キー","表示事業種別","会計区分","最新決算","経費回収率（%）","使用料単価（円/m³）","汚水処理原価（円/m³）","使用料収入の必要増加率（%・単純計算）","経費回収率区分","改定情報","データ品質","品質注記"
"茨城県","守谷市","082244","17-1-000","公共下水道","法適用","R6","118.5913","126.8967","107.0034","0.0","経費回収率100%以上","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"茨城県","龍ケ崎市","082082","17-1-000","公共下水道","法適用","R6","107.6578","156.6088","145.4691","0.0","経費回収率100%以上","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"茨城県","大洗町","083097","17-1-000","公共下水道","法適用","R6","105.126","151.5145","144.1266","0.0","経費回収率100%以上","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"茨城県","牛久市","082198","17-1-000","公共下水道","法適用","R6","102.1285","144.1113","141.1078","0.0","経費回収率100%以上","施行年月日が変化（1事業）｜公共下水道 R5 1997年9月1日 → R6 2024年4月1日","ok",""
"茨城県","阿見町","084433","17-1-000","公共下水道","法適用","R6","101.6621","157.016","154.4489","0.0","経費回収率100%以上","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"茨城県","笠間市","082163","17-1-000","公共下水道","法適用","R6","100.306","181.0132","180.4609","0.0","経費回収率100%以上","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"茨城県","日立市","082023","17-1-000","公共下水道","法適用","R6","100.1831","163.4232","163.1245","0.0","経費回収率100%以上","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"茨城県","水戸市","082015","17-1-000","公共下水道","法適用","R6","100.0315","161.1488","161.0981","0.0","経費回収率100%以上","改定情報なし（R5・R6施行年月日を比較済み・2事業）","ok",""
"茨城県","那珂市","082261","17-1-000","公共下水道","法適用","R6","100","161.9779","161.9779","0.0","経費回収率100%以上","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"茨城県","大子町","083640","18-0-000","特定地域生活排水処理施設","法適用","R6","100","160.1346","160.1346","0.0","経費回収率100%以上","比較対象外","ok",""
"茨城県","美浦村","084425","17-1-000","公共下水道","法適用","R6","100","184.1594","184.1594","0.0","経費回収率100%以上","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"茨城県","筑西市","082279","17-1-000","公共下水道","法適用","R6","99.4664","175.2899","176.2304","0.5","経費回収率90%以上100%未満","改定情報なし（R5・R6施行年月日を比較済み・2事業）","ok",""
"茨城県","土浦市","082031","17-1-000","公共下水道","法適用","R6","99.1112","148.7644","150.0985","0.9","経費回収率90%以上100%未満","改定情報なし（R5・R6施行年月日を比較済み・2事業）","ok",""
"茨城県","つくば市","082201","17-1-000","公共下水道","法適用","R6","97.8167","148.1656","151.4728","2.2","経費回収率90%以上100%未満","改定情報なし（R5・R6施行年月日を比較済み・2事業）","ok",""
"茨城県","古河市","082040","17-1-000","公共下水道","法適用","R6","97.2591","165.0491","169.7004","2.8","経費回収率90%以上100%未満","改定情報なし（R5・R6施行年月日を比較済み・2事業）","ok",""
"茨城県","常陸大宮市","082252","17-1-000","公共下水道","法適用","R6","97.1314","161.323","166.0873","3.0","経費回収率90%以上100%未満","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"茨城県","石岡市","082058","17-1-000","公共下水道","法適用","R6","96.5182","145.8414","151.1025","3.6","経費回収率90%以上100%未満","改定情報なし（R5・R6施行年月日を比較済み・2事業）","ok",""
"茨城県","鹿嶋市","082228","17-1-000","公共下水道","法適用","R6","96.3787","147.5716","153.1164","3.8","経費回収率90%以上100%未満","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"茨城県","ひたちなか市","082210","17-1-000","公共下水道","法適用","R6","96.2198","144.3297","150","3.9","経費回収率90%以上100%未満","改定情報なし（R5・R6施行年月日を比較済み・2事業）","ok",""
"茨城県","結城市","082074","17-1-000","公共下水道","法適用","R6","95.0256","180.6589","190.1159","5.2","経費回収率90%以上100%未満","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"茨城県","神栖市","082325","17-1-000","公共下水道","法適用","R6","93.4937","158.3347","169.3534","7.0","経費回収率90%以上100%未満","改定情報なし（R5・R6施行年月日を比較済み・2事業）","ok",""
"茨城県","坂東市","082287","17-1-000","公共下水道","法適用","R6","91.7774","149.416","162.8026","9.0","経費回収率90%以上100%未満","改定情報なし（R5・R6施行年月日を比較済み・2事業）","ok",""
"茨城県","東海村","083411","17-1-000","公共下水道","法適用","R6","89.9553","134.9328","149.9998","11.2","経費回収率80%以上90%未満","改定情報なし（R5・R6施行年月日を比較済み・2事業）","ok",""
"茨城県","常陸太田市","082121","17-1-000","公共下水道","法適用","R6","88.6454","134.4044","151.6203","12.8","経費回収率80%以上90%未満","改定情報なし（R5・R6施行年月日を比較済み・2事業）","ok",""
"茨城県","つくばみらい市","082350","17-1-000","公共下水道","法適用","R6","86.8054","135.2604","155.8202","15.2","経費回収率80%以上90%未満","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"茨城県","五霞町","085421","17-1-000","公共下水道","法適用","R6","86.7699","150.3195","173.2391","15.2","経費回収率80%以上90%未満","改定情報なし（R5・R6施行年月日を比較済み・2事業）","ok",""
"茨城県","河内町","084476","17-4-000","特定環境保全公共下水道","法適用","R6","84.5114","151.6398","179.4312","18.3","経費回収率80%以上90%未満","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"茨城県","かすみがうら市","082309","17-1-000","公共下水道","法適用","R6","84.0502","135.2284","160.89","19.0","経費回収率80%以上90%未満","改定情報なし（R5・R6施行年月日を比較済み・2事業）","ok",""
"茨城県","常総市","082112","17-1-000","公共下水道","法適用","R6","82.1402","170.597","207.6901","21.7","経費回収率80%以上90%未満","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"茨城県","利根町","085642","17-1-000","公共下水道","法適用","R6","78.4053","119.9997","153.0506","27.5","経費回収率80%未満・使用料単価150円/m³未満","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"茨城県","城里町","083101","17-1-000","公共下水道","法適用","R6","76.1184","150.6591","197.9274","31.4","経費回収率80%未満・使用料単価150円/m³以上等","改定情報なし（R5・R6施行年月日を比較済み・2事業）","ok",""
"茨城県","潮来市","082236","17-1-000","公共下水道","法適用","R6","73.177","179.7562","245.6459","36.7","経費回収率80%未満・使用料単価150円/m³以上等","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"茨城県","境町","085464","17-1-000","公共下水道","法適用","R6","72.2185","167.914","232.5082","38.5","経費回収率80%未満・使用料単価150円/m³以上等","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
