"都道府県","自治体名","自治体コード","事業キー","表示事業種別","会計区分","最新決算","経費回収率（%）","使用料単価（円/m³）","汚水処理原価（円/m³）","100%相当の増収率（%・単純試算）","経費回収率区分","公式改定情報","データ品質","品質注記"
"秋田県","大潟村","053686","17-4-000","特定環境保全公共下水道","法適用","R6","139.0862","171.9197","123.6066","-28.1","経費回収率100%以上","未登録","ok",""
"秋田県","井川町","053660","17-4-000","特定環境保全公共下水道","法適用","R6","114.9013","150.4159","130.9088","-13.0","経費回収率100%以上","未登録","ok",""
"秋田県","八郎潟町","053635","17-1-000","公共下水道","法適用","R6","94.2056","154.0734","163.5502","6.2","経費回収率90%以上100%未満","未登録","ok",""
"秋田県","小坂町","053031","17-1-000","公共下水道","法適用","R6","83.4417","187.612","224.8422","19.8","経費回収率80%以上90%未満","未登録","ok",""
"秋田県","美郷町","054348","17-5-000","農業集落排水","法非適用","R6","79.079","138.8841","175.6272","26.5","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"秋田県","能代市","052027","18-0-000","特定地域生活排水処理施設","法適用","R6","76.2131","337.3326","442.6179","31.2","経費回収率80%未満・使用料単価150円/m³以上等","未登録","ok",""
"秋田県","にかほ市","052141","17-1-000","公共下水道","法適用","R6","75.2359","139.9939","186.0733","32.9","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"秋田県","大仙市","052124","18-0-000","特定地域生活排水処理施設","法適用","R6","71.7318","147.7614","205.9914","39.4","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"秋田県","由利本荘市","052108","17-5-000","農業集落排水","法適用","R6","69.3018","164.7246","237.6916","44.3","経費回収率80%未満・使用料単価150円/m³以上等","未登録","ok",""
"秋田県","羽後町","054631","17-5-000","農業集落排水","法適用","R6","69.1206","130.159","188.307","44.7","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"秋田県","五城目町","053619","17-1-000","公共下水道","法適用","R6","62.2797","124.1952","199.4152","60.6","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"秋田県","東成瀬村","054640","18-0-000","特定地域生活排水処理施設","法適用","R6","61.115","95.5292","156.3105","63.6","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"秋田県","北秋田市","052132","17-5-000","農業集落排水","法適用","R6","53.4544","144.0827","269.5432","87.1","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"秋田県","湯沢市","052078","17-4-000","特定環境保全公共下水道","法適用","R6","52.7853","212.6064","402.7761","89.4","経費回収率80%未満・使用料単価150円/m³以上等","未登録","ok",""
"秋田県","大館市","052043","17-5-000","農業集落排水","法非適用","R6","50.5041","173.9412","344.4105","98.0","経費回収率80%未満・使用料単価150円/m³以上等","未登録","ok",""
"秋田県","潟上市","052116","18-0-000","特定地域生活排水処理施設","法適用","R6","47.1254","155.9437","330.912","112.2","経費回収率80%未満・使用料単価150円/m³以上等","未登録","ok",""
"秋田県","鹿角市","052094","17-5-000","農業集落排水","法適用","R6","42.3799","138.7137","327.3102","136.0","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"秋田県","秋田市","052019","17-5-000","農業集落排水","法適用","R6","36.6611","162.2826","442.6563","172.8","経費回収率80%未満・使用料単価150円/m³以上等","未登録","ok",""
"秋田県","上小阿仁村","053279","17-5-000","農業集落排水","法適用","R6","36.6142","125.5817","342.9859","173.1","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"秋田県","八峰町","053490","17-5-000","農業集落排水","法適用","R6","34.6756","163.3943","471.2077","188.4","経費回収率80%未満・使用料単価150円/m³以上等","未登録","ok",""
"秋田県","男鹿市","052060","17-6-000","漁業集落排水","法適用","R6","33.079","176.6507","534.027","202.3","経費回収率80%未満・使用料単価150円/m³以上等","未登録","ok",""
"秋田県","仙北市","052159","18-1-000","個別排水処理施設","法適用","R6","30.497","226.5101","742.7293","227.9","経費回収率80%未満・使用料単価150円/m³以上等","未登録","ok",""
"秋田県","三種町","053481","17-5-000","農業集落排水","法適用","R6","30.4853","158.0328","518.3896","228.0","経費回収率80%未満・使用料単価150円/m³以上等","未登録","ok",""
"秋田県","横手市","052035","17-7-000","林業集落排水","法適用","R6","18.8123","151.1289","803.3503","431.6","経費回収率80%未満・使用料単価150円/m³以上等","未登録","ok",""
"秋田県","藤里町","053465","17-4-000","特定環境保全公共下水道","法適用","R6","15.4076","130.578","847.4907","549.0","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
