"都道府県","自治体名","自治体コード","事業キー","表示事業種別","会計区分","最新決算","経費回収率（%）","使用料単価（円/m³）","汚水処理原価（円/m³）","使用料収入の必要増加率（%・単純計算）","経費回収率区分","改定情報","データ品質","品質注記"
"三重県","菰野町","243418","17-1-000","公共下水道","法適用","R6","139.4761","152.0021","108.9808","0.0","経費回収率100%以上","改定情報なし（R5・R6施行年月日を比較済み・2事業）","ok",""
"三重県","伊賀市","242161","17-1-000","公共下水道","法適用","R6","134.3073","144.1708","107.344","0.0","経費回収率100%以上","改定情報なし（R5・R6施行年月日を比較済み・2事業）","ok",""
"三重県","桑名市","242055","17-1-000","公共下水道","法適用","R6","113.3766","197.0555","173.8062","0.0","経費回収率100%以上","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"三重県","名張市","242080","17-1-000","公共下水道","法適用","R6","100.4961","174.3636","173.5029","0.0","経費回収率100%以上","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"三重県","松阪市","242047","17-1-000","公共下水道","法適用","R6","100.019","172.2786","172.2458","0.0","経費回収率100%以上","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"三重県","四日市市","242021","17-1-000","公共下水道","法適用","R6","100","187.3317","187.3317","0.0","経費回収率100%以上","改定情報なし（R5・R6施行年月日を比較済み・2事業）","ok",""
"三重県","伊勢市","242039","17-1-000","公共下水道","法適用","R6","98.8775","148.7234","150.4118","1.1","経費回収率90%以上100%未満","改定情報なし（R5・R6施行年月日を比較済み・2事業）","ok",""
"三重県","多気町","244414","17-4-000","特定環境保全公共下水道","法適用","R6","98.8035","168.3822","170.4212","1.2","経費回収率90%以上100%未満","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"三重県","亀山市","242101","17-1-000","公共下水道","法適用","R6","96.8636","145.2953","149.9999","3.2","経費回収率90%以上100%未満","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"三重県","鈴鹿市","242071","17-1-000","公共下水道","法適用","R6","94.5709","172.7873","182.7066","5.7","経費回収率90%以上100%未満","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"三重県","津市","242012","17-1-000","公共下水道","法適用","R6","93.7952","150.5262","160.4839","6.6","経費回収率90%以上100%未満","改定情報なし（R5・R6施行年月日を比較済み・2事業）","ok",""
"三重県","いなべ市","242144","17-1-000","公共下水道","法適用","R6","90.5874","135.8811","149.9999","10.4","経費回収率90%以上100%未満","施行年月日が変化（2事業）｜公共下水道 R5 2023年10月1日 → R6 2024年4月1日／特定環境保全公共下水道 R5 2023年10月1日 → R6 2024年4月1日","ok",""
"三重県","大台町","244431","17-4-000","特定環境保全公共下水道","法適用","R6","89.6194","292.2113","326.058","11.6","経費回収率80%以上90%未満","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"三重県","東員町","243248","17-1-000","公共下水道","法適用","R6","89.377","114.7458","128.3841","11.9","経費回収率80%以上90%未満","改定情報なし（R5・R6施行年月日を比較済み・2事業）","ok",""
"三重県","朝日町","243434","17-1-000","公共下水道","法適用","R6","81.7621","122.6433","150.0001","22.3","経費回収率80%以上90%未満","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"三重県","玉城町","244619","17-1-000","公共下水道","法適用","R6","81.4091","122.1532","150.0485","22.8","経費回収率80%以上90%未満","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"三重県","御浜町","245615","17-4-000","特定環境保全公共下水道","法適用","R6","71.7082","155.5767","216.9581","39.5","経費回収率80%未満・使用料単価150円/m³以上等","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"三重県","志摩市","242152","17-4-000","特定環境保全公共下水道","法適用","R6","69.5543","239.3128","344.0663","43.8","経費回収率80%未満・使用料単価150円/m³以上等","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"三重県","明和町","244422","17-1-000","公共下水道","法適用","R6","66.223","139.2328","210.2483","51.0","経費回収率80%未満・使用料単価150円/m³未満","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"三重県","川越町","243442","17-1-000","公共下水道","法適用","R6","51.8157","77.7234","149.9999","93.0","経費回収率80%未満・使用料単価150円/m³未満","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"三重県","紀宝町","245623","18-0-000","特定地域生活排水処理施設","法適用","R6","49.849","119.9344","240.5952","100.6","経費回収率80%未満・使用料単価150円/m³未満","比較対象外","ok",""
"三重県","鳥羽市","242110","17-4-000","特定環境保全公共下水道","法適用","R6","40.0481","160.0754","399.708","149.7","経費回収率80%未満・使用料単価150円/m³以上等","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"三重県","木曽岬町","243035","17-1-000","公共下水道","法適用","R6","35.9705","109.6269","304.7693","178.0","経費回収率80%未満・使用料単価150円/m³未満","改定情報なし（R5・R6施行年月日を比較済み・2事業）","ok",""
"三重県","南伊勢町","244724","17-4-000","特定環境保全公共下水道","法適用","R6","34.8772","186.4697","534.6458","186.7","経費回収率80%未満・使用料単価150円/m³以上等","施行年月日が変化（1事業）｜特定環境保全公共下水道 R5 2012年4月1日 → R6 2009年4月1日","ok",""
