"都道府県","自治体名","自治体コード","事業キー","表示事業種別","会計区分","最新決算","経費回収率（%）","使用料単価（円/m³）","汚水処理原価（円/m³）","使用料収入の必要増加率（%・単純計算）","経費回収率区分","改定情報","データ品質","品質注記"
"島根県","松江市","322016","17-1-000","公共下水道","法適用","R6","115.5769","180.2538","155.9601","0.0","経費回収率100%以上","施行年月日が変化（1事業）｜特定環境保全公共下水道 R5 2011年4月1日 → R6 2017年4月1日","ok",""
"島根県","出雲市","322032","17-1-000","公共下水道","法適用","R6","106.6308","199.4127","187.0123","0.0","経費回収率100%以上","施行年月日が変化（2事業）｜公共下水道 R5 2011年4月1日 → R6 2024年4月1日／特定環境保全公共下水道 R5 2011年4月1日 → R6 2024年4月1日","ok",""
"島根県","益田市","322041","17-1-000","公共下水道","法適用","R6","95.8914","237.2631","247.4288","4.3","経費回収率90%以上100%未満","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"島根県","雲南市","322091","17-1-000","公共下水道","法適用","R6","90.4969","187.0422","206.6835","10.5","経費回収率90%以上100%未満","改定情報なし（R5・R6施行年月日を比較済み・2事業）","ok",""
"島根県","安来市","322067","17-1-000","公共下水道","法適用","R6","88.1333","235.4178","267.1155","13.5","経費回収率80%以上90%未満","改定情報なし（R5・R6施行年月日を比較済み・2事業）","ok",""
"島根県","津和野町","325015","17-4-000","特定環境保全公共下水道","法適用","R6","86.4832","210.2413","243.1008","15.6","経費回収率80%以上90%未満","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"島根県","奥出雲町","323438","17-1-000","公共下水道","法適用","R6","84.9158","218.111","256.8556","17.8","経費回収率80%以上90%未満","改定情報なし（R5・R6施行年月日を比較済み・2事業）","ok",""
"島根県","吉賀町","325058","17-4-000","特定環境保全公共下水道","法適用","R6","84.3732","126.5622","150.0027","18.5","経費回収率80%以上90%未満","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"島根県","邑南町","324493","17-4-000","特定環境保全公共下水道","法適用","R6","67.7691","191.01","281.8542","47.6","経費回収率80%未満・使用料単価150円/m³以上等","施行年月日が変化（1事業）｜特定環境保全公共下水道 R5 1999年4月1日 → R6 2024年4月1日","ok",""
"島根県","知夫村","325279","17-6-000","漁業集落排水","法適用","R6","65.7308","215.1296","327.2886","52.1","経費回収率80%未満・使用料単価150円/m³以上等","比較対象外","ok",""
"島根県","飯南町","323861","17-4-000","特定環境保全公共下水道","法適用","R6","63.8983","227.2207","355.5976","56.5","経費回収率80%未満・使用料単価150円/m³以上等","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"島根県","浜田市","322024","17-4-000","特定環境保全公共下水道","法適用","R6","61.8979","173.938","281.0077","61.6","経費回収率80%未満・使用料単価150円/m³以上等","比較対象外","ok",""
"島根県","川本町","324418","17-5-000","農業集落排水","法適用","R6","52.4228","194.818","371.6283","90.8","経費回収率80%未満・使用料単価150円/m³以上等","比較対象外","ok",""
"島根県","大田市","322059","17-1-000","公共下水道","法適用","R6","51.6534","180.8593","350.1404","93.6","経費回収率80%未満・使用料単価150円/m³以上等","改定情報なし（R5・R6施行年月日を比較済み・2事業）","ok",""
"島根県","海士町","325252","17-4-000","特定環境保全公共下水道","法適用","R6","47.1542","175.314","371.7888","112.1","経費回収率80%未満・使用料単価150円/m³以上等","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"島根県","江津市","322075","17-1-000","公共下水道","法適用","R6","46.8545","210.0606","448.3255","113.4","経費回収率80%未満・使用料単価150円/m³以上等","改定情報なし（R5・R6施行年月日を比較済み・2事業）","ok",""
"島根県","西ノ島町","325261","17-4-000","特定環境保全公共下水道","法適用","R6","25.3348","160.6771","634.2157","294.7","経費回収率80%未満・使用料単価150円/m³以上等","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"島根県","美郷町","324485","17-4-000","特定環境保全公共下水道","法適用","R6","23.9781","169.8625","708.406","317.0","経費回収率80%未満・使用料単価150円/m³以上等","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"島根県","隠岐の島町","325287","17-1-000","公共下水道","法適用","R6","19.7198","204.3969","1036.5066","407.1","経費回収率80%未満・使用料単価150円/m³以上等","改定情報なし（R5・R6施行年月日を比較済み・2事業）","warning","汚水処理原価が1000円/m³超"
