"都道府県","自治体名","自治体コード","事業キー","表示事業種別","会計区分","最新決算","経費回収率（%）","使用料単価（円/m³）","汚水処理原価（円/m³）","使用料収入の必要増加率（%・単純計算）","経費回収率区分","改定情報","データ品質","品質注記"
"栃木県","真岡市","092096","17-1-000","公共下水道","法適用","R6","100.7847","140.4484","139.3549","0.0","経費回収率100%以上","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"栃木県","高根沢町","093866","17-1-000","公共下水道","法適用","R6","100","151.9393","151.9393","0.0","経費回収率100%以上","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"栃木県","栃木市","092037","17-1-000","公共下水道","法適用","R6","99.9704","149.9557","150","0.0","経費回収率90%以上100%未満","施行年月日が変化（1事業）｜公共下水道 R5 2015年5月1日 → R6 2024年4月1日","ok",""
"栃木県","日光市","092061","17-1-000","公共下水道","法適用","R6","99.4858","151.7152","152.4993","0.5","経費回収率90%以上100%未満","改定情報なし（R5・R6施行年月日を比較済み・2事業）","ok",""
"栃木県","大田原市","092100","17-1-000","公共下水道","法適用","R6","99.0549","148.5823","149.9999","1.0","経費回収率90%以上100%未満","改定情報なし（R5・R6施行年月日を比較済み・2事業）","ok",""
"栃木県","矢板市","092118","17-1-000","公共下水道","法適用","R6","98.5274","167.2868","169.787","1.5","経費回収率90%以上100%未満","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"栃木県","足利市","092029","17-1-000","公共下水道","法適用","R6","98.1826","147.2739","150","1.9","経費回収率90%以上100%未満","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"栃木県","壬生町","093611","17-1-000","公共下水道","法適用","R6","97.5349","164.4918","168.6493","2.5","経費回収率90%以上100%未満","施行年月日が変化（1事業）｜公共下水道 R5 2012年6月1日 → R6 2024年5月1日","ok",""
"栃木県","宇都宮市","092011","17-1-000","公共下水道","法適用","R6","97.2227","151.4522","155.7786","2.9","経費回収率90%以上100%未満","改定情報なし（R5・R6施行年月日を比較済み・2事業）","ok",""
"栃木県","鹿沼市","092053","17-1-000","公共下水道","法適用","R6","95.3932","143.0899","150.0001","4.8","経費回収率90%以上100%未満","改定情報なし（R5・R6施行年月日を比較済み・2事業）","ok",""
"栃木県","小山市","092088","17-1-000","公共下水道","法適用","R6","94.5813","141.8719","150","5.7","経費回収率90%以上100%未満","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"栃木県","那須塩原市","092134","17-1-000","公共下水道","法適用","R6","91.6758","137.8407","150.3567","9.1","経費回収率90%以上100%未満","改定情報なし（R5・R6施行年月日を比較済み・2事業）","ok",""
"栃木県","市貝町","093441","17-1-000","公共下水道","法適用","R6","91.0228","154.2821","169.4982","9.9","経費回収率90%以上100%未満","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"栃木県","さくら市","092142","17-1-000","公共下水道","法適用","R6","88.1562","132.234","149.9997","13.4","経費回収率80%以上90%未満","改定情報なし（R5・R6施行年月日を比較済み・2事業）","ok",""
"栃木県","下野市","092169","17-1-000","公共下水道","法適用","R6","85.799","125.1717","145.8895","16.6","経費回収率80%以上90%未満","改定情報なし（R5・R6施行年月日を比較済み・2事業）","ok",""
"栃木県","佐野市","092045","17-1-000","公共下水道","法適用","R6","82.0139","123.0209","150","21.9","経費回収率80%以上90%未満","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"栃木県","上三川町","093017","17-1-000","公共下水道","法適用","R6","81.5487","122.6581","150.4109","22.6","経費回収率80%以上90%未満","施行年月日が変化（2事業）｜公共下水道 R5 1988年4月1日 → R6 2024年10月1日／特定環境保全公共下水道 R5 1998年4月1日 → R6 2024年10月1日","ok",""
"栃木県","野木町","093645","17-1-000","公共下水道","法適用","R6","71.2001","126.5933","177.7993","40.4","経費回収率80%未満・使用料単価150円/m³未満","改定情報なし（R5・R6施行年月日を比較済み・2事業）","ok",""
"栃木県","那須烏山市","092151","17-1-000","公共下水道","法適用","R6","66.7734","147.4284","220.7891","49.8","経費回収率80%未満・使用料単価150円/m³未満","改定情報なし（R5・R6施行年月日を比較済み・2事業）","ok",""
"栃木県","茂木町","093432","17-1-000","公共下水道","法適用","R6","60.6976","162.9118","268.3989","64.8","経費回収率80%未満・使用料単価150円/m³以上等","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"栃木県","芳賀町","093459","17-1-000","公共下水道","法適用","R6","58.2763","145.7167","250.0444","71.6","経費回収率80%未満・使用料単価150円/m³未満","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"栃木県","益子町","093424","17-1-000","公共下水道","法適用","R6","50.5901","152.3375","301.121","97.7","経費回収率80%未満・使用料単価150円/m³以上等","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"栃木県","那須町","094072","17-1-000","公共下水道","法適用","R6","43.1132","104.2528","241.8117","131.9","経費回収率80%未満・使用料単価150円/m³未満","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"栃木県","那珂川町","094111","17-1-000","公共下水道","法適用","R6","39.0711","146.474","374.891","155.9","経費回収率80%未満・使用料単価150円/m³未満","改定情報なし（R5・R6施行年月日を比較済み・2事業）","ok",""
