"都道府県","自治体名","自治体コード","事業キー","表示事業種別","会計区分","最新決算","経費回収率（%）","使用料単価（円/m³）","汚水処理原価（円/m³）","使用料収入の必要増加率（%・単純計算）","経費回収率区分","改定情報","データ品質","品質注記"
"岡山県","新見市","332101","17-1-000","公共下水道","法適用","R6","151.6623","176.1496","116.1459","0.0","経費回収率100%以上","改定情報なし（R5・R6施行年月日を比較済み・2事業）","ok",""
"岡山県","津山市","332038","17-1-000","公共下水道","法適用","R6","101.6892","157.1177","154.5077","0.0","経費回収率100%以上","改定情報なし（R5・R6施行年月日を比較済み・2事業）","ok",""
"岡山県","備前市","332119","17-1-000","公共下水道","法適用","R6","100.1321","203.3464","203.0782","0.0","経費回収率100%以上","改定情報なし（R5・R6施行年月日を比較済み・2事業）","ok",""
"岡山県","岡山市","331007","17-1-000","公共下水道","法適用","R6","100.0252","179.1078","179.0628","0.0","経費回収率100%以上","改定情報なし（R5・R6施行年月日を比較済み・2事業）","ok",""
"岡山県","倉敷市","332020","17-1-000","公共下水道","法適用","R6","100","182.6623","182.6623","0.0","経費回収率100%以上","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"岡山県","総社市","332089","17-1-000","公共下水道","法適用","R6","100","145.4988","145.4988","0.0","経費回収率100%以上","改定情報なし（R5・R6施行年月日を比較済み・2事業）","ok",""
"岡山県","玉野市","332046","17-1-000","公共下水道","法適用","R6","99.7818","181.844","182.2417","0.2","経費回収率90%以上100%未満","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"岡山県","高梁市","332097","17-1-000","公共下水道","法適用","R6","93.6401","156.3843","167.0057","6.8","経費回収率90%以上100%未満","改定情報なし（R5・R6施行年月日を比較済み・2事業）","ok",""
"岡山県","浅口市","332160","17-1-000","公共下水道","法適用","R6","92.0807","163.4111","177.465","8.6","経費回収率90%以上100%未満","改定情報なし（R5・R6施行年月日を比較済み・2事業）","ok",""
"岡山県","井原市","332071","17-1-000","公共下水道","法適用","R6","89.8536","142.586","158.6872","11.3","経費回収率80%以上90%未満","改定情報なし（R5・R6施行年月日を比較済み・2事業）","ok",""
"岡山県","笠岡市","332054","17-1-000","公共下水道","法適用","R6","85.3366","150.2647","176.0846","17.2","経費回収率80%以上90%未満","改定情報なし（R5・R6施行年月日を比較済み・2事業）","ok",""
"岡山県","里庄町","334456","17-1-000","公共下水道","法適用","R6","84.2707","150.5097","178.6026","18.7","経費回収率80%以上90%未満","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"岡山県","鏡野町","336068","17-1-000","公共下水道","法適用","R6","83.5419","162.8836","194.9722","19.7","経費回収率80%以上90%未満","改定情報なし（R5・R6施行年月日を比較済み・2事業）","ok",""
