"都道府県","自治体名","自治体コード","事業キー","表示事業種別","会計区分","最新決算","経費回収率（%）","使用料単価（円/m³）","汚水処理原価（円/m³）","使用料収入の必要増加率（%・単純計算）","経費回収率区分","改定情報","データ品質","品質注記"
"長崎県","諫早市","422045","17-1-000","公共下水道","法適用","R6","151.5236","175.0177","115.5052","0.0","経費回収率100%以上","改定情報なし（R5・R6施行年月日を比較済み・2事業）","ok",""
"長崎県","大村市","422053","17-1-000","公共下水道","法適用","R6","142.9506","142.4372","99.6409","0.0","経費回収率100%以上","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"長崎県","長崎市","422011","17-1-000","公共下水道","法適用","R6","119.1247","207.4769","174.1677","0.0","経費回収率100%以上","改定情報なし（R5・R6施行年月日を比較済み・2事業）","ok",""
"長崎県","時津町","423084","17-1-000","公共下水道","法適用","R6","118.8688","177.8993","149.6602","0.0","経費回収率100%以上","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"長崎県","長与町","423076","17-1-000","公共下水道","法適用","R6","118.1066","176.324","149.2922","0.0","経費回収率100%以上","改定情報なし（R5・R6施行年月日を比較済み・2事業）","ok",""
"長崎県","川棚町","423220","17-1-000","公共下水道","法適用","R6","100","154.1653","154.1653","0.0","経費回収率100%以上","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"長崎県","佐々町","423912","17-1-000","公共下水道","法適用","R6","100","156.8262","156.8262","0.0","経費回収率100%以上","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"長崎県","佐世保市","422029","17-1-000","公共下水道","法適用","R6","96.3301","147.2052","152.8134","3.8","経費回収率90%以上100%未満","比較対象外","ok",""
"長崎県","松浦市","422088","17-1-000","公共下水道","法適用","R6","94.0133","170.6718","181.54","6.4","経費回収率90%以上100%未満","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"長崎県","小値賀町","423831","17-4-000","特定環境保全公共下水道","法適用","R6","86.9669","164.8767","189.5856","15.0","経費回収率80%以上90%未満","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"長崎県","波佐見町","423238","17-1-000","公共下水道","法適用","R6","70.6682","147.02","208.0428","41.5","経費回収率80%未満・使用料単価150円/m³未満","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"長崎県","壱岐市","422100","17-1-000","公共下水道","法適用","R6","60.4945","162.656","268.8775","65.3","経費回収率80%未満・使用料単価150円/m³以上等","施行年月日が変化（1事業）｜公共下水道 R5 2014年4月1日 → R6 2024年4月1日","ok",""
"長崎県","雲仙市","422134","17-1-000","公共下水道","法適用","R6","55.3862","143.9902","259.9747","80.6","経費回収率80%未満・使用料単価150円/m³未満","改定情報なし（R5・R6施行年月日を比較済み・2事業）","ok",""
"長崎県","西海市","422126","17-4-000","特定環境保全公共下水道","法適用","R6","53.3753","160.3678","300.4534","87.4","経費回収率80%未満・使用料単価150円/m³以上等","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"長崎県","東彼杵町","423211","17-1-000","公共下水道","法適用","R6","49.6912","152.1813","306.2543","101.2","経費回収率80%未満・使用料単価150円/m³以上等","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"長崎県","南島原市","422142","17-1-000","公共下水道","法適用","R6","40.4385","139.5782","345.1619","147.3","経費回収率80%未満・使用料単価150円/m³未満","改定情報なし（R5・R6施行年月日を比較済み・2事業）","ok",""
"長崎県","平戸市","422070","17-5-000","農業集落排水","法非適用","R6","37.2869","349.1605","936.4162","168.2","経費回収率80%未満・使用料単価150円/m³以上等","比較対象外","ok",""
"長崎県","対馬市","422096","17-6-000","漁業集落排水","法適用","R6","27.4974","146.46","532.6321","263.7","経費回収率80%未満・使用料単価150円/m³未満","比較対象外","ok",""
"長崎県","五島市","422118","17-6-000","漁業集落排水","法適用","R6","20.4215","206.7308","1012.3197","389.7","経費回収率80%未満・使用料単価150円/m³以上等","比較対象外","warning","汚水処理原価が1000円/m³超"
