"都道府県","自治体名","自治体コード","事業キー","表示事業種別","会計区分","最新決算","経費回収率（%）","使用料単価（円/m³）","汚水処理原価（円/m³）","使用料収入の必要増加率（%・単純計算）","経費回収率区分","改定情報","データ品質","品質注記"
"宮城県","東松島市","042145","17-1-000","公共下水道","法適用","R6","149.9446","184.3848","122.9686","0.0","経費回収率100%以上","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"宮城県","白石市","042064","17-1-000","公共下水道","法適用","R6","130.517","221.4566","169.6764","0.0","経費回収率100%以上","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"宮城県","亘理町","043613","17-1-000","公共下水道","法適用","R6","116.4063","181.4308","155.86","0.0","経費回収率100%以上","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"宮城県","蔵王町","043010","17-4-000","特定環境保全公共下水道","法適用","R6","115.5796","195.7193","169.3372","0.0","経費回収率100%以上","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"宮城県","仙台市","041009","17-1-000","公共下水道","法適用","R6","113.6473","145.6952","128.1994","0.0","経費回収率100%以上","改定情報なし（R5・R6施行年月日を比較済み・2事業）","ok",""
"宮城県","利府町","044067","17-1-000","公共下水道","法適用","R6","108.46","127.8987","117.9225","0.0","経費回収率100%以上","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"宮城県","名取市","042072","17-1-000","公共下水道","法適用","R6","105.775","171.4231","162.0638","0.0","経費回収率100%以上","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"宮城県","山元町","043621","17-4-000","特定環境保全公共下水道","法適用","R6","105.3576","189.6985","180.0521","0.0","経費回収率100%以上","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"宮城県","大衡村","044245","17-4-000","特定環境保全公共下水道","法適用","R6","103.4655","122.8995","118.7831","0.0","経費回収率100%以上","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"宮城県","大河原町","043214","17-1-000","公共下水道","法適用","R6","103.2881","167.9696","162.6224","0.0","経費回収率100%以上","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"宮城県","塩竈市","042030","17-1-000","公共下水道","法適用","R6","103.1343","187.0509","181.3663","0.0","経費回収率100%以上","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"宮城県","富谷市","042161","17-1-000","公共下水道","法適用","R6","101.1164","120.8999","119.5651","0.0","経費回収率100%以上","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"宮城県","大崎市","042153","17-1-000","公共下水道","法適用","R6","100.1968","202.5383","202.1405","0.0","経費回収率100%以上","改定情報なし（R5・R6施行年月日を比較済み・2事業）","ok",""
"宮城県","石巻市","042021","17-1-000","公共下水道","法適用","R6","99.2525","188.3131","189.7313","0.8","経費回収率90%以上100%未満","改定情報なし（R5・R6施行年月日を比較済み・2事業）","ok",""
"宮城県","美里町","045055","17-1-000","公共下水道","法適用","R6","97.3463","211.3281","217.089","2.7","経費回収率90%以上100%未満","施行年月日が変化（1事業）｜公共下水道 R5 2010年5月1日 → R6 2024年4月1日","ok",""
"宮城県","登米市","042129","17-1-000","公共下水道","法適用","R6","96.9542","202.0995","208.4484","3.1","経費回収率90%以上100%未満","施行年月日が変化（2事業）｜公共下水道 R5 2023年9月1日 → R6 2024年9月1日／特定環境保全公共下水道 R5 2023年9月1日 → R6 2024年9月1日","ok",""
"宮城県","村田町","043222","17-1-000","公共下水道","法適用","R6","96.8128","237.1568","244.9644","3.3","経費回収率90%以上100%未満","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"宮城県","涌谷町","045012","17-1-000","公共下水道","法適用","R6","96.6681","163.2002","168.8254","3.4","経費回収率90%以上100%未満","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"宮城県","丸森町","043419","17-1-000","公共下水道","法適用","R6","96.4057","176.3999","182.9767","3.7","経費回収率90%以上100%未満","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"宮城県","松島町","044016","17-1-000","公共下水道","法適用","R6","94.7539","148.3912","156.607","5.5","経費回収率90%以上100%未満","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"宮城県","女川町","045811","17-1-000","公共下水道","法適用","R6","88.895","189.8794","213.5997","12.5","経費回収率80%以上90%未満","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"宮城県","多賀城市","042099","17-1-000","公共下水道","法適用","R6","87.9088","122.0648","138.8539","13.8","経費回収率80%以上90%未満","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"宮城県","柴田町","043231","17-1-000","公共下水道","法適用","R6","84.7699","193.583","228.363","18.0","経費回収率80%以上90%未満","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"宮城県","角田市","042081","17-1-000","公共下水道","法適用","R6","81.2286","167.7769","206.5489","23.1","経費回収率80%以上90%未満","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"宮城県","栗原市","042137","17-1-000","公共下水道","法適用","R6","75.8935","216.3236","285.0358","31.8","経費回収率80%未満・使用料単価150円/m³以上等","改定情報なし（R5・R6施行年月日を比較済み・2事業）","ok",""
"宮城県","川崎町","043249","17-1-000","公共下水道","法適用","R6","74.9507","183.6614","245.043","33.4","経費回収率80%未満・使用料単価150円/m³以上等","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"宮城県","大和町","044211","17-1-000","公共下水道","法適用","R6","74.385","114.2101","153.5392","34.4","経費回収率80%未満・使用料単価150円/m³未満","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"宮城県","岩沼市","042111","17-1-000","公共下水道","法適用","R6","72.0464","166.7648","231.4687","38.8","経費回収率80%未満・使用料単価150円/m³以上等","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"宮城県","七ケ浜町","044041","17-1-000","公共下水道","法適用","R6","69.4833","133.1865","191.6814","43.9","経費回収率80%未満・使用料単価150円/m³未満","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"宮城県","色麻町","044440","17-4-000","特定環境保全公共下水道","法適用","R6","69.3338","188.2908","271.5715","44.2","経費回収率80%未満・使用料単価150円/m³以上等","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"宮城県","加美町","044458","17-1-000","公共下水道","法適用","R6","68.9675","170.8606","247.7407","45.0","経費回収率80%未満・使用料単価150円/m³以上等","改定情報なし（R5・R6施行年月日を比較済み・2事業）","ok",""
"宮城県","気仙沼市","042056","17-1-000","公共下水道","法適用","R6","57.1601","156.6357","274.0299","74.9","経費回収率80%未満・使用料単価150円/m³以上等","改定情報なし（R5・R6施行年月日を比較済み・2事業）","ok",""
"宮城県","七ケ宿町","043028","17-4-000","特定環境保全公共下水道","法適用","R6","55.2409","154.725","280.0915","81.0","経費回収率80%未満・使用料単価150円/m³以上等","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"宮城県","南三陸町","046060","17-4-000","特定環境保全公共下水道","法適用","R6","36.4018","218.0774","599.0846","174.7","経費回収率80%未満・使用料単価150円/m³以上等","比較対象外","ok",""
"宮城県","大郷町","044229","17-4-000","特定環境保全公共下水道","法適用","R6","27.3544","117.1989","428.4469","265.6","経費回収率80%未満・使用料単価150円/m³未満","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
