"都道府県","自治体名","自治体コード","事業キー","表示事業種別","会計区分","最新決算","経費回収率（%）","使用料単価（円/m³）","汚水処理原価（円/m³）","100%相当の増収率（%・単純試算）","経費回収率区分","公式改定情報","データ品質","品質注記"
"神奈川県","海老名市","142158","17-1-000","公共下水道","法適用","R6","120.9569","117.1545","96.8564","-17.3","経費回収率100%以上","未登録","ok",""
"神奈川県","茅ヶ崎市","142077","17-1-000","公共下水道","法適用","R6","117.7417","111.391","94.6062","-15.1","経費回収率100%以上","未登録","ok",""
"神奈川県","横須賀市","142018","17-1-000","公共下水道","法適用","R6","112.0782","181.2611","161.7274","-10.8","経費回収率100%以上","未登録","ok",""
"神奈川県","松田町","143634","17-1-000","公共下水道","法適用","R6","111.7811","113.7769","101.7855","-10.5","経費回収率100%以上","未登録","ok",""
"神奈川県","厚木市","142123","17-1-000","公共下水道","法適用","R6","109.2489","113.0079","103.4408","-8.5","経費回収率100%以上","未登録","ok",""
"神奈川県","川崎市","141305","17-1-000","公共下水道","法適用","R6","108.4391","144.4986","133.2532","-7.8","経費回収率100%以上","未登録","ok",""
"神奈川県","座間市","142166","17-1-000","公共下水道","法適用","R6","107.6344","138.8215","128.975","-7.1","経費回収率100%以上","未登録","ok",""
"神奈川県","伊勢原市","142140","17-1-000","公共下水道","法適用","R6","105.3421","158.1299","150.1108","-5.1","経費回収率100%以上","未登録","ok",""
"神奈川県","綾瀬市","142182","17-1-000","公共下水道","法適用","R6","104.2756","142.2715","136.438","-4.1","経費回収率100%以上","未登録","ok",""
"神奈川県","横浜市","141003","17-1-000","公共下水道","法適用","R6","100.9155","144.2673","142.9585","-0.9","経費回収率100%以上","未登録","ok",""
"神奈川県","藤沢市","142051","17-1-000","公共下水道","法適用","R6","100.9105","146.301","144.981","-0.9","経費回収率100%以上","未登録","ok",""
"神奈川県","箱根町","143821","17-1-000","公共下水道","法適用","R6","98.787","207.1421","209.6856","1.2","経費回収率90%以上100%未満","未登録","ok",""
"神奈川県","秦野市","142115","17-1-000","公共下水道","法適用","R6","97.2179","148.4711","152.7199","2.9","経費回収率90%以上100%未満","未登録","ok",""
"神奈川県","大磯町","143413","17-1-000","公共下水道","法適用","R6","96.4344","147.2405","152.6845","3.7","経費回収率90%以上100%未満","未登録","ok",""
"神奈川県","愛川町","144011","17-1-000","公共下水道","法適用","R6","96.3909","144.5862","149.9999","3.7","経費回収率90%以上100%未満","未登録","ok",""
"神奈川県","鎌倉市","142042","17-1-000","公共下水道","法適用","R6","96.3164","155.7781","161.7358","3.8","経費回収率90%以上100%未満","未登録","ok",""
"神奈川県","寒川町","143219","17-1-000","公共下水道","法適用","R6","95.4869","143.2304","150.0001","4.7","経費回収率90%以上100%未満","未登録","ok",""
"神奈川県","二宮町","143421","17-1-000","公共下水道","法適用","R6","93.5269","138.4095","147.989","6.9","経費回収率90%以上100%未満","未登録","ok",""
"神奈川県","湯河原町","143847","17-1-000","公共下水道","法適用","R6","85.9972","151.7763","176.4898","16.3","経費回収率80%以上90%未満","未登録","ok",""
"神奈川県","大和市","142131","17-1-000","公共下水道","法適用","R6","85.365","128.0474","150","17.1","経費回収率80%以上90%未満","未登録","ok",""
"神奈川県","南足柄市","142174","17-1-000","公共下水道","法適用","R6","84.3154","126.4731","149.9999","18.6","経費回収率80%以上90%未満","未登録","ok",""
"神奈川県","小田原市","142069","17-1-000","公共下水道","法適用","R6","84.1701","167.2207","198.67","18.8","経費回収率80%以上90%未満","未登録","ok",""
"神奈川県","逗子市","142085","17-1-000","公共下水道","法適用","R6","84.124","126.186","150.0001","18.9","経費回収率80%以上90%未満","未登録","ok",""
"神奈川県","開成町","143669","17-1-000","公共下水道","法適用","R6","83.538","125.0693","149.7155","19.7","経費回収率80%以上90%未満","未登録","ok",""
"神奈川県","山北町","143642","17-1-000","公共下水道","法適用","R6","74.0766","110.9249","149.7434","35.0","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"神奈川県","大井町","143626","17-1-000","公共下水道","法適用","R6","71.0985","107.8665","151.7143","40.6","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"神奈川県","葉山町","143014","17-1-000","公共下水道","法適用","R6","68.9045","134.9825","195.8979","45.1","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"神奈川県","中井町","143618","17-1-000","公共下水道","法適用","R6","61.1095","97.5364","159.6091","63.6","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"神奈川県","清川村","144029","17-4-000","特定環境保全公共下水道","法適用","R6","46.4915","124.2642","267.284","115.1","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"神奈川県","三浦市","142107","17-1-000","公共下水道","法適用","R6","29.8984","37.1576","124.2799","234.5","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"神奈川県","真鶴町","143839","17-1-000","公共下水道","法適用","R6","22.4884","173.7081","772.435","344.7","経費回収率80%未満・使用料単価150円/m³以上等","未登録","ok",""
"神奈川県","平塚市","142034","17-5-000","農業集落排水","法適用","R6","21.7481","94.4024","434.0718","359.8","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"神奈川県","相模原市","141500","17-5-000","農業集落排水","法適用","R6","11.1156","109.1686","982.125","799.6","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
