"都道府県","自治体名","自治体コード","事業キー","表示事業種別","会計区分","最新決算","経費回収率（%）","使用料単価（円/m³）","汚水処理原価（円/m³）","100%相当の増収率（%・単純試算）","経費回収率区分","公式改定情報","データ品質","品質注記"
"沖縄県","浦添市","472085","17-1-000","公共下水道","法適用","R6","103.9582","93.2056","89.6568","-3.8","経費回収率100%以上","未登録","ok",""
"沖縄県","宜野湾市","472051","17-1-000","公共下水道","法適用","R6","102.2498","97.1685","95.0306","-2.2","経費回収率100%以上","未登録","ok",""
"沖縄県","那覇市","472018","17-1-000","公共下水道","法適用","R6","99.4345","102.5571","103.1404","0.6","経費回収率90%以上100%未満","未登録","ok",""
"沖縄県","北谷町","473260","17-1-000","公共下水道","法適用","R6","89.3854","80.2596","89.7905","11.9","経費回収率80%以上90%未満","未登録","ok",""
"沖縄県","沖縄市","472115","17-1-000","公共下水道","法適用","R6","84.9272","92.443","108.8497","17.7","経費回収率80%以上90%未満","未登録","ok",""
"沖縄県","嘉手納町","473251","17-1-000","公共下水道","法適用","R6","83.7328","84.8187","101.2968","19.4","経費回収率80%以上90%未満","未登録","ok",""
"沖縄県","本部町","473081","17-1-000","公共下水道","法適用","R6","79.811","119.7161","149.9996","25.3","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"沖縄県","北中城村","473278","17-1-000","公共下水道","法適用","R6","76.7951","83.9653","109.3368","30.2","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"沖縄県","名護市","472093","17-1-000","公共下水道","法適用","R6","76.6989","102.8612","134.1105","30.4","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"沖縄県","南風原町","473502","17-1-000","公共下水道","法適用","R6","75.5926","79.3344","104.9499","32.3","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"沖縄県","うるま市","472131","17-1-000","公共下水道","法適用","R6","70.9357","106.4034","149.9999","41.0","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"沖縄県","西原町","473294","17-1-000","公共下水道","法適用","R6","70.6833","106.7412","151.0133","41.5","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"沖縄県","宮古島市","472140","17-1-000","公共下水道","法適用","R6","68.0233","107.337","157.7945","47.0","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"沖縄県","豊見城市","472123","17-5-000","農業集落排水","法適用","R6","65.3893","98.2023","150.1809","52.9","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"沖縄県","中城村","473286","17-1-000","公共下水道","法適用","R6","60.4329","84.0294","139.0458","65.5","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"沖縄県","金武町","473146","17-5-000","農業集落排水","法適用","R6","57.6695","59.7099","103.538","73.4","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"沖縄県","渡嘉敷村","473537","17-4-000","特定環境保全公共下水道","法適用","R6","51.3185","159.7628","311.3162","94.9","経費回収率80%未満・使用料単価150円/m³以上等","未登録","ok",""
"沖縄県","与那原町","473481","17-1-000","公共下水道","法適用","R6","48.5427","80.0307","164.8665","106.0","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"沖縄県","読谷村","473243","17-1-000","公共下水道","法適用","R6","48.4525","81.4034","168.0066","106.4","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
