"都道府県","自治体名","自治体コード","事業キー","表示事業種別","会計区分","最新決算","経費回収率（%）","使用料単価（円/m³）","汚水処理原価（円/m³）","100%相当の増収率（%・単純試算）","経費回収率区分","公式改定情報","データ品質","品質注記"
"香川県","善通寺市","372048","17-1-000","公共下水道","法適用","R6","100","182.8599","182.8599","0.0","経費回収率100%以上","未登録","ok",""
"香川県","坂出市","372030","17-1-000","公共下水道","法適用","R6","99.9262","171.8703","171.9972","0.1","経費回収率90%以上100%未満","未登録","ok",""
"香川県","琴平町","374032","17-1-000","公共下水道","法適用","R6","98.9126","175.0144","176.9384","1.1","経費回収率90%以上100%未満","未登録","ok",""
"香川県","多度津町","374041","17-1-000","公共下水道","法適用","R6","98.6418","156.5082","158.6632","1.4","経費回収率90%以上100%未満","未登録","ok",""
"香川県","宇多津町","373869","17-1-000","公共下水道","法適用","R6","93.3673","146.8228","157.253","7.1","経費回収率90%以上100%未満","未登録","ok",""
"香川県","直島町","373648","17-4-000","特定環境保全公共下水道","法適用","R6","93.3185","246.3701","264.0099","7.2","経費回収率90%以上100%未満","未登録","ok",""
"香川県","さぬき市","372064","17-1-000","公共下水道","法適用","R6","74.3186","149.7895","201.5506","34.6","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"香川県","丸亀市","372021","17-5-000","農業集落排水","法適用","R6","62.2564","137.7172","221.2096","60.6","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"香川県","まんのう町","374067","17-5-000","農業集落排水","法適用","R6","46.689","147.1058","315.0759","114.2","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"香川県","土庄町","373222","17-5-000","農業集落排水","法適用","R6","41.3617","142.0222","343.3668","141.8","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"香川県","三木町","373419","17-1-000","公共下水道","法適用","R6","40.6246","133.8666","329.5211","146.2","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"香川県","東かがわ市","372072","17-4-000","特定環境保全公共下水道","法適用","R6","36.923","165.0838","447.1031","170.8","経費回収率80%未満・使用料単価150円/m³以上等","未登録","ok",""
"香川県","綾川町","373877","17-5-000","農業集落排水","法適用","R6","35.8231","135.3884","377.9359","179.1","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"香川県","三豊市","372081","17-5-000","農業集落排水","法適用","R6","34.8273","187.0515","537.0824","187.1","経費回収率80%未満・使用料単価150円/m³以上等","未登録","ok",""
"香川県","観音寺市","372056","17-5-000","農業集落排水","法適用","R6","30.0391","130.5234","434.5118","232.9","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"香川県","高松市","372013","17-5-000","農業集落排水","法適用","R6","28.2921","100.5929","355.551","253.5","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
