"都道府県","自治体名","自治体コード","事業キー","表示事業種別","会計区分","最新決算","経費回収率（%）","使用料単価（円/m³）","汚水処理原価（円/m³）","使用料収入の必要増加率（%・単純計算）","経費回収率区分","改定情報","データ品質","品質注記"
"広島県","江田島市","342157","17-1-000","公共下水道","法適用","R6","131.8678","251.0842","190.4059","0.0","経費回収率100%以上","改定情報なし（R5・R6施行年月日を比較済み・2事業）","ok",""
"広島県","大竹市","342114","17-1-000","公共下水道","法適用","R6","114.2995","108.0831","94.5613","0.0","経費回収率100%以上","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"広島県","広島市","341002","17-1-000","公共下水道","法適用","R6","109.4913","161.6134","147.6038","0.0","経費回収率100%以上","改定情報なし（R5・R6施行年月日を比較済み・2事業）","ok",""
"広島県","東広島市","342122","17-1-000","公共下水道","法適用","R6","102.758","200.7474","195.3593","0.0","経費回収率100%以上","改定情報なし（R5・R6施行年月日を比較済み・2事業）","ok",""
"広島県","呉市","342025","17-1-000","公共下水道","法適用","R6","100","233.4484","233.4484","0.0","経費回収率100%以上","施行年月日が変化（2事業）｜公共下水道 R5 2020年4月1日 → R6 2024年4月1日／特定環境保全公共下水道 R5 2020年4月1日 → R6 2024年4月1日","ok",""
"広島県","尾道市","342050","17-1-000","公共下水道","法適用","R6","100","173.3448","173.3448","0.0","経費回収率100%以上","改定情報なし（R5・R6施行年月日を比較済み・2事業）","ok",""
"広島県","福山市","342076","17-1-000","公共下水道","法適用","R6","100","167.204","167.204","0.0","経費回収率100%以上","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"広島県","海田町","343048","17-1-000","公共下水道","法適用","R6","97.2469","145.8705","150.0001","2.8","経費回収率90%以上100%未満","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"広島県","三原市","342041","17-1-000","公共下水道","法適用","R6","96.6699","190.3231","196.8794","3.4","経費回収率90%以上100%未満","改定情報なし（R5・R6施行年月日を比較済み・2事業）","ok",""
"広島県","神石高原町","345458","17-5-000","農業集落排水","法適用","R6","94.4048","324.4255","343.6537","5.9","経費回収率90%以上100%未満","比較対象外","ok",""
"広島県","熊野町","343072","17-1-000","公共下水道","法適用","R6","93.1066","139.6602","150.0003","7.4","経費回収率90%以上100%未満","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"広島県","庄原市","342106","17-1-000","公共下水道","法適用","R6","92.686","207.8333","224.2337","7.9","経費回収率90%以上100%未満","改定情報なし（R5・R6施行年月日を比較済み・2事業）","ok",""
"広島県","安芸高田市","342149","17-1-000","公共下水道","法適用","R6","85.6069","223.6909","261.3001","16.8","経費回収率80%以上90%未満","改定情報なし（R5・R6施行年月日を比較済み・2事業）","ok",""
"広島県","三次市","342092","17-1-000","公共下水道","法適用","R6","83.4552","183.3406","219.6875","19.8","経費回収率80%以上90%未満","施行年月日が変化（2事業）｜公共下水道 R5 2004年4月1日 → R6 2024年10月1日／特定環境保全公共下水道 R5 2004年4月1日 → R6 2024年10月1日","ok",""
"広島県","府中町","343021","17-1-000","公共下水道","法適用","R6","81.6797","129.3067","158.3095","22.4","経費回収率80%以上90%未満","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"広島県","坂町","343099","17-1-000","公共下水道","法適用","R6","81.1262","171.6044","211.5276","23.3","経費回収率80%以上90%未満","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"広島県","府中市","342084","17-1-000","公共下水道","法適用","R6","77.124","177.899","230.6662","29.7","経費回収率80%未満・使用料単価150円/m³以上等","改定情報なし（R5・R6施行年月日を比較済み・2事業）","ok",""
"広島県","大崎上島町","344311","17-4-000","特定環境保全公共下水道","法適用","R6","74.6642","246.207","329.7526","33.9","経費回収率80%未満・使用料単価150円/m³以上等","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"広島県","廿日市市","342131","17-1-000","公共下水道","法適用","R6","69.8306","161.7701","231.6608","43.2","経費回収率80%未満・使用料単価150円/m³以上等","改定情報なし（R5・R6施行年月日を比較済み・2事業）","ok",""
"広島県","竹原市","342033","17-1-000","公共下水道","法適用","R6","60.8406","163.7509","269.1473","64.4","経費回収率80%未満・使用料単価150円/m³以上等","施行年月日が変化（2事業）｜公共下水道 R5 2005年6月30日 → R6 2024年8月1日／特定環境保全公共下水道 R5 2005年6月30日 → R6 2024年8月1日","ok",""
"広島県","北広島町","343692","17-1-000","公共下水道","法適用","R6","55.3734","204.2129","368.7921","80.6","経費回収率80%未満・使用料単価150円/m³以上等","改定情報なし（R5・R6施行年月日を比較済み・2事業）","ok",""
"広島県","安芸太田町","343684","17-4-000","特定環境保全公共下水道","法適用","R6","42.5925","255.6615","600.2499","134.8","経費回収率80%未満・使用料単価150円/m³以上等","改定情報なし（R5・R6施行年月日を比較済み・1事業）","ok",""
"広島県","世羅町","344621","17-1-000","公共下水道","法適用","R6","30.156","234.9852","779.2322","231.6","経費回収率80%未満・使用料単価150円/m³以上等","改定情報なし（R5・R6施行年月日を比較済み・2事業）","ok",""
