"都道府県","自治体名","自治体コード","事業キー","表示事業種別","会計区分","最新決算","経費回収率（%）","使用料単価（円/m³）","汚水処理原価（円/m³）","100%相当の増収率（%・単純試算）","経費回収率区分","公式改定情報","データ品質","品質注記"
"愛知県","豊橋市","232017","17-1-000","公共下水道","法適用","R6","102.7871","149.8189","145.7565","-2.7","経費回収率100%以上","未登録","ok",""
"愛知県","春日井市","232068","17-1-000","公共下水道","法適用","R6","99.959","151.7314","151.7935","0.0","経費回収率90%以上100%未満","未登録","ok",""
"愛知県","津島市","232084","17-1-000","公共下水道","法適用","R6","96.495","144.7427","150.0002","3.6","経費回収率90%以上100%未満","未登録","ok",""
"愛知県","半田市","232050","17-1-000","公共下水道","法適用","R6","93.0381","139.6911","150.144","7.5","経費回収率90%以上100%未満","未登録","ok",""
"愛知県","大口町","233617","17-1-000","公共下水道","法適用","R6","92.9488","142.222","153.0112","7.6","経費回収率90%以上100%未満","未登録","ok",""
"愛知県","清須市","232335","17-1-000","公共下水道","法適用","R6","92.8918","150.4357","161.9471","7.7","経費回収率90%以上100%未満","未登録","ok",""
"愛知県","豊明市","232297","17-1-000","公共下水道","法適用","R6","90.7794","115.0102","126.692","10.2","経費回収率90%以上100%未満","未登録","ok",""
"愛知県","あま市","232378","17-1-000","公共下水道","法適用","R6","88.3224","132.4837","150.0001","13.2","経費回収率80%以上90%未満","未登録","ok",""
"愛知県","名古屋市","231002","17-1-000","公共下水道","法適用","R6","86.8766","118.2058","136.0617","15.1","経費回収率80%以上90%未満","未登録","ok",""
"愛知県","蟹江町","234257","17-1-000","公共下水道","法適用","R6","86.4553","145.2421","167.9967","15.7","経費回収率80%以上90%未満","未登録","ok",""
"愛知県","豊山町","233421","17-1-000","公共下水道","法適用","R6","85.5744","128.3617","150","16.9","経費回収率80%以上90%未満","未登録","ok",""
"愛知県","知多市","232246","17-1-000","公共下水道","法適用","R6","85.0407","109.667","128.9583","17.6","経費回収率80%以上90%未満","未登録","ok",""
"愛知県","知立市","232254","17-1-000","公共下水道","法適用","R6","84.5407","126.8111","150","18.3","経費回収率80%以上90%未満","未登録","ok",""
"愛知県","尾張旭市","232262","17-1-000","公共下水道","法適用","R6","83.598","125.3971","150","19.6","経費回収率80%以上90%未満","未登録","ok",""
"愛知県","稲沢市","232203","17-5-000","農業集落排水","法適用","R6","82.9148","124.372","149.9998","20.6","経費回収率80%以上90%未満","未登録","ok",""
"愛知県","蒲郡市","232149","17-1-000","公共下水道","法適用","R6","82.0281","122.562","149.4147","21.9","経費回収率80%以上90%未満","未登録","ok",""
"愛知県","高浜市","232271","17-1-000","公共下水道","法適用","R6","78.6298","117.9448","150.0001","27.2","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"愛知県","刈谷市","232106","17-1-000","公共下水道","法適用","R6","78.2747","96.6224","123.4402","27.8","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"愛知県","岡崎市","232025","17-1-000","公共下水道","法適用","R6","77.8305","116.7457","150","28.5","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"愛知県","北名古屋市","232343","17-1-000","公共下水道","法適用","R6","76.8092","115.2138","149.9999","30.2","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"愛知県","新城市","232211","17-5-000","農業集落排水","法適用","R6","75.5425","163.7252","216.7325","32.4","経費回収率80%未満・使用料単価150円/m³以上等","未登録","ok",""
