"都道府県","自治体名","自治体コード","事業キー","表示事業種別","会計区分","最新決算","経費回収率（%）","使用料単価（円/m³）","汚水処理原価（円/m³）","使用料収入の必要増加率（%・単純計算）","経費回収率区分","公式改定情報","データ品質","品質注記"
"北海道","雨竜町","014362","17-5-000","農業集落排水","法非適用","R6","252.4001","175.9088","69.6944","0.0","経費回収率100%以上","未登録","ok",""
"北海道","歌志内市","012271","17-1-000","公共下水道","法適用","R6","180.5152","217.9211","120.7218","0.0","経費回収率100%以上","未登録","ok",""
"北海道","白老町","015784","17-1-000","公共下水道","法適用","R6","142.8229","261.9384","183.4009","0.0","経費回収率100%以上","未登録","ok",""
"北海道","室蘭市","012050","17-1-000","公共下水道","法適用","R6","128.5961","198.783","154.5793","0.0","経費回収率100%以上","未登録","ok",""
"北海道","赤平市","012181","17-1-000","公共下水道","法適用","R6","119.5986","254.0244","212.3974","0.0","経費回収率100%以上","未登録","ok",""
"北海道","留萌市","012122","17-1-000","公共下水道","法適用","R6","118.0192","219.7306","186.182","0.0","経費回収率100%以上","未登録","ok",""
"北海道","芦別市","012165","17-1-000","公共下水道","法適用","R6","115.7475","234.0608","202.2167","0.0","経費回収率100%以上","未登録","ok",""
"北海道","北広島市","012343","17-1-000","公共下水道","法適用","R6","114.7706","138.6102","120.7716","0.0","経費回収率100%以上","未登録","ok",""
"北海道","苫小牧市","012131","17-1-000","公共下水道","法適用","R6","107.1674","150.6606","140.5843","0.0","経費回収率100%以上","未登録","ok",""
"北海道","上富良野町","014605","17-1-000","公共下水道","法適用","R6","106.0942","162.0632","152.754","0.0","経費回収率100%以上","未登録","ok",""
"北海道","美瑛町","014591","17-1-000","公共下水道","法適用","R6","103.76","140.2001","135.1196","0.0","経費回収率100%以上","未登録","ok",""
"北海道","三笠市","012220","17-1-000","公共下水道","法適用","R6","100.0354","233.5471","233.4645","0.0","経費回収率100%以上","未登録","ok",""
"北海道","浦臼町","014311","17-4-000","特定環境保全公共下水道","法適用","R6","100","249.5893","249.5893","0.0","経費回収率100%以上","未登録","ok",""
"北海道","稚内市","012149","17-1-000","公共下水道","法適用","R6","99.929","167.2153","167.3342","0.1","経費回収率90%以上100%未満","未登録","ok",""
"北海道","余市町","014087","17-1-000","公共下水道","法適用","R6","99.8122","205.89","206.2774","0.2","経費回収率90%以上100%未満","未登録","ok",""
"北海道","新得町","016357","17-1-000","公共下水道","法適用","R6","98.8965","146.1204","147.7507","1.1","経費回収率90%以上100%未満","未登録","ok",""
"北海道","江別市","012173","17-1-000","公共下水道","法適用","R6","98.7988","111.3656","112.7196","1.2","経費回収率90%以上100%未満","未登録","ok",""
"北海道","倶知安町","014001","17-4-000","特定環境保全公共下水道","法適用","R6","95.5425","118.479","124.0066","4.7","経費回収率90%以上100%未満","未登録","ok",""
"北海道","東川町","014583","17-4-000","特定環境保全公共下水道","法適用","R6","91.7998","144.9372","157.884","8.9","経費回収率90%以上100%未満","未登録","ok",""
"北海道","札幌市","011002","17-1-000","公共下水道","法適用","R6","91.7614","92.3235","100.6126","9.0","経費回収率90%以上100%未満","未登録","ok",""
"北海道","小樽市","012033","17-1-000","公共下水道","法適用","R6","89.3631","160.9543","180.1128","11.9","経費回収率80%以上90%未満","未登録","ok",""
"北海道","伊達市","012335","17-1-000","公共下水道","法適用","R6","89.2023","240.5058","269.6185","12.1","経費回収率80%以上90%未満","未登録","ok",""
"北海道","鶴居村","016675","17-5-000","農業集落排水","法適用","R6","87.6961","154.1332","175.7583","14.0","経費回収率80%以上90%未満","未登録","ok",""
"北海道","当別町","013030","17-1-000","公共下水道","法適用","R6","82.5045","150.7554","182.7239","21.2","経費回収率80%以上90%未満","未登録","ok",""
"北海道","厚岸町","016624","17-1-000","公共下水道","法適用","R6","82.0337","184.2951","224.6577","21.9","経費回収率80%以上90%未満","未登録","ok",""
"北海道","弟子屈町","016659","17-1-000","公共下水道","法適用","R6","81.0918","237.2971","292.6279","23.3","経費回収率80%以上90%未満","未登録","ok",""
"北海道","秩父別町","014346","17-5-000","農業集落排水","法適用","R6","80.0981","231.1287","288.5569","24.8","経費回収率80%以上90%未満","未登録","ok",""
"北海道","標津町","016934","17-4-000","特定環境保全公共下水道","法適用","R6","78.011","186.8351","239.4984","28.2","経費回収率80%未満・使用料単価150円/m³以上等","未登録","ok",""
"北海道","広尾町","016420","17-1-000","公共下水道","法適用","R6","76.961","192.4924","250.1167","29.9","経費回収率80%未満・使用料単価150円/m³以上等","未登録","ok",""
"北海道","月形町","014303","17-5-000","農業集落排水","法適用","R6","76.5137","232.1146","303.3632","30.7","経費回収率80%未満・使用料単価150円/m³以上等","未登録","ok",""
"北海道","遠軽町","015555","17-4-000","特定環境保全公共下水道","法適用","R6","76.0051","204.8758","269.5554","31.6","経費回収率80%未満・使用料単価150円/m³以上等","未登録","ok",""
"北海道","浜中町","016632","17-4-000","特定環境保全公共下水道","法適用","R6","75.9954","193.3722","254.4525","31.6","経費回収率80%未満・使用料単価150円/m³以上等","未登録","ok",""
"北海道","士幌町","016322","17-4-000","特定環境保全公共下水道","法適用","R6","75.9863","163.3914","215.0273","31.6","経費回収率80%未満・使用料単価150円/m³以上等","未登録","ok",""
"北海道","訓子府町","015491","17-5-000","農業集落排水","法適用","R6","75.3197","170.965","226.9859","32.8","経費回収率80%未満・使用料単価150円/m³以上等","未登録","ok",""
"北海道","妹背牛町","014338","18-0-000","特定地域生活排水処理施設","法適用","R6","75.3041","204.645","271.758","32.8","経費回収率80%未満・使用料単価150円/m³以上等","未登録","ok",""
"北海道","奈井江町","014249","17-1-000","公共下水道","法適用","R6","75.1496","221.494","294.7376","33.1","経費回収率80%未満・使用料単価150円/m³以上等","未登録","ok",""
"北海道","中富良野町","014613","17-4-000","特定環境保全公共下水道","法適用","R6","73.7859","171.0551","231.8264","35.5","経費回収率80%未満・使用料単価150円/m³以上等","未登録","ok",""
"北海道","古平町","014061","17-1-000","公共下水道","法適用","R6","72.3893","214.4404","296.2322","38.1","経費回収率80%未満・使用料単価150円/m³以上等","未登録","ok",""
"北海道","深川市","012289","17-1-000","公共下水道","法適用","R6","72.2553","188.1602","260.4101","38.4","経費回収率80%未満・使用料単価150円/m³以上等","未登録","ok",""
"北海道","新冠町","016047","17-4-000","特定環境保全公共下水道","法適用","R6","72.2098","173.7469","240.6141","38.5","経費回収率80%未満・使用料単価150円/m³以上等","未登録","ok",""
"北海道","根室市","012238","17-1-000","公共下水道","法適用","R6","72.1831","260.0231","360.227","38.5","経費回収率80%未満・使用料単価150円/m³以上等","未登録","ok",""
"北海道","美深町","014699","17-1-000","公共下水道","法適用","R6","70.2719","140.6211","200.11","42.3","経費回収率80%未満・使用料単価150円/m³未満","未登録","ok",""
"北海道","紋別市","012190","17-4-000","特定環境保全公共下水道","法適用","R6","70.069","194.7853","277.9908","42.7","経費回収率80%未満・使用料単価150円/m³以上等","未登録","ok",""
