"行識別子","団体コード","自治体・運営団体名","事業キー","会計区分","決算年度","処理区域内人口（人） [servicePopulation]","水洗化人口（人） [connectedPopulation]","年間汚水処理水量（m³/年） [treatedVolume]","年間有収水量（m³/年） [annualBillableVolume]","一般家庭用20m³月額（円/月・税込） [householdFee20m3Yen]","使用料収入（千円/年） [sewerFeeRevenue]","汚水処理費（千円/年） [wastewaterTreatmentCost]","維持管理費分（千円/年） [opexComponent]","資本費分（千円/年） [capitalCostComponent]","営業費用（千円） [operating_expense]","管渠費（千円） [pipeline_expense]","ポンプ場費（千円） [pump_station_expense]","処理場費（千円） [treatment_plant_expense]","業務費（千円） [business_expense]","総係費（千円） [general_administration_expense]","職員給与費計（千円） [personnel_cost_total]","支払利息計（千円） [interest_cost_total]","減価償却費（千円） [depreciation_cost]","動力費（千円） [power_cost]","水道光熱費（千円） [water_and_utilities_cost]","通信運搬費（千円） [communications_transport_cost]","修繕費（千円） [repair_cost]","材料費（千円） [materials_cost]","薬品費（千円） [chemical_cost]","路面復旧費（千円） [road_restoration_cost]","委託料（千円） [outsourcing_cost]","流域下水道管理運営費負担金（千円） [regional_sewerage_contribution]","その他（千円） [other_cost]","費用合計（千円） [total_cost]"
"141305:17-1-000:legal_applied:2020","141305","川崎市","17-1-000","legal_applied","2020","1532738","1517893","183930722","155690117","2156","22160443","18404554","7945182","10459372","34870618","1440518","1228569","5052101","1746493","1151073","2869932","2961165","23278625","1263711","103819","25634","1742300","3945","336039","2134","2451402","0","2859637","37898343"
"141500:17-1-000:legal_applied:2020","141500","相模原市","17-1-000","legal_applied","2020","697205","690923","79973721","74785003","2036","8645062","7953776","3510298","4443478","12569397","506763","223242","0","443937","366292","375224","1371973","8354614","32570","32479","8011","132532","0","0","0","449845","2633695","602580","13993523"
"142018:17-1-000:legal_applied:2020","142018","横須賀市","17-1-000","legal_applied","2020","386298","371781","52990182","42029294","2443","6815544","5918353","3503622","2414731","12701988","564428","580874","2446809","315604","385575","765606","812474","8238622","505307","17098","2115","725956","18727","114641","297","1906931","0","482675","13590449"
"142034:17-1-000:legal_applied:2020","142034","平塚市","17-1-000","legal_applied","2020","250257","245043","32640104","28252858","2035","3231260","2704785","1674960","1029825","6238978","201794","445917","0","146115","86834","158323","697415","4260396","25934","133","2037","138442","1806","0","0","541478","1091634","45817","6963415"
"142042:17-1-000:legal_applied:2020","142042","鎌倉市","17-1-000","legal_applied","2020","173078","161849","21412480","18382284","2302","2366977","2835052","1254447","1580605","5570815","278630","91430","1092374","98580","88907","229556","563362","3919820","250263","1391","2572","251374","5760","44959","0","793673","0","80916","6143646"
"142051:17-1-000:legal_applied:2020","142051","藤沢市","17-1-000","legal_applied","2020","422380","415920","55838675","45030456","2203","5729861","5704216","3500755","2203461","10313222","719939","948345","2673139","0","532681","522768","845033","5373143","552390","2441","3539","1258690","22424","133482","0","2232022","40326","255355","11241613"
"142069:17-1-000:legal_applied:2020","142069","小田原市","17-1-000","legal_applied","2020","157100","147400","28357300","19946425","2636","3319191","3475260","1820192","1655068","5289044","225223","26519","0","132628","106236","168735","677650","3255018","4624","936","2460","36863","2550","0","0","266499","1482212","109879","6007426"
"142077:17-1-000:legal_applied:2020","142077","茅ヶ崎市","17-1-000","legal_applied","2020","233848","230956","28427108","24352223","1878","2712875","2162038","1256895","905143","4310744","299065","187055","0","0","344543","146103","505539","2623116","16238","1219","3353","85230","3512","0","0","409657","854385","204710","4853062"
"142085:17-1-000:legal_applied:2020","142085","逗子市","17-1-000","legal_applied","2020","59577","58862","8207390","6470576","1793","703940","970586","504977","465609","2030241","33195","77927","474180","33952","34455","45287","42865","1330666","70582","1559","64","1174","1977","0","0","448036","0","142673","2084883"
"142107:17-1-000:legal_applied:2020","142107","三浦市","17-1-000","legal_applied","2020","14873","13394","1569496","1386917","2921","238454","271793","271354","439","848363","23833","6648","134765","0","104469","74242","95812","575119","25725","473","649","2805","27","0","0","154085","0","16876","945813"
"142115:17-1-000:legal_applied:2020","142115","秦野市","17-1-000","legal_applied","2020","140680","129037","14970525","14851851","2469","2100041","2228354","1257998","970356","3970983","146636","53791","650972","122464","187034","205278","511077","2516357","126046","105","4618","58773","1317","72861","0","621661","20069","300862","4439024"
"142123:17-1-000:legal_applied:2020","142123","厚木市","17-1-000","legal_applied","2020","199945","198752","30149559","25952417","1974","2862077","2554544","1355943","1198601","5323653","196523","70187","0","144236","85322","128333","349173","3788215","5240","1866","308","57665","5348","0","0","259300","996401","93279","5685128"
"142131:17-1-000:legal_applied:2020","142131","大和市","17-1-000","legal_applied","2020","230792","230113","25432273","24618858","2292","3111499","3578344","2030910","1547434","5703939","103779","0","1704933","145254","134961","199691","455189","3488940","259364","32157","356","520025","3289","63666","15880","978404","0","175861","6192822"
"142140:17-1-000:legal_applied:2020","142140","伊勢原市","17-1-000","legal_applied","2020","79848","77694","11711169","8705334","2355","1212343","1329469","812854","516615","2977519","173753","74146","582134","48034","122887","99917","245924","1808226","99932","968","1809","59192","2117","40393","0","577421","142208","159188","3237295"
"142158:17-1-000:legal_applied:2020","142158","海老名市","17-1-000","legal_applied","2020","131410","129189","18810358","16427258","1796","1727681","1503828","832936","670892","2435452","153028","0","0","73351","46668","81824","186958","1562276","0","632","1344","6976","236","0","0","120173","599001","68848","2628268"
"142166:17-1-000:legal_applied:2020","142166","座間市","17-1-000","legal_applied","2020","128980","125454","13869152","12934560","2634","1786180","1500287","577156","923131","2033451","65841","0","0","0","185759","86112","257678","1375595","1257","159","225","16186","0","0","0","59032","398569","103221","2298034"
"142174:17-1-000:legal_applied:2020","142174","南足柄市","17-1-000","legal_applied","2020","30698","30265","5327052","4877373","1779","621775","731606","296133","435473","873272","13682","699","0","0","72363","20628","107983","565930","558","597","402","3535","30","0","0","54726","220168","6757","981314"
"142182:17-1-000:legal_applied:2020","142182","綾瀬市","17-1-000","legal_applied","2020","79832","79158","10430895","9122973","2289","1195416","1240743","663005","577738","2063446","41154","0","437470","42362","66462","66651","229923","1368904","0","11","258","12735","91","0","0","494942","107094","13403","2294012"
"143014:17-1-000:legal_applied:2020","143014","葉山町","17-1-000","legal_applied","2020","23256","21131","2173934","1929725","2244","258753","236016","236016","0","955005","21916","33314","170355","10431","58081","42465","120309","659000","43443","1964","130","19311","218","10322","9","170210","0","7933","1075314"
"143219:17-1-000:legal_applied:2020","143219","寒川町","17-1-000","legal_applied","2020","45719","44679","5448123","4988324","1978","562292","745157","260165","484992","1126723","125730","0","0","0","59708","58294","104962","776082","0","363","13","19","56","0","0","102624","164847","31124","1238384"
"143413:17-1-000:legal_applied:2020","143413","大磯町","17-1-000","legal_applied","2020","26198","20276","2270729","2010540","2687","285436","296078","129231","166847","713307","47230","0","0","0","29432","18446","145140","568212","0","1471","500","5143","0","0","0","41319","68433","11015","859679"
"143421:17-1-000:non_legal_applied:2020","143421","二宮町","17-1-000","non_legal_applied","2020","25260","20450","1842715","1965124","2673","303006","302816","150788","152028","","","","","","","","","","","","","","","","","","","",""
"143618:17-1-000:legal_applied:2020","143618","中井町","17-1-000","legal_applied","2020","6957","5218","1199245","1036171","1320","101550","176870","106272","70598","419006","10925","0","0","0","34988","14587","55297","318358","0","275","304","537","0","0","2621","23782","54735","10159","480655"
"143626:17-1-000:legal_applied:2020","143626","大井町","17-1-000","legal_applied","2020","15732","15180","2030698","1799435","1792","189608","268730","138133","130597","390065","14648","0","0","0","27852","17009","32120","247326","0","117","554","5252","0","0","0","15263","100239","4305","422185"
"143634:17-1-000:non_legal_applied:2020","143634","松田町","17-1-000","non_legal_applied","2020","9326","9033","1050618","987681","1723","121284","142144","63436","78708","","","","","","","","","","","","","","","","","","","",""
"143642:17-1-000:non_legal_applied:2020","143642","山北町","17-1-000","non_legal_applied","2020","8170","7280","1814982","1597609","1485","169539","259165","121230","137935","","","","","","","","","","","","","","","","","","","",""
"143669:17-1-000:legal_applied:2020","143669","開成町","17-1-000","legal_applied","2020","13351","12894","2873459","2161135","1685","221187","314022","171460","142562","410387","29205","0","0","0","25069","8835","39184","238928","0","275","25","0","0","0","0","17634","117185","28908","450974"
"143821:17-1-000:legal_applied:2020","143821","箱根町","17-1-000","legal_applied","2020","6161","5336","3783379","2942408","2046","564908","621070","352699","268371","1031323","5269","56940","251850","0","41068","57695","65944","665067","69414","2927","704","13984","0","4824","0","157088","0","59735","1097382"
"143839:17-1-000:non_legal_applied:2020","143839","真鶴町","17-1-000","non_legal_applied","2020","1419","658","73259","73259","3411","13617","14192","14192","0","","","","","","","","","","","","","","","","","","","",""
"143847:17-1-000:legal_applied:2020","143847","湯河原町","17-1-000","legal_applied","2020","22412","20693","4193846","2855563","2794","411348","433611","240634","192977","858990","34438","0","184420","0","52153","49390","46785","586345","37788","103","3772","12369","2467","168","0","131459","0","39341","909987"
