"行識別子","団体コード","自治体・運営団体名","事業キー","会計区分","決算年度","処理区域内人口（人） [servicePopulation]","水洗化人口（人） [connectedPopulation]","年間汚水処理水量（m³/年） [treatedVolume]","年間有収水量（m³/年） [annualBillableVolume]","一般家庭用20m³月額（円/月・税込） [householdFee20m3Yen]","使用料収入（千円/年） [sewerFeeRevenue]","汚水処理費（千円/年） [wastewaterTreatmentCost]","維持管理費分（千円/年） [opexComponent]","資本費分（千円/年） [capitalCostComponent]","営業費用（千円） [operating_expense]","管渠費（千円） [pipeline_expense]","ポンプ場費（千円） [pump_station_expense]","処理場費（千円） [treatment_plant_expense]","業務費（千円） [business_expense]","総係費（千円） [general_administration_expense]","職員給与費計（千円） [personnel_cost_total]","支払利息計（千円） [interest_cost_total]","減価償却費（千円） [depreciation_cost]","動力費（千円） [power_cost]","水道光熱費（千円） [water_and_utilities_cost]","通信運搬費（千円） [communications_transport_cost]","修繕費（千円） [repair_cost]","材料費（千円） [materials_cost]","薬品費（千円） [chemical_cost]","路面復旧費（千円） [road_restoration_cost]","委託料（千円） [outsourcing_cost]","流域下水道管理運営費負担金（千円） [regional_sewerage_contribution]","その他（千円） [other_cost]","費用合計（千円） [total_cost]"
"010006:17-1-000:non_legal_applied:2020","010006","北海道","17-1-000","non_legal_applied","2020","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","",""
"011002:17-1-000:legal_applied:2020","011002","札幌市","17-1-000","legal_applied","2020","1946978","1946024","269262632","201896779","1371","17814575","19248992","10888092","8360900","43055036","4484244","703886","10005574","1476449","822366","3062814","2792458","24619178","2100267","145832","22455","1950116","380210","143881","136760","9334930","0","1359907","46048808"
"012025:17-1-000:legal_applied:2020","012025","函館市","17-1-000","legal_applied","2020","224528","216080","34478928","25979228","3014","4037713","3234242","1845138","1389104","5658619","306891","177735","673687","226414","244343","356685","720927","3524083","182366","8545","4337","275150","21151","58301","0","518270","435642","297165","6402622"
"012033:17-1-000:legal_applied:2020","012033","小樽市","17-1-000","legal_applied","2020","110721","108316","17928189","11388363","2750","1777190","1666791","1141424","525367","3099493","106353","55483","833504","0","209885","79975","141476","1829811","178941","2450","1934","9976","6535","57285","8519","596239","0","391009","3304150"
"012041:17-1-000:legal_applied:2020","012041","旭川市","17-1-000","legal_applied","2020","320615","311041","42902178","31459563","3264","5133452","5118499","2665761","2452738","7745044","507211","148115","1417754","232084","718066","514810","442448","4706083","540","2252","8878","578066","931","751","0","1486538","0","481659","8222956"
"012050:17-1-000:legal_applied:2020","012050","室蘭市","17-1-000","legal_applied","2020","80160","76804","10773440","7293950","3663","1420108","1085858","682088","403770","2358416","168722","125612","583157","0","81355","122638","195368","1362806","107596","4556","2590","242288","1085","0","0","448450","0","98700","2586077"
"012068:17-1-000:legal_applied:2020","012068","釧路市","17-1-000","legal_applied","2020","157045","150787","22183960","14617495","4502","3224419","2653433","1391775","1261658","4768037","505658","205975","769271","199231","88309","233762","333326","2905311","228759","33","722","354594","37247","35561","0","665461","0","360292","5155068"
"012076:17-1-000:legal_applied:2020","012076","帯広市","17-1-000","legal_applied","2020","158197","156561","21497316","16178989","2970","2622471","2123240","1138246","984994","3589667","380524","0","302479","132541","59141","103065","342085","2251048","52958","6574","1918","214779","600","0","0","283346","431304","262413","3950090"
"012084:17-1-000:legal_applied:2020","012084","北見市","17-1-000","legal_applied","2020","103075","102258","14863635","9910210","3620","1696732","1672896","701797","971099","3389743","279492","5376","463774","81729","100003","182268","385975","2366354","93825","2967","2160","102124","4222","32374","0","372827","0","209968","3755064"
"012092:17-1-000:non_legal_applied:2020","012092","夕張市","17-1-000","non_legal_applied","2020","2038","1863","247861","188403","5105","50615","82650","82650","0","","","","","","","","","","","","","","","","","","","",""
"012106:17-1-000:legal_applied:2020","012106","岩見沢市","17-1-000","legal_applied","2020","69040","68467","9769202","6210665","3477","1181533","818110","628708","189402","2067731","144043","21084","437157","0","198209","44319","145292","1266821","83189","2074","1654","64195","7865","0","0","532758","0","138093","2286260"
"012114:17-1-000:legal_applied:2020","012114","網走市","17-1-000","legal_applied","2020","29880","29611","3976711","3394330","4331","618896","690523","330359","360164","1185976","27537","56100","170810","0","72855","36909","82969","855998","66897","0","0","19755","1936","253","0","157017","0","50920","1272654"
"012122:17-1-000:non_legal_applied:2020","012122","留萌市","17-1-000","non_legal_applied","2020","17076","15193","1739765","1513424","4820","354820","407598","243489","164109","","","","","","","","","","","","","","","","","","","",""
"012131:17-1-000:legal_applied:2020","012131","苫小牧市","17-1-000","legal_applied","2020","168481","168235","19556000","15762900","2295","2284665","2060121","1030925","1029196","3943216","176141","46077","816828","146339","16201","139517","476327","2681080","119371","4381","3485","121604","950","46968","0","699618","0","157587","4450888"
"012149:17-1-000:legal_applied:2020","012149","稚内市","17-1-000","legal_applied","2020","29191","27477","4811376","2739254","3300","449450","449450","341543","107907","961740","34369","0","279822","29190","7110","20115","101555","611240","32435","4321","655","19234","0","0","0","135484","0","153204","1078243"
"012157:17-1-000:non_legal_applied:2020","012157","美唄市","17-1-000","non_legal_applied","2020","15244","14401","1875110","1384436","4998","364486","407039","167320","239719","","","","","","","","","","","","","","","","","","","",""
"012165:17-1-000:non_legal_applied:2020","012165","芦別市","17-1-000","non_legal_applied","2020","11115","10175","1134653","908525","5042","250176","261335","105898","155437","","","","","","","","","","","","","","","","","","","",""
"012173:17-1-000:legal_applied:2020","012173","江別市","17-1-000","legal_applied","2020","116609","116062","14717194","11643988","2343","1291833","1209143","839704","369439","3036937","179895","114292","407772","0","278740","144757","168281","2040911","111463","2016","4273","164435","0","47793","11769","264208","0","256036","3215942"
"012181:17-1-000:non_legal_applied:2020","012181","赤平市","17-1-000","non_legal_applied","2020","8414","7515","810202","629698","4707","174207","169780","64868","104912","","","","","","","","","","","","","","","","","","","",""
"012190:17-1-000:legal_applied:2020","012190","紋別市","17-1-000","legal_applied","2020","19480","18751","3644595","2438952","4158","420730","341363","204721","136642","930586","8203","24482","179242","0","48218","48414","94282","619908","31703","1168","5850","24164","2716","10374","0","103326","0","90725","1032630"
"012203:17-1-000:non_legal_applied:2020","012203","士別市","17-1-000","non_legal_applied","2020","13700","13640","3593894","1337017","3131","200762","200762","55823","144939","","","","","","","","","","","","","","","","","","","",""
"012211:17-1-000:legal_applied:2020","012211","名寄市","17-1-000","legal_applied","2020","23302","22940","2852968","2158990","3870","379454","286285","128489","157796","1019130","39984","0","167800","0","35279","106398","65999","752217","45098","1314","498","19423","0","7009","0","46230","0","41888","1086074"
"012220:17-1-000:legal_applied:2020","012220","三笠市","17-1-000","legal_applied","2020","7015","6335","951254","814248","5583","192229","192229","101676","90553","476742","11023","8055","58800","0","19588","21038","47258","370287","0","0","0","6161","0","0","0","74147","0","6158","525049"
"012238:17-1-000:legal_applied:2020","012238","根室市","17-1-000","legal_applied","2020","18356","15779","2467519","1692352","4312","425955","511353","247727","263626","780737","19478","26398","161794","24801","55415","33835","29857","475241","0","0","69","67","1078","0","0","222260","0","52261","814668"
"012246:17-1-000:legal_applied:2020","012246","千歳市","17-1-000","legal_applied","2020","95440","95372","16982601","14061932","1938","1352888","1351358","833393","517965","2886773","244982","30371","599674","90734","58319","109187","162434","1843187","10575","0","67","286699","18166","0","0","475555","0","159208","3065078"
"012254:17-1-000:legal_applied:2020","012254","滝川市","17-1-000","legal_applied","2020","36987","34694","4307038","3377164","4134","705649","488115","196469","291646","1068533","45594","11211","0","36474","6867","10030","85931","808921","2569","178","258","10106","5324","0","0","25748","156442","48957","1154464"
"012262:17-1-000:legal_applied:2020","012262","砂川市","17-1-000","legal_applied","2020","15329","15121","1928063","1423107","4760","334257","286966","116180","170786","458119","27303","7521","0","0","29161","19291","40635","337397","138","1838","201","12441","0","0","0","14565","55264","17869","499639"
"012271:17-1-000:non_legal_applied:2020","012271","歌志内市","17-1-000","non_legal_applied","2020","2964","2842","481249","317372","4797","75326","75326","38929","36397","","","","","","","","","","","","","","","","","","","",""
"012289:17-1-000:non_legal_applied:2020","012289","深川市","17-1-000","non_legal_applied","2020","15092","14358","1753866","1429550","3850","294367","296169","166847","129322","","","","","","","","","","","","","","","","","","","",""
"012297:17-1-000:non_legal_applied:2020","012297","富良野市","17-1-000","non_legal_applied","2020","15550","15131","1829789","1478352","3542","271035","277316","224034","53282","","","","","","","","","","","","","","","","","","","",""
"012301:17-1-000:legal_applied:2020","012301","登別市","17-1-000","legal_applied","2020","44565","38731","3603477","3214647","4246","664934","567394","369542","197852","1362774","49951","18805","235623","51974","28800","50370","261080","968645","0","0","0","25090","165","240","3780","265785","0","48797","1623952"
"012319:17-1-000:legal_applied:2020","012319","恵庭市","17-1-000","legal_applied","2020","68356","68233","9496290","7516758","2399","969501","961261","455611","505650","2189678","88278","0","437347","54607","75377","63883","155699","1457441","60566","1045","1058","50210","11711","0","0","437361","0","121560","2360534"
"012335:17-1-000:legal_applied:2020","012335","伊達市","17-1-000","legal_applied","2020","25722","24206","2741135","2512694","4856","599847","643076","311126","331950","946590","30409","3532","227137","0","80251","47607","79922","543497","27145","2345","652","8263","246","0","0","244280","0","76960","1030917"
"012343:17-1-000:legal_applied:2020","012343","北広島市","17-1-000","legal_applied","2020","56505","56480","7189290","5695327","2442","780583","607673","369360","238313","1919259","109149","35206","230471","40104","49553","69166","103721","1344144","47880","1034","728","50738","0","0","0","225628","0","84906","1927945"
"012351:17-1-000:legal_applied:2020","012351","石狩市","17-1-000","legal_applied","2020","53181","52949","4617555","4351583","2739","599769","646251","315424","330827","1152773","67282","40149","163938","42600","43547","62813","130619","787573","9610","318","868","43815","0","586","0","37579","0","212178","1285959"
"012360:17-1-000:legal_applied:2020","012360","北斗市","17-1-000","legal_applied","2020","39812","35011","4466365","4208704","2750","586477","558948","226625","332323","787310","42605","0","0","31586","18736","31292","96602","560644","2292","104","383","8122","0","0","0","38601","133697","12176","883913"
"013030:17-1-000:non_legal_applied:2020","013030","当別町","17-1-000","non_legal_applied","2020","13386","12899","1560189","1155508","2970","190937","367393","211788","155605","","","","","","","","","","","","","","","","","","","",""
"013340:17-1-000:non_legal_applied:2020","013340","木古内町","17-1-000","non_legal_applied","2020","2427","1656","141139","126503","4400","29796","116423","41559","74864","","","","","","","","","","","","","","","","","","","",""
"013374:17-1-000:legal_applied:2020","013374","七飯町","17-1-000","legal_applied","2020","21551","17767","2880742","2698673","2684","322034","133483","133483","0","390620","24587","0","0","20828","2169","20573","51857","263523","0","60","1106","1886","0","0","576","9508","78390","22510","449989"
"013455:17-1-000:legal_applied:2020","013455","森町","17-1-000","legal_applied","2020","7505","7133","583435","506014","3400","87778","172845","115934","56911","380054","15122","636","73343","0","26833","17343","59996","264120","10555","336","527","15135","0","3087","0","51240","0","17711","440050"
"013463:17-1-000:non_legal_applied:2020","013463","八雲町","17-1-000","non_legal_applied","2020","9041","8689","926666","880703","3630","167427","219026","109610","109416","","","","","","","","","","","","","","","","","","","",""
"013471:17-1-000:non_legal_applied:2020","013471","長万部町","17-1-000","non_legal_applied","2020","3679","2805","602069","333124","3300","59565","134710","134710","0","","","","","","","","","","","","","","","","","","","",""
"013617:17-1-000:non_legal_applied:2020","013617","江差町","17-1-000","non_legal_applied","2020","2888","1661","147130","174555","4180","40160","123514","100270","23244","","","","","","","","","","","","","","","","","","","",""
"013706:17-1-000:non_legal_applied:2020","013706","今金町","17-1-000","non_legal_applied","2020","3320","3116","319672","281248","2950","43529","73667","73667","0","","","","","","","","","","","","","","","","","","","",""
"013714:17-1-000:non_legal_applied:2020","013714","せたな町","17-1-000","non_legal_applied","2020","2800","2618","483233","287752","3290","50294","82839","73839","9000","","","","","","","","","","","","","","","","","","","",""
"014001:17-1-000:non_legal_applied:2020","014001","倶知安町","17-1-000","non_legal_applied","2020","11159","10832","1431250","1100232","3400","209426","210107","144180","65927","","","","","","","","","","","","","","","","","","","",""
"014010:17-1-000:non_legal_applied:2020","014010","共和町","17-1-000","non_legal_applied","2020","1270","819","115802","71812","3880","15319","20860","14519","6341","","","","","","","","","","","","","","","","","","","",""
"014028:17-1-000:legal_applied:2020","014028","岩内町","17-1-000","legal_applied","2020","8355","4527","867165","388277","3960","56233","209851","159029","50822","513685","10137","0","128231","0","20324","7956","51513","354993","0","1320","375","4810","0","0","0","101951","0","42310","565228"
"014061:17-1-000:non_legal_applied:2020","014061","古平町","17-1-000","non_legal_applied","2020","2383","1419","161787","139610","4135","28414","39569","39569","0","","","","","","","","","","","","","","","","","","","",""
"014087:17-1-000:non_legal_applied:2020","014087","余市町","17-1-000","non_legal_applied","2020","14657","13315","1717465","1252792","4300","280574","357823","182464","175359","","","","","","","","","","","","","","","","","","","",""
"014231:17-1-000:non_legal_applied:2020","014231","南幌町","17-1-000","non_legal_applied","2020","5387","5376","661344","532936","3924","115785","120622","107879","12743","","","","","","","","","","","","","","","","","","","",""
"014249:17-1-000:non_legal_applied:2020","014249","奈井江町","17-1-000","non_legal_applied","2020","4470","4301","724392","534622","4528","124646","128613","52929","75684","","","","","","","","","","","","","","","","","","","",""
"014281:17-1-000:non_legal_applied:2020","014281","長沼町","17-1-000","non_legal_applied","2020","5887","5779","899467","540073","3924","110175","110175","73322","36853","","","","","","","","","","","","","","","","","","","",""
"014290:17-1-000:legal_applied:2020","014290","栗山町","17-1-000","legal_applied","2020","8632","8371","1075406","781543","4884","179213","195311","129771","65540","401912","9158","0","104628","0","13846","8016","23469","273937","0","40","0","3316","294","0","0","109306","0","8799","427177"
"014320:17-1-000:non_legal_applied:2020","014320","新十津川町","17-1-000","non_legal_applied","2020","4402","4247","378827","333065","3916","67595","82735","44290","38445","","","","","","","","","","","","","","","","","","","",""
"014524:17-1-000:non_legal_applied:2020","014524","鷹栖町","17-1-000","non_legal_applied","2020","4846","4817","585589","427933","2555","61387","74936","54340","20596","","","","","","","","","","","","","","","","","","","",""
"014532:17-1-000:legal_applied:2020","014532","東神楽町","17-1-000","legal_applied","2020","8574","8572","1045064","906493","2200","103551","135612","105546","30066","231036","17934","1221","63154","0","21133","16028","13746","127594","825","0","387","2900","0","0","0","78356","0","7050","246886"
"014575:17-1-000:non_legal_applied:2020","014575","上川町","17-1-000","non_legal_applied","2020","2778","2444","395311","215525","2604","32555","72665","38591","34074","","","","","","","","","","","","","","","","","","","",""
"014591:17-1-000:non_legal_applied:2020","014591","美瑛町","17-1-000","non_legal_applied","2020","6402","6206","881915","603620","2904","92086","90543","78748","11795","","","","","","","","","","","","","","","","","","","",""
"014605:17-1-000:non_legal_applied:2020","014605","上富良野町","17-1-000","non_legal_applied","2020","8545","7794","870077","769408","3625","132072","189932","96939","92993","","","","","","","","","","","","","","","","","","","",""
"014681:17-1-000:non_legal_applied:2020","014681","下川町","17-1-000","non_legal_applied","2020","2507","2433","279691","214936","2486","29527","52952","52952","0","","","","","","","","","","","","","","","","","","","",""
"014699:17-1-000:non_legal_applied:2020","014699","美深町","17-1-000","non_legal_applied","2020","3220","3112","432661","304924","2940","46827","46827","44490","2337","","","","","","","","","","","","","","","","","","","",""
"014818:17-1-000:legal_applied:2020","014818","増毛町","17-1-000","legal_applied","2020","2522","1894","211679","194801","3790","33014","65012","33494","31518","118113","859","3003","19203","0","10263","8619","11102","84785","5278","306","1940","1690","0","1105","0","12516","0","2043","129384"
"014842:17-1-000:non_legal_applied:2020","014842","羽幌町","17-1-000","non_legal_applied","2020","5642","4158","462408","422069","3600","79001","146904","102771","44133","","","","","","","","","","","","","","","","","","","",""
"015121:17-1-000:non_legal_applied:2020","015121","浜頓別町","17-1-000","non_legal_applied","2020","2971","2829","501104","330940","3410","52522","100048","68797","31251","","","","","","","","","","","","","","","","","","","",""
"015148:17-1-000:legal_applied:2020","015148","枝幸町","17-1-000","legal_applied","2020","4778","4380","805749","464289","2860","64599","79464","79463","1","238661","2349","0","61622","0","15025","8452","13265","158852","4577","2389","302","9366","0","0","0","48019","0","7744","252966"
"015431:17-1-000:non_legal_applied:2020","015431","美幌町","17-1-000","non_legal_applied","2020","16228","15668","1994993","1448024","4950","359720","414337","284590","129747","","","","","","","","","","","","","","","","","","","",""
"015458:17-1-000:non_legal_applied:2020","015458","斜里町","17-1-000","non_legal_applied","2020","7878","7526","939346","759632","3190","128866","285905","141986","143919","","","","","","","","","","","","","","","","","","","",""
"015555:17-1-000:legal_applied:2020","015555","遠軽町","17-1-000","legal_applied","2020","14098","13188","1982899","1143660","4180","229428","198696","180334","18362","660807","44077","7788","166767","0","30953","38961","54990","409798","0","0","0","27110","55","0","0","125850","0","65090","721854"
"015610:17-1-000:non_legal_applied:2020","015610","興部町","17-1-000","non_legal_applied","2020","2321","2317","395062","215212","3630","41590","57121","38314","18807","","","","","","","","","","","","","","","","","","","",""
"015636:17-1-000:non_legal_applied:2020","015636","雄武町","17-1-000","non_legal_applied","2020","3317","2889","343496","277284","3590","55129","69062","69062","0","","","","","","","","","","","","","","","","","","","",""
"015644:17-1-000:non_legal_applied:2020","015644","大空町","17-1-000","non_legal_applied","2020","3261","3189","381038","352954","4441","77028","86666","28531","58135","","","","","","","","","","","","","","","","","","","",""
"015784:17-1-000:legal_applied:2020","015784","白老町","17-1-000","legal_applied","2020","14022","13298","1788296","1373520","4422","347634","346063","181272","164791","867824","43242","12584","182359","0","45824","24001","88138","562235","0","0","0","33080","1292","0","1719","217289","0","28208","955962"
"015814:17-1-000:non_legal_applied:2020","015814","厚真町","17-1-000","non_legal_applied","2020","1683","1670","172438","174524","3960","37537","38631","38631","0","","","","","","","","","","","","","","","","","","","",""
"015849:17-1-000:non_legal_applied:2020","015849","洞爺湖町","17-1-000","non_legal_applied","2020","6432","5686","1780431","1406894","3250","122568","422054","173785","248269","","","","","","","","","","","","","","","","","","","",""
"015857:17-1-000:non_legal_applied:2020","015857","安平町","17-1-000","non_legal_applied","2020","3187","2913","307393","252759","3960","51736","59581","59581","0","","","","","","","","","","","","","","","","","","","",""
"015865:17-1-000:legal_applied:2020","015865","むかわ町","17-1-000","legal_applied","2020","3244","2933","431070","307124","3860","55355","55355","54207","1148","179481","5786","0","37998","0","10357","8571","19863","125340","6925","172","162","3593","661","1322","0","30639","0","2160","199408"
"016071:17-1-000:non_legal_applied:2020","016071","浦河町","17-1-000","non_legal_applied","2020","6653","6153","884811","609479","3520","110755","110755","85440","25315","","","","","","","","","","","","","","","","","","","",""
"016101:17-1-000:non_legal_applied:2020","016101","新ひだか町","17-1-000","non_legal_applied","2020","14137","12303","1922281","1362234","4220","316624","365729","229230","136499","","","","","","","","","","","","","","","","","","","",""
"016314:17-1-000:legal_applied:2020","016314","音更町","17-1-000","legal_applied","2020","39219","39095","4557806","3669830","3206","581832","487289","236075","251214","813075","28055","19785","34253","0","30838","4376","99551","571811","10194","212","14","21790","253","0","357","74634","114359","15692","913243"
"016357:17-1-000:non_legal_applied:2020","016357","新得町","17-1-000","non_legal_applied","2020","4695","4575","576335","432440","2944","68557","90012","90012","0","","","","","","","","","","","","","","","","","","","",""
"016365:17-1-000:legal_applied:2020","016365","清水町","17-1-000","legal_applied","2020","5123","4989","824474","496928","3800","88559","118059","74000","44059","190005","134","0","45116","0","25736","14756","3889","119019","10298","427","48","2603","1911","498","0","36428","0","7066","196943"
"016373:17-1-000:legal_applied:2020","016373","芽室町","17-1-000","legal_applied","2020","14391","14362","3879521","2850625","3037","401743","498911","191113","307798","569028","43429","33009","0","8587","20504","19882","25679","362329","3563","177","782","41283","462","0","0","37622","101170","11235","604184"
"016411:17-1-000:non_legal_applied:2020","016411","大樹町","17-1-000","non_legal_applied","2020","3698","3463","331583","312603","3721","58076","83592","62674","20918","","","","","","","","","","","","","","","","","","","",""
"016420:17-1-000:non_legal_applied:2020","016420","広尾町","17-1-000","non_legal_applied","2020","5248","5130","486736","469164","4070","97777","102919","81780","21139","","","","","","","","","","","","","","","","","","","",""
"016438:17-1-000:non_legal_applied:2020","016438","幕別町","17-1-000","non_legal_applied","2020","21955","21752","2189953","1942010","3220","333647","487274","225679","261595","","","","","","","","","","","","","","","","","","","",""
"016446:17-1-000:legal_applied:2020","016446","池田町","17-1-000","legal_applied","2020","4835","4619","799615","506888","4059","98543","122245","95539","26706","307125","6720","0","70000","4111","20958","27953","14990","196177","11070","565","172","9751","0","2104","0","30957","0","29154","322893"
"016462:17-1-000:non_legal_applied:2020","016462","本別町","17-1-000","non_legal_applied","2020","4506","4192","438129","388494","3498","72035","135054","64389","70665","","","","","","","","","","","","","","","","","","","",""
"016471:17-1-000:non_legal_applied:2020","016471","足寄町","17-1-000","non_legal_applied","2020","4707","3458","361964","327204","3317","58482","92068","92068","0","","","","","","","","","","","","","","","","","","","",""
"016497:17-1-000:non_legal_applied:2020","016497","浦幌町","17-1-000","non_legal_applied","2020","2855","2768","409901","267293","4342","59548","57198","31841","25357","","","","","","","","","","","","","","","","","","","",""
"016616:17-1-000:non_legal_applied:2020","016616","釧路町","17-1-000","non_legal_applied","2020","17459","15856","2208456","1451913","4509","333113","343102","155535","187567","","","","","","","","","","","","","","","","","","","",""
"016624:17-1-000:non_legal_applied:2020","016624","厚岸町","17-1-000","non_legal_applied","2020","6894","5568","626451","504324","3910","99315","361953","90196","271757","","","","","","","","","","","","","","","","","","","",""
"016641:17-1-000:non_legal_applied:2020","016641","標茶町","17-1-000","non_legal_applied","2020","4465","4075","563590","408484","3190","73850","123054","70935","52119","","","","","","","","","","","","","","","","","","","",""
"016659:17-1-000:non_legal_applied:2020","016659","弟子屈町","17-1-000","non_legal_applied","2020","4383","3697","412579","336164","4235","86345","162834","75464","87370","","","","","","","","","","","","","","","","","","","",""
"016683:17-1-000:non_legal_applied:2020","016683","白糠町","17-1-000","non_legal_applied","2020","5489","3800","375778","314446","4070","50322","354101","67304","286797","","","","","","","","","","","","","","","","","","","",""
"016926:17-1-000:non_legal_applied:2020","016926","中標津町","17-1-000","non_legal_applied","2020","18801","17422","2313841","1686370","3806","342287","459206","257118","202088","","","","","","","","","","","","","","","","","","","",""
"022012:17-1-000:legal_applied:2020","022012","青森市","17-1-000","legal_applied","2020","224597","200126","31135755","21950645","3108","3652402","3785925","1419626","2366299","6754636","142176","248755","798084","226181","152587","530111","908804","5071388","182670","4080","5107","63296","5584","35150","0","632167","57748","193729","7689834"
"022021:17-1-000:legal_applied:2020","022021","弘前市","17-1-000","legal_applied","2020","140477","132541","18294043","14891278","3145","2726104","2207853","1455900","751953","3674514","187019","51653","114688","120312","109646","208326","411413","2063578","32948","889","5247","71030","3634","1811","2750","157440","1024524","112404","4095994"
"022039:17-1-000:legal_applied:2020","022039","八戸市","17-1-000","legal_applied","2020","145691","123350","18489772","12787059","3383","2403843","2732110","1274813","1457297","5927823","281057","178969","568966","66449","185114","205881","405079","4319803","123425","28506","12417","112570","16773","34782","0","667930","327462","290223","6544851"
"022047:17-1-000:legal_applied:2020","022047","黒石市","17-1-000","legal_applied","2020","18339","15611","1818094","1479921","4045","323149","327134","180545","146589","493988","35873","15901","0","0","31536","17766","73901","306081","1954","141","168","14866","0","0","3300","37458","102573","8311","566519"
"022055:17-1-000:legal_applied:2020","022055","五所川原市","17-1-000","legal_applied","2020","18755","16419","2731420","1773336","3300","351618","390999","299961","91038","752214","35480","0","230170","0","36224","23276","70364","450340","21437","940","694","16814","9629","4318","0","212968","0","14366","825146"
"022063:17-1-000:legal_applied:2020","022063","十和田市","17-1-000","legal_applied","2020","42351","36440","4529280","3906553","4045","836487","728467","431010","297457","1398517","59051","15187","284151","0","85623","69796","185471","940268","35919","106","617","40768","3821","11112","0","240040","0","56360","1584278"
"022071:17-1-000:legal_applied:2020","022071","三沢市","17-1-000","legal_applied","2020","27037","24295","2402556","2275270","3130","397503","412230","250090","162140","975141","12003","10218","183923","14068","35621","42643","134098","707957","24305","226","873","5621","533","11628","1815","163609","0","16094","1109402"
"022080:17-1-000:legal_applied:2020","022080","むつ市","17-1-000","legal_applied","2020","8552","3180","562401","498973","3300","84571","143282","143282","0","639721","8830","0","81860","3987","36448","34790","98171","508408","14174","1152","1112","7901","0","2110","0","65664","0","16377","749859"
"022098:17-1-000:legal_applied:2020","022098","つがる市","17-1-000","legal_applied","2020","6585","4100","517507","439415","3410","65069","88794","88794","0","353841","8373","0","30335","0","41972","23422","54516","273161","9427","742","1557","6453","0","1089","0","23426","0","26568","420361"
"022101:17-1-000:legal_applied:2020","022101","平川市","17-1-000","legal_applied","2020","22286","18641","2305117","1876356","3124","302034","425614","172516","253098","501319","13970","0","0","49","28665","18825","69480","328803","5347","0","1465","729","0","0","1008","10685","129832","4625","570799"
"023019:17-1-000:non_legal_applied:2020","023019","平内町","17-1-000","non_legal_applied","2020","4077","1801","161208","161208","2980","25041","41331","41331","0","","","","","","","","","","","","","","","","","","","",""
"023078:17-1-000:non_legal_applied:2020","023078","外ヶ浜町","17-1-000","non_legal_applied","2020","1346","421","91218","79631","2860","12093","25079","25079","0","","","","","","","","","","","","","","","","","","","",""
"023213:17-1-000:non_legal_applied:2020","023213","鰺ケ沢町","17-1-000","non_legal_applied","2020","3038","1223","157366","134399","2297","16742","38039","35945","2094","","","","","","","","","","","","","","","","","","","",""
"023612:17-1-000:legal_applied:2020","023612","藤崎町","17-1-000","legal_applied","2020","7118","5721","583767","475122","3626","87629","87629","41868","45761","202951","8068","0","0","0","349","0","29316","161083","0","980","390","570","0","0","0","6107","33451","370","232267"
"023621:17-1-000:non_legal_applied:2020","023621","大鰐町","17-1-000","non_legal_applied","2020","4997","3047","400837","326280","3080","50436","139297","56349","82948","","","","","","","","","","","","","","","","","","","",""
"023671:17-1-000:legal_applied:2020","023671","田舎館村","17-1-000","legal_applied","2020","6717","5955","646888","526564","4051","94033","105695","58037","47658","184627","9482","0","0","0","11772","6522","35085","126490","1805","0","334","816","0","0","0","8974","36883","2803","219712"
"023817:17-1-000:legal_applied:2020","023817","板柳町","17-1-000","legal_applied","2020","7272","5577","590475","576067","2920","81788","51494","51494","0","216175","6609","0","0","0","12493","8230","49449","159449","1572","0","569","0","0","0","887","3701","37624","4225","265706"
"023841:17-1-000:legal_applied:2020","023841","鶴田町","17-1-000","legal_applied","2020","5844","3707","401421","401420","2860","56808","59852","35441","24411","243320","1922","0","25300","91","8190","6066","48585","207817","8450","5","530","7328","0","1270","45","9859","0","3800","293755"
"024015:17-1-000:non_legal_applied:2020","024015","野辺地町","17-1-000","non_legal_applied","2020","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","",""
"024023:17-1-000:non_legal_applied:2020","024023","七戸町","17-1-000","non_legal_applied","2020","3021","2014","211857","212658","3300","37852","64340","38605","25735","","","","","","","","","","","","","","","","","","","",""
"024058:17-1-000:non_legal_applied:2020","024058","六戸町","17-1-000","non_legal_applied","2020","6475","5774","895131","457589","2420","59186","114289","66110","48179","","","","","","","","","","","","","","","","","","","",""
"024082:17-1-000:non_legal_applied:2020","024082","東北町","17-1-000","non_legal_applied","2020","7501","5186","407877","406998","2640","58067","155026","92471","62555","","","","","","","","","","","","","","","","","","","",""
"024112:17-1-000:legal_applied:2020","024112","六ケ所村","17-1-000","legal_applied","2020","5856","5266","856834","722633","1397","51013","249793","165059","84734","514588","9247","0","80430","0","47054","24393","66652","359883","9839","375","2939","7800","0","2903","2020","77240","0","38782","592826"
"024121:17-1-000:non_legal_applied:2020","024121","おいらせ町","17-1-000","non_legal_applied","2020","14793","14240","1163428","975014","2640","149836","483743","197159","286584","","","","","","","","","","","","","","","","","","","",""
"024414:17-1-000:non_legal_applied:2020","024414","三戸町","17-1-000","non_legal_applied","2020","2557","1196","141455","134144","3300","24134","92010","41410","50600","","","","","","","","","","","","","","","","","","","",""
"024422:17-1-000:non_legal_applied:2020","024422","五戸町","17-1-000","non_legal_applied","2020","6207","4098","388091","342511","2640","51661","212545","59462","153083","","","","","","","","","","","","","","","","","","","",""
