"行識別子","出典ID","団体コード","自治体・運営団体名","事業キー","会計区分","決算年度","表番号","行番号","シート名","Excel行番号"
"012041:17-1-000:legal_applied:2020","legal_applied:21","012041","旭川市","17-1-000","legal_applied","2020","21","1","2020460002100","2868"
"012041:17-1-000:legal_applied:2020","legal_applied:21","012041","旭川市","17-1-000","legal_applied","2020","21","2","2020460002100","7823"
"012041:17-1-000:legal_applied:2020","legal_applied:32","012041","旭川市","17-1-000","legal_applied","2020","32","1","2020460003200","5"
"012041:17-1-000:legal_applied:2020","legal_applied:32","012041","旭川市","17-1-000","legal_applied","2020","32","2","2020460003200","2097"
"012041:17-1-000:legal_applied:2020","legal_applied:33","012041","旭川市","17-1-000","legal_applied","2020","33","1","2020460003300","5"
"012041:17-1-000:legal_applied:2020","legal_applied:33","012041","旭川市","17-1-000","legal_applied","2020","33","2","2020460003300","2097"
"012050:17-1-000:legal_applied:2020","legal_applied:10","012050","室蘭市","17-1-000","legal_applied","2020","10","1","2020460001000","6"
"012050:17-1-000:legal_applied:2020","legal_applied:10","012050","室蘭市","17-1-000","legal_applied","2020","10","2","2020460001000","2098"
"012050:17-1-000:legal_applied:2020","legal_applied:20","012050","室蘭市","17-1-000","legal_applied","2020","20","1","2020460002000","2869"
"012050:17-1-000:legal_applied:2020","legal_applied:20","012050","室蘭市","17-1-000","legal_applied","2020","20","2","2020460002000","7824"
"012050:17-1-000:legal_applied:2020","legal_applied:21","012050","室蘭市","17-1-000","legal_applied","2020","21","1","2020460002100","2869"
"012050:17-1-000:legal_applied:2020","legal_applied:21","012050","室蘭市","17-1-000","legal_applied","2020","21","2","2020460002100","7824"
"012050:17-1-000:legal_applied:2020","legal_applied:32","012050","室蘭市","17-1-000","legal_applied","2020","32","1","2020460003200","6"
"012050:17-1-000:legal_applied:2020","legal_applied:32","012050","室蘭市","17-1-000","legal_applied","2020","32","2","2020460003200","2098"
"012050:17-1-000:legal_applied:2020","legal_applied:33","012050","室蘭市","17-1-000","legal_applied","2020","33","1","2020460003300","6"
"012050:17-1-000:legal_applied:2020","legal_applied:33","012050","室蘭市","17-1-000","legal_applied","2020","33","2","2020460003300","2098"
"012068:17-1-000:legal_applied:2020","legal_applied:10","012068","釧路市","17-1-000","legal_applied","2020","10","1","2020460001000","7"
"012068:17-1-000:legal_applied:2020","legal_applied:10","012068","釧路市","17-1-000","legal_applied","2020","10","2","2020460001000","2099"
"012068:17-1-000:legal_applied:2020","legal_applied:20","012068","釧路市","17-1-000","legal_applied","2020","20","1","2020460002000","2870"
"012068:17-1-000:legal_applied:2020","legal_applied:20","012068","釧路市","17-1-000","legal_applied","2020","20","2","2020460002000","7825"
"012068:17-1-000:legal_applied:2020","legal_applied:21","012068","釧路市","17-1-000","legal_applied","2020","21","1","2020460002100","2870"
